category_a_id,category_a_key,category_a,pool_a,category_b_id,category_b_key,category_b,pool_b,overlap_count,overlap_words,overlap_share_a,overlap_share_b,severity,recommended_action
161,accessories,ACCESSORIES,18,284,fashion_accessories,FASHION ACCESSORIES,16,11,belt | bowtie | brooch | cufflinks | gloves | hat | scarf | sunglasses | suspenders | tie | watch,0.6111,0.6875,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
309,bread_types,BREAD TYPES,25,344,sandwich_breads,SANDWICH BREADS,14,11,bagel | ciabatta | croissant | focaccia | pita | roll | rye | sourdough | texas toast | wheat | white,0.44,0.7857,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
309,bread_types,BREAD TYPES,25,1077,world_breads,WORLD BREADS,16,11,baguette | brioche | challah | ciabatta | focaccia | naan | pita | pumpernickel | rye | sourdough | tortilla,0.44,0.6875,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
416,cleaning_supplies,CLEANING SUPPLIES,20,1003,cleaning_tools,CLEANING TOOLS,16,11,broom | brush | bucket | duster | dustpan | mop | rag | scrubber | sponge | squeegee | vacuum,0.55,0.6875,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
156,clothing_items,CLOTHING ITEMS,25,168,things_you_button,BUTTONED THINGS,14,11,blouse | cardigan | coat | glove | jacket | jeans | overalls | pants | shirt | sweater | vest,0.44,0.7857,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
403,fishing_hobby,FISHING TRIP,16,934,fishing_things,FISHING THINGS,18,11,bait | boat | cooler | hook | line | lure | net | reel | rod | tackle box | waders,0.6875,0.6111,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
290,fruits,FRUITS,26,774,fruit_trees,FRUIT TREES,18,11,apple | apricot | banana | cherry | lemon | lime | mango | orange | peach | pear | plum,0.4231,0.6111,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
363,rivers,RIVERS,16,754,world_rivers,WORLD RIVERS,16,11,Amazon | Congo | Danube | Euphrates | Ganges | Nile | Rhine | Seine | Thames | Volga | Yangtze,0.6875,0.6875,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
314,spices_and_herbs,SPICES AND HERBS,25,769,herbs,COOKING HERBS,15,11,basil | chive | cilantro | dill | mint | oregano | parsley | rosemary | sage | tarragon | thyme,0.44,0.7333,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
291,vegetables,VEGETABLES,25,305,salad_ingredients,SALAD INGREDIENTS,25,11,beet | cabbage | carrot | celery | corn | cucumber | lettuce | onion | radish | spinach | tomato,0.44,0.44,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
414,bathroom_items,BATHROOM ITEMS,25,614,hygiene,HYGIENE THINGS,16,10,comb | floss | lotion | razor | shampoo | soap | tissue | toothbrush | toothpaste | towel,0.4,0.625,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
976,calendar_words,CALENDAR WORDS,22,979,time_units,UNITS OF TIME,16,10,century | day | decade | era | millennium | month | quarter | semester | week | year,0.4545,0.625,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
1,cooking_actions,COOKING ACTIONS,25,345,cooking_methods,COOKING METHODS,18,10,bake | boil | broil | fry | grill | roast | saute | sear | simmer | steam,0.4,0.5556,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
662,flowers,FLOWERS,25,777,garden_flowers_summer,SUMMER FLOWERS,14,10,dahlia | Daisy | geranium | lavender | Lily | marigold | petunia | rose | sunflower | zinnia,0.4,0.7143,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
290,fruits,FRUITS,26,667,things_with_seeds,THINGS WITH SEEDS,25,10,apple | cherry | grape | kiwi | orange | peach | pear | plum | strawberry | watermelon,0.3846,0.4,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
232,musical_instruments,MUSICAL INSTRUMENTS,25,234,wind_instruments,WIND INSTRUMENTS,14,10,bagpipes | bassoon | clarinet | flute | harmonica | oboe | saxophone | trombone | trumpet | tuba,0.4,0.7143,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
297,nuts_and_seeds,NUTS AND SEEDS,14,1080,nuts_world,SNACK NUTS,12,10,almond | cashew | chestnut | hazelnut | macadamia | peanut | pecan | pine nut | pistachio | walnut,0.7143,0.8333,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
28,ocean_animals,OCEAN ANIMALS,25,312,seafood,SEAFOOD,25,10,clam | crab | eel | lobster | octopus | oyster | shrimp | squid | swordfish | tuna,0.4,0.4,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
356,town_places,TOWN PLACES,25,760,kinds_of_buildings,KINDS OF BUILDINGS,25,10,church | courthouse | hospital | library | mall | museum | school | stadium | temple | theater,0.4,0.4,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
664,weather_words,WEATHER WORDS,25,679,water_states,FORMS OF WATER,18,10,cloud | drizzle | fog | frost | hail | humidity | mist | rain | sleet | snow,0.4,0.5556,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
54,animals_with_shells,ANIMALS WITH SHELLS,15,710,shellfish,SHELLFISH,14,9,barnacle | clam | cockle | crab | lobster | mussel | oyster | scallop | snail,0.6,0.6429,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
292,berries,BERRIES,13,1061,berry_varieties,BERRY VARIETIES,11,9,blackberry | blueberry | boysenberry | cranberry | currant | elderberry | gooseberry | raspberry | strawberry,0.6923,0.8182,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
416,cleaning_supplies,CLEANING SUPPLIES,20,1023,cleaning_trade,JANITORIAL WORDS,15,9,broom | bucket | disinfectant | dustpan | gloves | mop | squeegee | trash bag | vacuum,0.45,0.6,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
156,clothing_items,CLOTHING ITEMS,25,174,things_with_pockets,THINGS WITH POCKETS,14,9,blazer | coat | hoodie | jacket | jeans | overalls | robe | shirt | vest,0.36,0.6429,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
666,cloud_and_sky,SKY WORDS,20,695,night_sky_things,NIGHT SKY,14,9,aurora | cloud | comet | eclipse | meteor | moon | plane | satellite | star,0.45,0.6429,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
129,currencies,CURRENCIES,15,182,world_currencies_more,MORE CURRENCIES,18,9,baht | dinar | lira | peso | real | ruble | rupee | shekel | yen,0.6,0.5,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
844,electricity_words,ELECTRICITY WORDS,18,965,power_and_batteries,POWER WORDS,16,9,battery | fuse | generator | outlet | plug | socket | switch | voltage | Watt,0.5,0.5625,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
144,european_cities,EUROPEAN CITIES,25,751,world_cities,WORLD CITIES,25,9,Barcelona | Geneva | Hamburg | Manchester | Marseille | Milan | Munich | Naples | Venice,0.36,0.36,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
709,fish_species,FISH,25,911,pond_fish,FRESHWATER FISH,15,9,bass | carp | catfish | minnow | perch | pike | sturgeon | trout | walleye,0.36,0.6,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
663,flower_parts,FLOWER PARTS,15,780,plant_parts,PLANT PARTS,16,9,bud | leaf | petal | pollen | root | seed | stalk | stem | thorn,0.6,0.5625,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
43,horse_words,HORSE WORDS,20,949,equestrian_words,HORSE RIDING,14,9,bridle | canter | gallop | groom | jockey | reins | saddle | stirrup | trot,0.45,0.6429,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
95,illnesses,ILLNESSES,18,605,diseases,DISEASES,20,9,arthritis | asthma | bronchitis | chickenpox | diabetes | flu | measles | mumps | pneumonia,0.5,0.45,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
29,insects,INSECTS,25,707,garden_bugs,GARDEN BUGS,16,9,ant | aphid | bee | beetle | caterpillar | centipede | cricket | ladybug | spider,0.36,0.5625,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
29,insects,INSECTS,25,53,pests,PESTS,20,9,ant | aphid | flea | mosquito | moth | roach | termite | tick | wasp,0.36,0.45,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
971,measurement_devices,MEASURING DEVICES,14,994,measuring_tools,MEASURING TOOLS,16,9,barometer | compass | gauge | meter | odometer | scale | speedometer | stopwatch | thermometer,0.6429,0.5625,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
248,party_things,PARTY THINGS,20,983,birthday_things,BIRTHDAY THINGS,16,9,balloon | cake | candle | confetti | guest | invitation | piñata | present | streamer,0.45,0.5625,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
303,pizza_toppings,PIZZA TOPPINGS,25,305,salad_ingredients,SALAD INGREDIENTS,25,9,arugula | cheese | egg | mushroom | olive | onion | pepper | spinach | tomato,0.36,0.36,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
992,sewing_supplies,SEWING SUPPLIES,18,1021,tailor_words,TAILOR SHOP,14,9,bobbin | hem | needle | pattern | pin | seam ripper | tape measure | thimble | thread,0.5,0.6429,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
252,storybook_characters,TALE CHARACTERS,20,253,fantasy_creatures,MYTHICAL CREATURES,20,9,dragon | elf | fairy | giant | goblin | mermaid | ogre | troll | unicorn,0.45,0.45,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
813,things_that_are_sharp,POINTED THINGS,16,1006,things_that_cut,SHARP THINGS,18,9,arrow | dart | nail | needle | pin | spear | sword | tack | thorn,0.5625,0.5,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
291,vegetables,VEGETABLES,25,306,soup_ingredients,SOUP INGREDIENTS,25,9,bean | cabbage | carrot | celery | corn | leek | onion | potato | tomato,0.36,0.36,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
1029,vehicles,VEHICLES,25,1030,things_with_wheels,THINGS WITH WHEELS,25,9,bike | bus | car | scooter | tractor | train | truck | van | wagon,0.36,0.36,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
94,body_sounds,BODY SOUNDS,16,879,voice_sounds,VOICE SOUNDS,16,8,cough | cry | gasp | grunt | laugh | sigh | whistle | yawn,0.5,0.5,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
564,building_materials,BUILDING MATERIALS,20,799,hard_things,HARD THINGS,18,8,brick | concrete | glass | granite | marble | steel | tile | wood,0.4,0.4444,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
163,clothing_parts,GARMENT PARTS,17,286,sewing_patterns,GARMENT DETAILS,15,8,collar | cuff | hem | lapel | lining | pocket | seam | yoke,0.4706,0.5333,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
410,crafting_materials,CRAFT MATERIALS,18,1002,art_supplies,ART SUPPLIES,20,8,bead | clay | glitter | glue | paint | paper | ribbon | yarn,0.4444,0.4,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
935,cycling_words,CYCLING WORDS,16,1036,parts_of_a_bike,BICYCLE PARTS,18,8,brake | chain | gear | handlebar | pedal | saddle | spoke | tire,0.5,0.4444,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
844,electricity_words,ELECTRICITY WORDS,18,1012,electrical_words,ELECTRICAL WORDS,16,8,amp | fuse | outlet | socket | switch | transformer | voltage | wire,0.4444,0.5,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
298,grains_and_beans,GRAINS AND BEANS,15,773,crops,FARM CROPS,18,8,barley | corn | millet | oat | rice | rye | soybean | wheat,0.5333,0.4444,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
92,hair_words,HAIR WORDS,20,277,hairstyles,HAIRSTYLES,18,8,bangs | bob | braid | bun | mohawk | perm | ponytail | updo,0.4,0.4444,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
29,insects,INSECTS,25,31,flying_animals,FLYING ANIMALS,26,8,bee | butterfly | dragonfly | hornet | ladybug | mosquito | moth | wasp,0.32,0.3077,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
249,magic_words,MAGIC SHOW,18,412,magic_tricks,MAGIC PROPS,14,8,box | coin | dove | hat | mirror | rope | scarf | wand,0.4444,0.5714,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
311,meats,MEATS,25,1078,cured_meats,CURED MEATS,12,8,bacon | bologna | ham | jerky | pastrami | pepperoni | salami | sausage,0.32,0.6667,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
695,night_sky_things,NIGHT SKY,14,830,space_objects,SPACE OBJECTS,20,8,comet | constellation | galaxy | meteor | moon | planet | satellite | star,0.5714,0.4,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
385,old_professions,HISTORIC TRADES,15,473,historic_jobs,BYGONE JOBS,15,8,blacksmith | cobbler | cooper | miller | scribe | tanner | weaver | wheelwright,0.5333,0.5333,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
299,pie_ingredients,PIE INGREDIENTS,25,334,pie_types,PIE TYPES,15,8,apple | blueberry | cherry | custard | peach | pecan | pumpkin | rhubarb,0.32,0.5333,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
303,pizza_toppings,PIZZA TOPPINGS,25,304,sandwich_fillings,SANDWICH FILLINGS,25,8,bacon | cheese | chicken | ham | meatball | onion | salami | tomato,0.32,0.32,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
303,pizza_toppings,PIZZA TOPPINGS,25,306,soup_ingredients,SOUP INGREDIENTS,25,8,bacon | chicken | garlic | ham | mushroom | onion | pepper | tomato,0.32,0.32,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
305,salad_ingredients,SALAD INGREDIENTS,25,306,soup_ingredients,SOUP INGREDIENTS,25,8,cabbage | carrot | celery | corn | mushroom | onion | pepper | tomato,0.32,0.32,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
312,seafood,SEAFOOD,25,710,shellfish,SHELLFISH,14,8,clam | crab | crawfish | lobster | mussel | oyster | scallop | shrimp,0.32,0.5714,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
151,southern_cities,SOUTHERN CITIES,15,361,us_cities,US CITIES,20,8,Atlanta | Austin | Charlotte | Dallas | Houston | Memphis | Miami | Nashville,0.5333,0.4,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
830,space_objects,SPACE OBJECTS,20,887,solar_system_words,SOLAR SYSTEM,14,8,asteroid belt | comet | dwarf planet | meteor | moon | planet | ring | sun,0.4,0.5714,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
252,storybook_characters,TALE CHARACTERS,20,630,magic_creatures,MAGICAL BEINGS,16,8,dwarf | elf | fairy | genie | goblin | troll | witch | wizard,0.4,0.5,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
81,textures,TEXTURES,15,206,temperature_feel,TOUCH WORDS,16,8,bumpy | fuzzy | grainy | prickly | rough | silky | smooth | sticky,0.5333,0.5,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
105,things_that_hurt,PAINFUL THINGS,15,604,injuries,INJURIES,18,8,blister | bruise | burn | cut | scrape | splinter | sprain | sunburn,0.5333,0.4444,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
667,things_with_seeds,THINGS WITH SEEDS,25,774,fruit_trees,FRUIT TREES,18,8,apple | avocado | cherry | fig | orange | peach | pear | plum,0.32,0.4444,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
667,things_with_seeds,THINGS WITH SEEDS,25,673,garden_plants,GARDEN PLANTS,20,8,bean | cucumber | pepper | pumpkin | squash | strawberry | sunflower | tomato,0.32,0.4,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
660,trees,TREES,25,775,evergreens,EVERGREEN TREES,14,8,cedar | cypress | fir | juniper | magnolia | pine | redwood | spruce,0.32,0.5714,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
1029,vehicles,VEHICLES,25,1048,things_that_carry_people,PEOPLE MOVERS,18,8,boat | bus | ferry | plane | sled | taxi | train | tram,0.32,0.4444,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
679,water_states,FORMS OF WATER,18,795,cold_things,COLD THINGS,18,8,frost | glacier | hail | ice | icicle | sleet | slush | snow,0.4444,0.4444,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
54,animals_with_shells,ANIMALS WITH SHELLS,15,713,shells,SEASHELLS,13,7,clam | cockle | conch | mussel | nautilus | oyster | scallop,0.4667,0.5385,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
227,art_class_things,ART CLASS,18,998,painting_supplies,PAINTING SUPPLIES,16,7,brush | canvas | easel | paint | palette | smock | stencil,0.3889,0.4375,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
556,bible_books,BIBLE BOOKS,24,641,biblical_names,BIBLICAL NAMES,20,7,Daniel | Isaiah | John | Luke | mark | Matthew | Ruth,0.2917,0.35,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
8,building_actions,BUILDING ACTIONS,18,431,sewing_and_repair,HOME REPAIR,18,7,bolt | caulk | glue | hammer | level | nail | screw,0.3889,0.3889,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
773,crops,FARM CROPS,18,784,grasses,GRASSES,14,7,barley | corn | oat | rice | rye | sugarcane | wheat,0.3889,0.5,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
52,extinct_animals,EXTINCT ANIMALS,14,848,dinosaurs,DINOSAURS,11,7,brontosaurus | pterodactyl | raptor | stegosaurus | triceratops | tyrannosaurus | velociraptor,0.5,0.6364,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
270,farm_buildings,FARM BUILDINGS,15,366,things_on_a_farm,FARM THINGS,20,7,barn | coop | fence | pen | silo | stable | windmill,0.4667,0.35,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
459,farm_jobs,FARM JOBS,14,471,jobs_with_animals,JOBS WITH ANIMALS,15,7,beekeeper | breeder | farmer | rancher | shepherd | trainer | vet,0.5,0.4667,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
662,flowers,FLOWERS,25,776,garden_flowers_spring,SPRING FLOWERS,14,7,azalea | daffodil | hyacinth | iris | lilac | magnolia | tulip,0.28,0.5,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
290,fruits,FRUITS,26,292,berries,BERRIES,13,7,blackberry | blueberry | cherry | cranberry | grape | raspberry | strawberry,0.2692,0.5385,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
959,gadgets,GADGETS,18,966,screens,THINGS WITH SCREENS,16,7,camera | console | e-reader | laptop | phone | tablet | watch,0.3889,0.4375,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
22,garden_actions,GARDEN ACTIONS,15,787,gardening_words,GARDENING WORDS,18,7,compost | harvest | mulch | prune | seed | water | weed,0.4667,0.3889,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
604,injuries,INJURIES,18,951,sports_injuries,SPORTS INJURIES,13,7,bruise | concussion | dislocation | fracture | sprain | strain | whiplash,0.3889,0.5385,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
288,jewelry_stones,JEWELRY STONES,15,574,precious_materials,PRECIOUS MATERIALS,15,7,diamond | emerald | jade | opal | pearl | ruby | sapphire,0.4667,0.4667,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
97,medicine_cabinet,MEDICINE CABINET,16,599,first_aid,FIRST AID,17,7,aspirin | bandage | gauze | ice pack | ointment | thermometer | tweezers,0.4375,0.4118,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
832,metals,METALS,20,847,elements,CHEMICAL ELEMENTS,20,7,copper | gold | iron | lead | mercury | silver | zinc,0.35,0.35,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
675,mushrooms_and_fungi,FUNGI,12,785,mushroom_types,MUSHROOM TYPES,11,7,chanterelle | morel | portobello | puffball | shiitake | toadstool | truffle,0.5833,0.6364,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
232,musical_instruments,MUSICAL INSTRUMENTS,25,233,string_instruments,STRING INSTRUMENTS,14,7,banjo | cello | guitar | harp | mandolin | ukulele | violin,0.28,0.5,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
28,ocean_animals,OCEAN ANIMALS,25,714,coral_reef,CORAL REEF,15,7,coral | eel | jellyfish | seahorse | starfish | turtle | urchin,0.28,0.4667,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
998,painting_supplies,PAINTING SUPPLIES,16,1016,painting_trade,HOUSE PAINTING,14,7,brush | drop cloth | ladder | primer | roller | tape | tray,0.4375,0.5,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
61,parrots_and_exotic_birds,EXOTIC BIRDS,13,1088,tropical_birds,TROPICAL BIRDS,13,7,cockatoo | hornbill | lorikeet | macaw | parrot | quetzal | toucan,0.5385,0.5385,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
303,pizza_toppings,PIZZA TOPPINGS,25,311,meats,MEATS,25,7,bacon | chicken | ham | meatball | pepperoni | salami | sausage,0.28,0.28,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
574,precious_materials,PRECIOUS MATERIALS,15,670,gemstones,GEMSTONES,20,7,diamond | emerald | jade | opal | pearl | ruby | sapphire,0.4667,0.35,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
472,repair_jobs,REPAIR JOBS,14,476,jobs_with_tools,JOBS WITH TOOLS,15,7,electrician | locksmith | machinist | mechanic | plumber | tailor | welder,0.5,0.4667,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
626,roman_gods,ROMAN GODS,14,831,planets,PLANETS,9,7,Jupiter | Mars | mercury | Neptune | Pluto | Saturn | Venus,0.5,0.7778,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
304,sandwich_fillings,SANDWICH FILLINGS,25,311,meats,MEATS,25,7,bacon | chicken | ham | meatball | pastrami | salami | turkey,0.28,0.28,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
84,sculpture_materials,SCULPTURE MATERIALS,14,564,building_materials,BUILDING MATERIALS,20,7,concrete | glass | granite | marble | plaster | stone | wood,0.5,0.35,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
84,sculpture_materials,SCULPTURE MATERIALS,14,799,hard_things,HARD THINGS,18,7,concrete | glass | granite | ice | marble | metal | wood,0.5,0.3889,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
171,sewing_words,SEWING WORDS,16,992,sewing_supplies,SEWING SUPPLIES,18,7,bobbin | hem | needle | pattern | pin | thimble | thread,0.4375,0.3889,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
171,sewing_words,SEWING WORDS,16,1021,tailor_words,TAILOR SHOP,14,7,bobbin | hem | needle | pattern | pin | thimble | thread,0.4375,0.5,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
710,shellfish,SHELLFISH,14,713,shells,SEASHELLS,13,7,abalone | clam | cockle | mussel | oyster | scallop | whelk,0.5,0.5385,P1,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
