word,normalized,sense_count,available_senses,category_key,category,category_rule,relation_type,review_status,fit_score,obviousness_score,reason,recommended_action
crane,crane,2,crane_bird | crane_machine,high_places,HIGH PLACES,Places high above the ground,has_property,alternative,0.97,0.72,Crane is high above the ground,Assign an existing sense or add the missing sense before this membership is used.
crane,crane,2,crane_bird | crane_machine,wading_birds,WADING BIRDS,Birds with long legs that wade in shallow water,is_a,approved,0.97,0.68,Crane is a long legged wading bird,Assign an existing sense or add the missing sense before this membership is used.
diamond,diamond,4,diamond_card | diamond_field | diamond_gem | diamond_shape,hard_things,HARD THINGS,Things that feel hard and solid to the touch,has_property,alternative,0.97,0.7,Diamond feels hard and solid,Assign an existing sense or add the missing sense before this membership is used.
diamond,diamond,4,diamond_card | diamond_field | diamond_gem | diamond_shape,jewelry_stones,JEWELRY STONES,Stones set into jewelry,is_a,approved,0.97,0.75,Diamond is a stone set into jewelry,Assign an existing sense or add the missing sense before this membership is used.
diamond,diamond,4,diamond_card | diamond_field | diamond_gem | diamond_shape,precious_materials,PRECIOUS MATERIALS,Rare and valuable materials,is_a,approved,0.97,0.75,Diamond is a rare and valuable material,Assign an existing sense or add the missing sense before this membership is used.
diamond,diamond,4,diamond_card | diamond_field | diamond_gem | diamond_shape,shiny_things,SHINY THINGS,Things that reflect light and look shiny,has_property,alternative,0.97,0.7,Diamond reflects light and looks shiny,Assign an existing sense or add the missing sense before this membership is used.
diamond,diamond,4,diamond_card | diamond_field | diamond_gem | diamond_shape,sports_venues,SPORTS VENUES,Places built for playing or watching sports,is_a,alternative,0.97,0.8,Diamond is a place built for playing or watching sports,Assign an existing sense or add the missing sense before this membership is used.
heart,heart,2,heart_card | heart_organ,shapes,SHAPES,Geometric shapes taught in school,is_a,alternative,0.97,0.92,Heart is a geometric shape,Assign an existing sense or add the missing sense before this membership is used.
key,key,2,key_lock | key_music,collecting_hobbies,COLLECTIBLES,Things people collect as a hobby,is_a,alternative,0.97,0.8,Key is collected as a hobby,Assign an existing sense or add the missing sense before this membership is used.
key,key,2,key_lock | key_music,locksmith_words,LOCKS & KEYS,Things involved with locks and keys,found_in,approved,0.97,0.68,Key has to do with locks and keys,Assign an existing sense or add the missing sense before this membership is used.
key,key,2,key_lock | key_music,map_words,MAP WORDS,Words used to read and describe a map,found_in,alternative,0.97,0.8,Key is used when reading a map,Assign an existing sense or add the missing sense before this membership is used.
key,key,2,key_lock | key_music,things_in_a_junk_drawer,JUNK DRAWER,Small odds and ends that pile up in a kitchen drawer,found_in,hard_only,0.97,0.7,Key piles up in a junk drawer,Assign an existing sense or add the missing sense before this membership is used.
key,key,2,key_lock | key_music,things_made_of_metal,METAL THINGS,Everyday things normally made of metal,made_of,alternative,0.97,0.78,Key is normally made of metal,Assign an existing sense or add the missing sense before this membership is used.
key,key,2,key_lock | key_music,things_on_a_keychain,KEYCHAIN THINGS,Things hanging from a keychain,found_in,hard_only,0.97,0.7,Key hangs from a keychain,Assign an existing sense or add the missing sense before this membership is used.
key,key,2,key_lock | key_music,words_before_board,___ BOARD,Words that form a familiar English compound when placed before the word board,phrase_before,hard_only,0.97,0.6,"key forms the familiar compound ""keyboard""",Assign an existing sense or add the missing sense before this membership is used.
key,key,2,key_lock | key_music,words_before_stone,___ STONE,Words that form a familiar English compound when placed before the word stone,phrase_before,hard_only,0.97,0.55,"key forms the familiar compound ""key stone""",Assign an existing sense or add the missing sense before this membership is used.
orange,orange,2,orange_color | orange_fruit,citrus_fruits,CITRUS FRUITS,Fruits of the citrus family with a thick peel and juicy segments,is_a,approved,0.97,0.8,Orange is a citrus fruit,Assign an existing sense or add the missing sense before this membership is used.
orange,orange,2,orange_color | orange_fruit,fruit_trees,FRUIT TREES,Trees grown for their edible fruit,is_a,approved,0.97,0.78,Orange is a tree grown for its fruit,Assign an existing sense or add the missing sense before this membership is used.
palm,palm,2,palm_hand | palm_tree,card_tricks,CARD TRICKS,Terms used in performing card tricks,found_in,hard_only,0.97,0.55,Palm is a term used in card tricks,Assign an existing sense or add the missing sense before this membership is used.
palm,palm,2,palm_hand | palm_tree,fortune_telling,FORTUNE TELLING,Things used to tell fortunes,used_in,hard_only,0.97,0.68,Palm is used to tell fortunes,Assign an existing sense or add the missing sense before this membership is used.
palm,palm,2,palm_hand | palm_tree,houseplants,HOUSEPLANTS,Plants commonly kept indoors in pots,is_a,alternative,0.97,0.78,Palm is commonly kept indoors as a houseplant,Assign an existing sense or add the missing sense before this membership is used.
palm,palm,2,palm_hand | palm_tree,tropical_plants,TROPICAL PLANTS,Plants that grow in tropical climates,found_in,alternative,0.97,0.72,Palm grows in a tropical climate,Assign an existing sense or add the missing sense before this membership is used.
pitch,pitch,3,pitch_music | pitch_tar | pitch_throw,pine_and_cones,CONIFER WORDS,Words about pine trees and their cones,found_in,hard_only,0.97,0.55,Pitch has to do with pine trees,Assign an existing sense or add the missing sense before this membership is used.
pitch,pitch,3,pitch_music | pitch_tar | pitch_throw,soccer_words,SOCCER WORDS,Words used to describe plays and roles in soccer,found_in,alternative,0.97,0.78,Pitch is a word used in a soccer game,Assign an existing sense or add the missing sense before this membership is used.
pitch,pitch,3,pitch_music | pitch_tar | pitch_throw,sports_actions,SPORTS ACTIONS,Actions done while playing sports,does_action,approved,0.97,0.8,Pitch is done while playing sports,Assign an existing sense or add the missing sense before this membership is used.
pitch,pitch,3,pitch_music | pitch_tar | pitch_throw,sports_venues,SPORTS VENUES,Places built for playing or watching sports,is_a,alternative,0.97,0.8,Pitch is a place built for playing or watching sports,Assign an existing sense or add the missing sense before this membership is used.
pitch,pitch,3,pitch_music | pitch_tar | pitch_throw,startup_words,STARTUP WORDS,Words used when starting a new company,found_in,hard_only,0.97,0.62,Pitch is used when starting a new company,Assign an existing sense or add the missing sense before this membership is used.
plate,plate,2,plate_base | plate_dish,animal_coverings,ANIMAL COVERINGS,Things that cover an animal body,part_of,alternative,0.97,0.7,Plate covers the body of an animal,Assign an existing sense or add the missing sense before this membership is used.
plate,plate,2,plate_base | plate_dish,dishes_and_glassware,DISHES,Things you eat and drink from at a table,is_a,approved,0.97,0.85,Plate is something you eat or drink from,Assign an existing sense or add the missing sense before this membership is used.
plate,plate,2,plate_base | plate_dish,party_things,PARTY THINGS,Things found at a birthday party,found_in,alternative,0.97,0.88,Plate is found at a birthday party,Assign an existing sense or add the missing sense before this membership is used.
plate,plate,2,plate_base | plate_dish,printing_words,PRINTING WORDS,Things used in printing,found_in,hard_only,0.97,0.65,Plate is used in printing,Assign an existing sense or add the missing sense before this membership is used.
plate,plate,2,plate_base | plate_dish,rock_cycle_words,GEOLOGY WORDS,Words used to describe the earth and its rocks,found_in,hard_only,0.97,0.62,Plate is a word used in geology,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,bell_and_alarm,ALARM SOUNDS,Sounds made by alarms and signals,is_a,alternative,0.97,0.7,Ring is a sound made by an alarm or signal,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,boxing_words,BOXING WORDS,Words used in a boxing match,found_in,alternative,0.97,0.75,Ring is used in a boxing match,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,circus_words,CIRCUS WORDS,"People, animals and objects you see at a traditional circus",found_in,alternative,0.97,0.8,Ring is something you see at a traditional circus,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,juggling_words,JUGGLING WORDS,Words used in juggling,found_in,hard_only,0.97,0.55,Ring is used in juggling,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,magic_objects,MAGIC OBJECTS,Objects with magical powers in stories,is_a,alternative,0.97,0.8,Ring is a magical object in stories,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,magic_tricks,MAGIC PROPS,Props used in performing magic tricks,used_in,alternative,0.97,0.68,Ring is a prop used in magic tricks,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,musical_sounds,MUSIC SOUNDS,Words for the sound a musical instrument makes,is_a,approved,0.97,0.7,Ring is a sound a musical instrument makes,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,onomatopoeia,SOUND WORDS,Words that imitate the sound they name,is_a,alternative,0.97,0.78,Ring is a word that imitates a sound,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,round_things,ROUND THINGS,Everyday objects whose normal shape is round or circular,has_property,alternative,0.97,0.7,Ring is normally round in shape,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,solar_system_words,SOLAR SYSTEM,Words describing the solar system,found_in,alternative,0.97,0.75,Ring describes something in the solar system,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,space_objects,SPACE OBJECTS,Objects found in outer space,is_a,alternative,0.97,0.88,Ring is an object found in outer space,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,sports_venues,SPORTS VENUES,Places built for playing or watching sports,is_a,alternative,0.97,0.8,Ring is a place built for playing or watching sports,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,things_on_a_keychain,KEYCHAIN THINGS,Things hanging from a keychain,found_in,alternative,0.97,0.7,Ring hangs from a keychain,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,things_worn_on_hands,HAND WEAR,Things worn on the hands,has_property,alternative,0.97,0.8,Ring is worn on the hands,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,wedding_things,WEDDING THINGS,Things associated with a wedding,found_in,approved,0.97,0.85,Ring is associated with a wedding,Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,words_before_master,___ MASTER,Words that form a familiar English compound when placed before the word master,phrase_before,hard_only,0.97,0.55,"ring forms the familiar compound ""ringmaster""",Assign an existing sense or add the missing sense before this membership is used.
ring,ring,2,ring_jewelry | ring_tree,words_before_side,___ SIDE,Words that form a familiar English compound when placed before the word side,phrase_before,hard_only,0.97,0.6,"ring forms the familiar compound ""ringside""",Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,animal_coverings,ANIMAL COVERINGS,Things that cover an animal body,part_of,alternative,0.97,0.7,Scale covers the body of an animal,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,baker_words,BAKERY WORDS,Things found in a bakery,found_in,alternative,0.97,0.8,Scale is found in a bakery,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,bathroom_items,BATHROOM ITEMS,Objects normally found in a home bathroom,found_in,alternative,0.97,0.9,Scale is normally found in a bathroom,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,butcher_words,BUTCHER SHOP,Things found in a butcher shop,found_in,alternative,0.97,0.68,Scale is found in a butcher shop,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,cooking_hobby,HOME BAKING,Things a home baker uses,used_in,alternative,0.97,0.8,Scale is used by a home baker,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,map_words,MAP WORDS,Words used to read and describe a map,found_in,alternative,0.97,0.8,Scale is used when reading a map,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,measurement_devices,MEASURING DEVICES,Devices that measure and display a reading,is_a,approved,0.97,0.75,Scale measures and displays a reading,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,measuring_tools,MEASURING TOOLS,"Tools used to measure size, weight or amount",used_in,approved,0.97,0.78,Scale is used to measure something,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,model_building,MODEL KITS,Things used to build scale models,used_in,hard_only,0.97,0.68,Scale is used to build scale models,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,startup_words,STARTUP WORDS,Words used when starting a new company,found_in,hard_only,0.97,0.62,Scale is used when starting a new company,Assign an existing sense or add the missing sense before this membership is used.
scale,scale,2,scale_music | scale_weigh,world_markets,MARKET WORDS,Things found at an open air market,found_in,alternative,0.97,0.75,Scale is found at an open air market,Assign an existing sense or add the missing sense before this membership is used.
spring,spring,3,spring_jump | spring_season | spring_water,seasons,SEASONS,The four seasons of the year,is_a,approved,0.97,0.92,Spring is a season of the year,Assign an existing sense or add the missing sense before this membership is used.
spring,spring,3,spring_jump | spring_season | spring_water,things_that_stretch,STRETCHY THINGS,Things that stretch when pulled,has_property,hard_only,0.97,0.65,Spring stretches when pulled,Assign an existing sense or add the missing sense before this membership is used.
spring,spring,3,spring_jump | spring_season | spring_water,words_before_board,___ BOARD,Words that form a familiar English compound when placed before the word board,phrase_before,alternative,0.97,0.6,"spring forms the familiar compound ""springboard""",Assign an existing sense or add the missing sense before this membership is used.
spring,spring,3,spring_jump | spring_season | spring_water,words_before_time,___ TIME,Words that form a familiar English phrase when placed before the word time,phrase_before,alternative,0.97,0.65,"spring forms the familiar phrase ""spring time""",Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,christmas_things,CHRISTMAS THINGS,Things associated with an American Christmas,found_in,alternative,0.97,0.9,Star is associated with Christmas,Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,cloud_and_sky,SKY WORDS,Things you can see in the sky,found_in,approved,0.97,0.78,Star can be seen in the sky,Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,flags_and_symbols,NATIONAL SYMBOLS,Things used as symbols of a country,is_a,alternative,0.97,0.7,Star is used as a symbol of a country,Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,light_sources,LIGHT SOURCES,Things that give off light,does_action,approved,0.97,0.8,Star gives off light,Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,navigation_tools,NAVIGATION TOOLS,Tools used to find the way at sea,used_in,alternative,0.97,0.72,Star is used to find the way at sea,Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,night_sky_things,NIGHT SKY,Things visible in the night sky,found_in,approved,0.97,0.82,Star is visible in the night sky,Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,religious_symbols,RELIGIOUS SYMBOLS,Symbols associated with religions,is_a,alternative,0.97,0.78,Star is a religious symbol,Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,shiny_things,SHINY THINGS,Things that reflect light and look shiny,has_property,alternative,0.97,0.7,Star reflects light and looks shiny,Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,words_before_board,___ BOARD,Words that form a familiar English compound when placed before the word board,phrase_before,alternative,0.97,0.6,"star forms the familiar compound ""starboard""",Assign an existing sense or add the missing sense before this membership is used.
star,star,2,star_shape | star_space,words_before_fish,___ FISH,Words that form a familiar English compound when placed before the word fish,phrase_before,alternative,0.97,0.6,"star forms the familiar compound ""starfish""",Assign an existing sense or add the missing sense before this membership is used.
temple,temple,2,temple_building | temple_head,egypt_things,ANCIENT EGYPT,Things associated with ancient Egypt,found_in,alternative,0.97,0.82,Temple is associated with ancient Egypt,Assign an existing sense or add the missing sense before this membership is used.
temple,temple,2,temple_building | temple_head,kinds_of_buildings,KINDS OF BUILDINGS,Kinds of building found in towns and cities,is_a,alternative,0.97,0.88,Temple is a kind of building,Assign an existing sense or add the missing sense before this membership is used.
temple,temple,2,temple_building | temple_head,places_of_worship,PLACES OF WORSHIP,Buildings where people gather to worship,is_a,approved,0.97,0.82,Temple is a building where people worship,Assign an existing sense or add the missing sense before this membership is used.
