word,char_count,token_count,familiarity_score,memberships,severity,recommended_action
Papua New Guinea,16,3,0.476,oceania_places:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
Roaring Twenties,16,2,0.456,historical_eras:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
Romeo and Juliet,16,3,0.477,shakespeare_plays:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
Sherwin Williams,16,2,0.384,paint_and_home:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
Sunset Boulevard,16,2,0.506,famous_streets:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
Three Blind Mice,16,3,0.564,nursery_rhymes:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
Wheel of Fortune,16,3,0.584,classic_tv_shows:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
anesthesiologist,16,1,0.374,medical_jobs:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
answering phones,16,2,0.56,typing_and_office_skills:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
bird of paradise,16,3,0.576,tropical_birds:approved | tropical_flowers:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
black eyed susan,16,3,0.539,wildflowers:approved | garden_flowers_summer:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
brussels sprouts,16,2,0.451,thanksgiving_foods:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
cafeteria worker,16,2,0.486,school_people:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
capture the flag,16,3,0.599,playground_games:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
casting director,16,2,0.587,movie_roles:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
chicken sandwich,16,2,0.573,fast_food_items:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
chocolate square,16,2,0.619,candy_shapes:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
computer science,16,2,0.677,school_subjects:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
costume designer,16,2,0.569,movie_roles:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
flight attendant,16,2,0.511,transport_jobs:approved | jobs_that_wear_uniforms:alternative,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
four leaf clover,16,3,0.471,superstitions:hard_only,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
marine biologist,16,2,0.474,jobs_with_animals:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
mozzarella stick,16,2,0.441,fast_food_items:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
parallel parking,16,2,0.58,driving_skills:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
physical therapy,16,2,0.626,hospital_departments:alternative,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
principal office,16,2,0.639,school_places:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
queen annes lace,16,3,0.31,wildflowers:hard_only,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
rhode island red,16,3,0.536,farm_poultry_breeds:hard_only,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
shelter building,16,2,0.601,survival_skills:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
three point turn,16,3,0.719,driving_skills:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
tightrope walker,16,2,0.387,circus_and_fair_jobs:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
ultimate frisbee,16,2,0.421,team_sports:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
windshield fluid,16,2,0.479,gas_station_things:approved,P2,Test in the real bubble/card UI; add short_display_text or disallow where it cannot fit.
