word_id,word,normalized,is_proper_noun,familiarity_score,playable_category_count,theme_count,categories,recommended_action
5685,storm,storm,1,0.666,5,3,words_after_fire:FIRE ___ | words_after_snow:SNOW ___ | words_after_rain:RAIN ___ | superheroes:SUPERHEROES | weather_words:WEATHER WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1741,Amazon,amazon,1,0.65,4,4,tech_companies:TECH COMPANIES | rivers:RIVERS | world_rivers:WORLD RIVERS | world_deserts_and_seas:WORLD REGIONS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2102,Austin,austin,1,0.623,4,4,southern_cities:SOUTHERN CITIES | us_cities:US CITIES | place_names_as_names:PLACE NAMES | state_capitals:STATE CAPITALS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6176,Daniel,daniel,1,0.66,4,4,bible_books:BIBLE BOOKS | biblical_names:BIBLICAL NAMES | boys_names:BOYS NAMES | bible_figures:BIBLE FIGURES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6874,Lily,lily,1,0.564,4,4,nature_names:NATURE NAMES | flowers:FLOWERS | girls_names:GIRLS NAMES | garden_flowers_summer:SUMMER FLOWERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1639,Ranger,ranger,1,0.554,4,4,car_models:CAR MODELS | national_parks:PARK WORDS | emergency_jobs:EMERGENCY JOBS | emergency_services:EMERGENCY SERVICES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6169,Ruth,ruth,1,0.579,4,4,bible_books:BIBLE BOOKS | biblical_names:BIBLICAL NAMES | bible_figures:BIBLE FIGURES | sports_legends:SPORTS LEGENDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6880,Violet,violet,1,0.549,4,4,nature_names:NATURE NAMES | flowers:FLOWERS | houseplants:HOUSEPLANTS | colors:COLORS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1319,bob,bob,1,0.661,4,4,hair_words:HAIR WORDS | hairstyles:HAIRSTYLES | nicknames_for_names:NAME SHORTENINGS | nicknames:NICKNAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
641,centipede,centipede,1,0.399,4,4,insects:INSECTS | video_game_classics:RETRO GAMES | garden_bugs:GARDEN BUGS | spiders_and_crawlers:SPIDERS AND CRAWLERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4691,mason,mason,1,0.591,4,4,old_professions:HISTORIC TRADES | building_trades:BUILDING TRADES | nature_surnames:SURNAMES FROM TRADES | boys_names:BOYS NAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4689,miller,miller,1,0.643,4,4,old_professions:HISTORIC TRADES | historic_jobs:BYGONE JOBS | common_surnames:COMMON SURNAMES | nature_surnames:SURNAMES FROM TRADES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
3720,peanut,peanut,1,0.557,4,4,nuts_and_seeds:NUTS AND SEEDS | pet_names:PET NAMES | crops:FARM CROPS | nuts_world:SNACK NUTS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2867,spanish,spanish,1,0.676,4,4,school_subjects:SCHOOL SUBJECTS | languages:LANGUAGES | nationalities:NATIONALITIES | olive_types:OLIVE TYPES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
3324,sphinx,sphinx,1,0.429,4,4,fantasy_creatures:MYTHICAL CREATURES | famous_landmarks:FAMOUS LANDMARKS | egypt_things:ANCIENT EGYPT | mythical_monsters:MYTHICAL MONSTERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1019,tom,tom,1,0.69,4,4,animal_names_male_female:ANIMAL GENDERS | cartoon_characters:CARTOON CHARACTERS | nicknames_for_names:NAME SHORTENINGS | nicknames:NICKNAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2112,Aspen,aspen,1,0.49,4,3,resort_towns:RESORT DESTINATIONS | nature_names:NATURE NAMES | place_names_as_names:PLACE NAMES | trees:TREES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4363,Cuba,cuba,1,0.59,4,3,latin_american_countries:LATIN AMERICA | islands:ISLANDS | caribbean_places:CARIBBEAN PLACES | island_nations:ISLAND NATIONS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6876,Daisy,daisy,1,0.54,4,3,nature_names:NATURE NAMES | pet_names:PET NAMES | flowers:FLOWERS | garden_flowers_summer:SUMMER FLOWERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6180,John,john,1,0.769,4,3,bible_books:BIBLE BOOKS | biblical_names:BIBLICAL NAMES | short_names:SHORT NAMES | boys_names:BOYS NAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1517,Life,life,1,0.841,4,3,cereal_brands:CEREAL BRANDS | board_games:BOARD GAMES | words_before_line:___ LINE | words_before_time:___ TIME,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6965,Madison,madison,1,0.596,4,3,place_names_as_names:PLACE NAMES | girls_names:GIRLS NAMES | us_presidents:US PRESIDENTS | state_capitals:STATE CAPITALS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1756,Zoom,zoom,1,0.547,4,3,tech_companies:TECH COMPANIES | photography_terms:CAMERA SETTINGS | computer_actions:COMPUTER ACTIONS | photography_words:PHOTOGRAPHY WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
749,husky,husky,1,0.47,4,3,arctic_animals:ARCTIC ANIMALS | dog_breeds:DOG BREEDS | pack_animals:WORK ANIMALS | tool_brands:TOOL BRANDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
807,shepherd,shepherd,1,0.557,4,3,dog_breeds:DOG BREEDS | farm_jobs:FARM JOBS | jobs_with_animals:JOBS WITH ANIMALS | nature_surnames:SURNAMES FROM TRADES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4309,Iceland,iceland,1,0.541,4,2,european_countries:EUROPEAN COUNTRIES | islands:ISLANDS | countries_more:MORE COUNTRIES | island_nations:ISLAND NATIONS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6921,Shadow,shadow,1,0.634,4,2,pet_names:PET NAMES | black_things:BLACK THINGS | quiet_things:QUIET THINGS | things_that_shrink:SHRINKING THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1738,Ace,ace,1,0.587,3,3,paint_and_home:HARDWARE BRANDS | card_words:CARD WORDS | tennis_words:TENNIS WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1565,American,american,1,0.784,3,3,airlines:AIRLINES | cheese_types:CHEESE TYPES | nationalities:NATIONALITIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2096,Atlanta,atlanta,1,0.624,3,3,southern_cities:SOUTHERN CITIES | us_cities:US CITIES | state_capitals:STATE CAPITALS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4527,Bermuda,bermuda,1,0.503,3,3,islands:ISLANDS | caribbean_places:CARIBBEAN PLACES | grasses:GRASSES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2055,Boston,boston,1,0.667,3,3,american_east_cities:EAST COAST | us_cities:US CITIES | state_capitals:STATE CAPITALS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6844,Brown,brown,1,0.716,3,3,common_surnames:COMMON SURNAMES | colors:COLORS | rice_types:RICE TYPES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2028,Casablanca,casablanca,1,0.439,3,3,african_cities:AFRICAN CITIES | famous_movies:FAMOUS MOVIES | world_cities:WORLD CITIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
5919,Charlie,charlie,1,0.633,3,3,alphabet_code:RADIO ALPHABET | pet_names:PET NAMES | unisex_names:UNISEX NAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2103,Charlotte,charlotte,1,0.603,3,3,southern_cities:SOUTHERN CITIES | us_cities:US CITIES | girls_names:GIRLS NAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4315,China,china,1,0.729,3,3,asian_countries:ASIAN COUNTRIES | ancient_civilizations:ANCIENT CIVILIZATIONS | things_that_break:FRAGILE THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2087,Columbus,columbus,1,0.577,3,3,midwest_cities:MIDWEST CITIES | explorers:EXPLORERS | state_capitals:STATE CAPITALS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2100,Dallas,dallas,1,0.631,3,3,southern_cities:SOUTHERN CITIES | us_cities:US CITIES | classic_tv_shows:CLASSIC TV,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1196,David,david,1,0.733,3,3,famous_artworks:FAMOUS ARTWORKS | boys_names:BOYS NAMES | bible_figures:BIBLE FIGURES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2083,Detroit,detroit,1,0.621,3,3,midwest_cities:MIDWEST CITIES | us_cities:US CITIES | pizza_styles:PIZZA STYLES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
5920,Echo,echo,1,0.577,3,3,alphabet_code:RADIO ALPHABET | mountain_things:MOUNTAIN THINGS | cave_things:CAVE THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4523,Fiji,fiji,1,0.516,3,3,islands:ISLANDS | oceania_places:OCEANIA PLACES | island_nations:ISLAND NATIONS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
7300,Fuji,fuji,1,0.46,3,3,volcanoes:VOLCANOES | world_mountains:FAMOUS MOUNTAINS | apple_varieties:APPLE VARIETIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1989,Geneva,geneva,1,0.571,3,3,european_cities:EUROPEAN CITIES | world_lakes:LAKES | world_cities:WORLD CITIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4257,Georgia,georgia,1,0.637,3,3,us_states:US STATES | place_names_as_names:PLACE NAMES | countries_more:MORE COUNTRIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4454,Golden Gate,golden gate,1,0.609,3,3,famous_landmarks:FAMOUS LANDMARKS | famous_bridges:FAMOUS BRIDGES | us_landmarks:US LANDMARKS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6903,Grace,grace,1,0.651,3,3,short_names:SHORT NAMES | girls_names:GIRLS NAMES | prayer_words:PRAYER WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4451,Great Wall,great wall,1,0.711,3,3,famous_landmarks:FAMOUS LANDMARKS | ancient_wonders:WORLD WONDERS | world_heritage:ANCIENT SITES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2101,Houston,houston,1,0.631,3,3,southern_cities:SOUTHERN CITIES | us_cities:US CITIES | space_agencies_and_places:SPACE PLACES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4481,Hudson,hudson,1,0.576,3,3,rivers:RIVERS | explorers:EXPLORERS | great_lakes_and_us_water:US WATERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4328,Israel,israel,1,0.681,3,3,asian_countries:ASIAN COUNTRIES | place_names_as_names:PLACE NAMES | middle_east_places:MIDDLE EAST,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4521,Jamaica,jamaica,1,0.56,3,3,islands:ISLANDS | caribbean_places:CARIBBEAN PLACES | island_nations:ISLAND NATIONS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1915,Jeep,jeep,1,0.531,3,3,car_brands:CAR BRANDS | military_things:MILITARY EQUIPMENT | vehicles:VEHICLES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4275,Lima,lima,1,0.511,3,3,world_capitals:WORLD CAPITALS | alphabet_code:RADIO ALPHABET | bean_types:BEAN TYPES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6933,Louis,louis,1,0.689,3,3,royal_names:ROYAL NAMES | french_names:FRENCH NAMES | sports_legends:SPORTS LEGENDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6932,Mary,mary,1,0.683,3,3,royal_names:ROYAL NAMES | girls_names:GIRLS NAMES | bible_figures:BIBLE FIGURES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6178,Matthew,matthew,1,0.624,3,3,bible_books:BIBLE BOOKS | biblical_names:BIBLICAL NAMES | boys_names:BOYS NAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4261,Michigan,michigan,1,0.649,3,3,us_states:US STATES | world_lakes:LAKES | great_lakes_and_us_water:US WATERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1608,Milwaukee,milwaukee,1,0.573,3,3,tool_brands:TOOL BRANDS | midwest_cities:MIDWEST CITIES | us_cities:US CITIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4473,Mississippi,mississippi,1,0.599,3,3,rivers:RIVERS | us_states_more:MORE STATES | great_lakes_and_us_water:US WATERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4483,Missouri,missouri,1,0.609,3,3,rivers:RIVERS | us_states_more:MORE STATES | great_lakes_and_us_water:US WATERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2097,Nashville,nashville,1,0.569,3,3,southern_cities:SOUTHERN CITIES | us_cities:US CITIES | state_capitals:STATE CAPITALS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4472,Nile,nile,1,0.52,3,3,rivers:RIVERS | egypt_things:ANCIENT EGYPT | world_rivers:WORLD RIVERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6863,Noah,noah,1,0.561,3,3,biblical_names:BIBLICAL NAMES | boys_names:BOYS NAMES | bible_figures:BIBLE FIGURES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4267,Paris,paris,1,0.689,3,3,world_capitals:WORLD CAPITALS | greek_heroes:MYTHOLOGICAL HEROES | place_names_as_names:PLACE NAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6350,Pluto,pluto,1,0.479,3,3,cartoon_characters:CARTOON CHARACTERS | roman_gods:ROMAN GODS | planets:PLANETS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1660,Prince,prince,1,0.674,3,3,sports_brands:SPORTS BRANDS | storybook_characters:TALE CHARACTERS | royalty:ROYAL WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4270,Rome,rome,1,0.636,3,3,world_capitals:WORLD CAPITALS | ancient_civilizations:ANCIENT CIVILIZATIONS | apple_varieties:APPLE VARIETIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4482,Seine,seine,1,0.453,3,3,rivers:RIVERS | whaling_and_fishing:FISHING FLEET | world_rivers:WORLD RIVERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1670,Sharp,sharp,1,0.64,3,3,camera_and_electronics:ELECTRONICS BRANDS | temperature_feel:TOUCH WORDS | music_words:MUSIC WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1625,Slinky,slinky,1,0.38,3,3,toy_brands:TOY BRANDS | toys:TOYS | things_that_stretch:STRETCHY THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2531,Solitaire,solitaire,1,0.43,3,3,video_game_classics:RETRO GAMES | card_games:CARD GAMES | gem_cuts:GEM CUTS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4449,Stonehenge,stonehenge,1,0.419,3,3,famous_landmarks:FAMOUS LANDMARKS | ancient_wonders:WORLD WONDERS | world_heritage:ANCIENT SITES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1637,Tahoe,tahoe,1,0.457,3,3,car_models:CAR MODELS | world_lakes:LAKES | great_lakes_and_us_water:US WATERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4452,Taj Mahal,taj mahal,1,0.421,3,3,famous_landmarks:FAMOUS LANDMARKS | ancient_wonders:WORLD WONDERS | famous_buildings:FAMOUS BUILDINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6332,Thor,thor,1,0.527,3,3,superheroes:SUPERHEROES | norse_gods:NORSE GODS | scandinavian_names:SCANDINAVIAN NAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
7700,Watt,watt,1,0.527,3,3,inventors:INVENTORS | electricity_words:ELECTRICITY WORDS | power_and_batteries:POWER WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1652,Wilson,wilson,1,0.647,3,3,sports_brands:SPORTS BRANDS | common_surnames:COMMON SURNAMES | us_presidents:US PRESIDENTS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
739,buffalo,buffalo,1,0.591,3,3,african_animals:AFRICAN ANIMALS | antelope_and_grazers:GRAZING ANIMALS | american_east_cities:EAST COAST,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
748,caribou,caribou,1,0.424,3,3,arctic_animals:ARCTIC ANIMALS | coffee_brands:COFFEE BRANDS | deer_family:DEER FAMILY,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4687,cooper,cooper,1,0.609,3,3,old_professions:HISTORIC TRADES | historic_jobs:BYGONE JOBS | nature_surnames:SURNAMES FROM TRADES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
359,crush,crush,1,0.596,3,3,destroying_actions:BREAKING ACTIONS | soda_brands:SODA BRANDS | vineyard_words:VINEYARD WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6320,diesel,diesel,1,0.579,3,3,things_that_burn:FUELS | inventors:INVENTORS | gas_station_things:GAS STATION,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
644,goldfish,goldfish,1,0.469,3,3,pets:PETS | snack_brands:SNACK BRANDS | fish_species:FISH,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4165,greek,greek,1,0.643,3,3,salads:SALADS | languages:LANGUAGES | nationalities:NATIONALITIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4596,hall,hall,1,0.696,3,3,castle_things:CASTLE THINGS | common_surnames:COMMON SURNAMES | rooms_in_public_buildings:PUBLIC ROOMS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
933,impala,impala,1,0.437,3,3,antelope_and_grazers:GRAZING ANIMALS | car_models:CAR MODELS | deer_family:DEER FAMILY,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4493,mediterranean,mediterranean,1,0.57,3,3,climate_zones:CLIMATE WORDS | seas_and_oceans:SEAS | world_deserts_and_seas:WORLD REGIONS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
