category_id,category_key,label,theme,rule,relation_type,base_difficulty,total_links,approved_count,alternative_count,hard_only_count,rejected_count,playable_count,normal_pool_count,hard_share_playable,recommended_tier,severity,flags
37,arctic_animals,ARCTIC ANIMALS,animals,Animals that live in the cold polar regions,found_in,0.25,18,10,5,3,0,18,15,0.1667,normal_pool_available,,
227,art_class_things,ART CLASS,education,Things used in a school art class,found_in,0.25,18,8,10,0,0,18,18,0.0,normal_pool_available,,
255,art_forms,ART FORMS,entertainment,Forms of visual and performing art,is_a,0.3,16,13,3,0,0,16,16,0.0,normal_pool_available,,
71,art_styles,ART STYLES,art,Named styles of visual art,is_a,0.35,14,12,1,1,0,14,13,0.0714,normal_pool_available,,
1002,art_supplies,ART SUPPLIES,tools,Materials used to make art or crafts,used_in,0.25,20,8,12,0,0,20,20,0.0,normal_pool_available,,
72,art_tools,ART TOOLS,art,Tools an artist uses to make art,used_in,0.25,16,4,12,0,0,16,16,0.0,normal_pool_available,,
741,artists,FAMOUS PAINTERS,people,Famous painters from history,is_a,0.35,14,13,0,1,0,14,13,0.0714,normal_pool_available,,
145,asian_cities,ASIAN CITIES,cities,Well known cities in Asia,is_a,0.35,20,20,0,0,0,20,20,0.0,normal_pool_available,,
352,asian_countries,ASIAN COUNTRIES,geography,Countries located in Asia,is_a,0.3,20,16,4,0,0,20,20,0.0,normal_pool_available,,
325,asian_dishes,ASIAN DISHES,food,Dishes from East and Southeast Asian cuisines eaten in the United States,is_a,0.3,20,13,3,4,0,20,16,0.2,normal_pool_available,,
886,astronaut_gear,ASTRONAUT GEAR,space,Equipment an astronaut uses,used_in,0.35,13,7,5,1,0,13,12,0.0769,normal_pool_available,,
742,authors,FAMOUS AUTHORS,people,Famous authors from literature,is_a,0.35,15,12,3,0,0,15,15,0.0,normal_pool_available,,
1015,auto_repair,AUTO REPAIR,trades,Things a mechanic works with,found_in,0.35,17,10,7,0,0,17,17,0.0,normal_pool_available,,
441,aviation_words,AVIATION WORDS,jargon,Words used by pilots and air crew,found_in,0.4,18,12,5,1,0,18,17,0.0556,normal_pool_available,,
591,awards,AWARDS,media,Famous prizes and awards,is_a,0.35,12,12,0,0,0,12,12,0.0,normal_pool_available,,
70,baby_animal_words_more,YOUNG ANIMALS,animals_more,Less common words for young animals,is_a,0.45,12,0,0,8,4,8,0,1.0,blocked_for_normal_levels,P0,NO_NORMAL_WORDS | NO_APPROVED_WORDS | THIN_LT_12_PLAYABLE | MAJORITY_HARD_ONLY
435,baby_things,BABY THINGS,home,Things used to care for a baby,used_in,0.25,18,11,4,3,0,18,15,0.1667,normal_pool_available,,
282,bags,BAGS AND CASES,fashion,Kinds of bag people carry,is_a,0.25,15,13,2,0,0,15,15,0.0,normal_pool_available,,
1026,baker_words,BAKERY WORDS,trades,Things found in a bakery,found_in,0.3,15,9,5,1,0,15,14,0.0667,normal_pool_available,,
300,baking_ingredients,BAKING INGREDIENTS,food,"Ingredients commonly used to bake cakes, bread or cookies",used_in,0.25,25,14,11,0,0,25,25,0.0,normal_pool_available,,
125,bank_brands,BANK BRANDS,brands,Major American banks and card brands,is_a,0.45,12,8,4,0,0,12,12,0.0,normal_pool_available,,
135,banking_words,BANKING WORDS,business,Words used at a bank,found_in,0.3,18,15,3,0,0,18,18,0.0,normal_pool_available,,
1020,barbershop_words,BARBERSHOP WORDS,trades,Things found in a barbershop,found_in,0.3,14,5,9,0,0,14,14,0.0,normal_pool_available,,
261,barn_things,BARN THINGS,farming,Things found inside a barn,found_in,0.3,16,10,6,0,0,16,16,0.0,normal_pool_available,,
913,baseball_equipment,BASEBALL EQUIPMENT,sports,Physical equipment used to play a game of baseball,used_in,0.25,15,9,6,0,0,15,15,0.0,normal_pool_available,,
914,baseball_words,BASEBALL WORDS,sports,"Words used to describe plays, places or roles in a baseball game",found_in,0.3,27,22,5,0,0,27,27,0.0,normal_pool_available,,
918,basketball_words,BASKETBALL WORDS,sports,Words used to describe plays and roles in basketball,found_in,0.3,20,10,9,1,0,20,19,0.05,normal_pool_available,,
414,bathroom_items,BATHROOM ITEMS,home,Objects normally found in a home bathroom,found_in,0.15,25,13,12,0,0,25,25,0.0,normal_pool_available,,
326,bbq_foods,BARBECUE FOODS,food,Foods cooked or served at an American backyard barbecue,found_in,0.3,20,12,8,0,0,20,20,0.0,normal_pool_available,,
1056,bean_types,BEAN TYPES,varieties,Kinds of bean used in cooking,is_a,0.35,14,6,3,5,0,14,9,0.3571,normal_pool_available,,
901,bears_and_big_animals,BEARS,species,Kinds of bear,is_a,0.3,10,9,0,1,0,10,9,0.1,usable_with_constraints,P2,THIN_LT_12_PLAYABLE
468,beauty_jobs,BEAUTY JOBS,jobs,"Jobs held by people who work on hair, nails and appearance",is_a,0.3,12,7,0,5,0,12,7,0.4167,hard_only_or_manual_review,P1,
276,beauty_tools,BEAUTY TOOLS,fashion,"Tools used for hair, nails and makeup",used_in,0.35,15,9,5,1,0,15,14,0.0667,normal_pool_available,,
417,bedroom_things,BEDROOM THINGS,home,Objects normally found in a bedroom,found_in,0.2,21,12,8,1,0,21,20,0.0476,normal_pool_available,,
268,beekeeping,BEEKEEPING THINGS,farming,Things used in beekeeping,used_in,0.4,14,7,7,0,0,14,14,0.0,normal_pool_available,,
703,beetles,BEETLES,nature_species,Kinds of beetle,is_a,0.45,12,0,3,9,0,12,3,0.75,blocked_for_normal_levels,P0,CANNOT_BUILD_NORMAL_QUARTET | NO_APPROVED_WORDS | MAJORITY_HARD_ONLY
880,bell_and_alarm,ALARM SOUNDS,sounds,Sounds made by alarms and signals,is_a,0.4,14,0,12,2,0,14,12,0.1429,usable_with_constraints,P2,NO_APPROVED_WORDS
292,berries,BERRIES,food,Small soft fruits called berries in everyday American English,is_a,0.2,13,11,0,2,0,13,11,0.1538,normal_pool_available,,
1061,berry_varieties,BERRY VARIETIES,varieties,Varieties of berry sold fresh or frozen,is_a,0.35,12,7,0,4,1,11,7,0.3636,hard_only_or_manual_review,P1,THIN_LT_12_PLAYABLE
556,bible_books,BIBLE BOOKS,lists,Books of the Bible,is_a,0.45,24,19,5,0,0,24,24,0.0,normal_pool_available,,
826,bible_figures,BIBLE FIGURES,religion,People from Bible stories,is_a,0.35,18,16,2,0,0,18,18,0.0,normal_pool_available,,
641,biblical_names,BIBLICAL NAMES,names,First names that come from the Bible,is_a,0.35,20,14,6,0,0,20,20,0.0,normal_pool_available,,
692,biomes,BIOMES,nature_more,Major natural regions of the earth,is_a,0.4,14,6,8,0,0,14,14,0.0,normal_pool_available,,
27,birds,BIRDS,animals,Bird species an average American can name,is_a,0.12,26,25,1,0,0,26,26,0.0,normal_pool_available,,
897,birds_of_prey,BIRDS OF PREY,species,Birds that hunt other animals,is_a,0.3,13,11,0,2,0,13,11,0.1538,normal_pool_available,,
402,birdwatching,BIRDWATCHING THINGS,hobbies,Things a birdwatcher uses,used_in,0.4,12,6,6,0,0,12,12,0.0,normal_pool_available,,
983,birthday_things,BIRTHDAY THINGS,time,Things associated with a birthday celebration,found_in,0.2,16,6,10,0,0,16,16,0.0,normal_pool_available,,
793,black_things,BLACK THINGS,properties,Everyday things that are typically black in color,has_property,0.3,18,0,17,1,0,18,17,0.0556,usable_with_constraints,P2,NO_APPROVED_WORDS
1009,blades,BLADES,tools,Parts of tools that do the cutting,is_a,0.35,11,9,2,0,0,11,11,0.0,usable_with_constraints,P2,THIN_LT_12_PLAYABLE
936,board_and_card_games,GAMES OF SKILL,sports,Competitive indoor games of skill,is_a,0.3,14,8,3,3,0,14,11,0.2143,normal_pool_available,,
404,board_game_pieces,GAME PIECES,hobbies,Pieces and parts used in board games,is_a,0.35,14,5,8,0,1,13,13,0.0,normal_pool_available,,
238,board_games,BOARD GAMES,entertainment,Games played on a board with pieces or cards on a table,is_a,0.25,20,11,5,3,1,19,16,0.1579,normal_pool_available,,
1034,boats,BOATS AND SHIPS,transport,Kinds of watercraft,is_a,0.25,20,17,2,1,0,20,19,0.05,normal_pool_available,,
668,bodies_of_water,BODIES OF WATER,nature,Natural or man-made bodies of water on the surface of the earth,is_a,0.2,25,22,3,0,0,25,25,0.0,normal_pool_available,,
606,body_fluids,BODY FLUIDS,medicine,Fluids produced by the human body,is_a,0.4,12,0,6,6,0,12,6,0.5,hard_only_or_manual_review,P1,NO_APPROVED_WORDS
734,body_language,BODY LANGUAGE,people,Gestures people make with the body to communicate,does_action,0.4,15,0,6,9,0,15,6,0.6,hard_only_or_manual_review,P1,NO_APPROVED_WORDS | MAJORITY_HARD_ONLY
93,body_movements,BODY MOVEMENTS,body,Movements the human body makes,does_action,0.3,20,6,14,0,0,20,20,0.0,normal_pool_available,,
561,body_of_water_types,WATER FEATURES,lists,Kinds of water feature made by people,is_a,0.4,14,12,1,1,0,14,13,0.0714,normal_pool_available,,
86,body_parts,BODY PARTS,body,External parts of the human body,is_a,0.1,25,16,9,0,0,25,25,0.0,normal_pool_available,,
840,body_science,HUMAN BIOLOGY,science,Scientific words about how the human body works,found_in,0.4,18,0,15,3,0,18,15,0.1667,usable_with_constraints,P2,NO_APPROVED_WORDS
94,body_sounds,BODY SOUNDS,body,Sounds the human body makes on its own,does_action,0.35,16,5,9,2,0,16,14,0.125,normal_pool_available,,
104,body_systems,BODY SYSTEMS,body,Systems that make up the human body,is_a,0.4,10,0,4,6,0,10,4,0.6,hard_only_or_manual_review,P1,NO_APPROVED_WORDS | THIN_LT_12_PLAYABLE | MAJORITY_HARD_ONLY
90,bones,BONES,body,Bones of the human skeleton,is_a,0.3,16,14,0,2,0,16,14,0.125,normal_pool_available,,
587,book_genres,BOOK GENRES,media,Categories used to classify books,is_a,0.3,18,11,7,0,0,18,18,0.0,normal_pool_available,,
946,bowling_words,BOWLING WORDS,sports_world,Words used in bowling,found_in,0.35,14,2,12,0,0,14,14,0.0,usable_with_constraints,P2,FEWER_THAN_4_APPROVED
1008,boxes_and_cases,TOOL STORAGE,tools,Things used to store and carry tools,is_a,0.35,14,7,6,1,0,14,13,0.0714,normal_pool_available,,
943,boxing_words,BOXING WORDS,sports_world,Words used in a boxing match,found_in,0.35,16,6,9,0,1,15,15,0.0,normal_pool_available,,
726,boys_names,BOYS NAMES,people,Common first names given to boys in the United States,is_a,0.2,25,20,5,0,0,25,25,0.0,normal_pool_available,,
309,bread_types,BREAD TYPES,food,Kinds of bread and baked goods made from dough,is_a,0.25,25,18,2,5,0,25,20,0.2,normal_pool_available,,
343,breakfast_cereals_types,CEREAL TYPES,food_more,Kinds of breakfast cereal by form,is_a,0.4,12,10,1,1,0,12,11,0.0833,normal_pool_available,,
301,breakfast_foods,BREAKFAST FOODS,food,Foods typically eaten at breakfast in the United States,is_a,0.2,25,22,3,0,0,25,25,0.0,normal_pool_available,,
882,bright_stars,STARS,space,Individual stars people can name,is_a,0.45,15,5,0,10,0,15,5,0.6667,hard_only_or_manual_review,P1,MAJORITY_HARD_ONLY
195,brightness_words,BRIGHTNESS WORDS,descriptive,Words describing how much light something gives,is_a,0.4,14,0,11,3,0,14,11,0.2143,usable_with_constraints,P2,NO_APPROVED_WORDS
8,building_actions,BUILDING ACTIONS,actions,Actions done when building or repairing something,does_action,0.3,18,3,14,1,0,18,17,0.0556,usable_with_constraints,P2,FEWER_THAN_4_APPROVED
564,building_materials,BUILDING MATERIALS,materials,Materials used to construct buildings,made_of,0.25,20,12,8,0,0,20,20,0.0,normal_pool_available,,
457,building_trades,BUILDING TRADES,jobs,Skilled trades that build and repair buildings,is_a,0.25,18,9,4,5,0,18,13,0.2778,normal_pool_available,,
132,business_words,BUSINESS WORDS,business,Words used in running a business,found_in,0.3,20,17,3,0,0,20,20,0.0,normal_pool_available,,
1025,butcher_words,BUTCHER SHOP,trades,Things found in a butcher shop,found_in,0.4,14,1,13,0,0,14,14,0.0,usable_with_constraints,P2,FEWER_THAN_4_APPROVED
898,butterflies_and_moths,BUTTERFLIES AND MOTHS,species,Kinds of butterfly and moth,is_a,0.4,12,8,2,2,0,12,10,0.1667,normal_pool_available,,
771,cactus_and_succulents,CACTUS AND SUCCULENTS,plants,Desert plants that store water in thick leaves or stems,is_a,0.4,12,0,2,10,0,12,2,0.8333,blocked_for_normal_levels,P0,CANNOT_BUILD_NORMAL_QUARTET | NO_APPROVED_WORDS | MAJORITY_HARD_ONLY
319,cake_types,CAKE TYPES,food,Kinds of cake baked and sold in the United States,is_a,0.3,20,11,7,2,0,20,18,0.1,normal_pool_available,,
976,calendar_words,CALENDAR WORDS,time,Everyday English words for dates and periods of time on a calendar,is_a,0.25,22,17,5,0,0,22,22,0.0,normal_pool_available,,
121,camera_and_electronics,ELECTRONICS BRANDS,brands,Brands of consumer electronics,is_a,0.35,14,7,5,2,0,14,12,0.1429,normal_pool_available,,
931,camping_and_outdoors,OUTDOOR ACTIVITIES,sports,Recreational activities done outdoors,is_a,0.25,18,9,6,3,0,18,15,0.1667,normal_pool_available,,
396,camping_gear,CAMPING GEAR,hobbies,Gear packed for a camping trip,used_in,0.25,20,8,12,0,0,20,20,0.0,normal_pool_available,,
755,canadian_places,CANADIAN PLACES,places,Well known places in Canada,is_a,0.4,14,14,0,0,0,14,14,0.0,normal_pool_available,,
318,candy,CANDY,food,Sweets sold in a candy aisle,is_a,0.2,20,14,5,1,0,20,19,0.05,normal_pool_available,,
119,candy_bar_flavors,DAIRY BRANDS,brands,Ice cream brands sold in America,is_a,0.4,12,7,2,2,1,11,9,0.1818,usable_with_constraints,P2,THIN_LT_12_PLAYABLE
108,candy_brands,CANDY BRANDS,brands,Candy brands sold in American stores,is_a,0.3,16,9,1,6,0,16,10,0.375,normal_pool_available,,
342,candy_shapes,CANDY TYPES,food_more,Forms candy is sold in,is_a,0.3,14,3,11,0,0,14,14,0.0,usable_with_constraints,P2,FEWER_THAN_4_APPROVED
689,canyons_and_valleys,CANYONS AND VALLEYS,nature_more,Famous canyons and valleys,is_a,0.45,10,10,0,0,0,10,10,0.0,usable_with_constraints,P2,THIN_LT_12_PLAYABLE
153,capital_cities_more,MORE CAPITALS,cities,Capital cities less commonly named,is_a,0.4,18,18,0,0,0,18,18,0.0,normal_pool_available,,
139,car_brands,CAR BRANDS,business,Car manufacturers sold in the United States,is_a,0.3,18,17,1,0,0,18,18,0.0,normal_pool_available,,
118,car_models,CAR MODELS,brands,Well known car model names,is_a,0.35,16,11,4,0,1,15,15,0.0,normal_pool_available,,
1031,car_parts,CAR PARTS,transport,Physical parts of an ordinary passenger car,part_of,0.2,25,19,4,2,0,25,23,0.08,normal_pool_available,,
186,card_and_dice_games,CLASSIC GAMES,culture,Classic games played for generations,is_a,0.35,14,8,2,4,0,14,10,0.2857,normal_pool_available,,
240,card_games,CARD GAMES,entertainment,Games played with a deck of cards,is_a,0.3,16,9,3,4,0,16,12,0.25,normal_pool_available,,
860,card_tricks,CARD TRICKS,skills,Terms used in performing card tricks,found_in,0.5,12,0,2,10,0,12,2,0.8333,blocked_for_normal_levels,P0,CANNOT_BUILD_NORMAL_QUARTET | NO_APPROVED_WORDS | MAJORITY_HARD_ONLY
239,card_words,CARD WORDS,entertainment,"Words for the cards, suits and parts of a standard deck of playing cards",found_in,0.3,22,10,12,0,0,22,22,0.0,normal_pool_available,,
756,caribbean_places,CARIBBEAN PLACES,places,Islands and countries of the Caribbean,is_a,0.4,14,12,1,1,0,14,13,0.0714,normal_pool_available,,
1013,carpentry_words,CARPENTRY WORDS,trades,Things a carpenter works with,found_in,0.35,18,5,9,4,0,18,14,0.2222,normal_pool_available,,
13,carrying_actions,CARRYING ACTIONS,actions,Ways of carrying or moving an object,does_action,0.35,15,12,3,0,0,15,15,0.0,normal_pool_available,,
581,cartoon_characters,CARTOON CHARACTERS,media,Classic cartoon characters,is_a,0.25,18,12,5,1,0,18,17,0.0556,normal_pool_available,,
375,castle_things,CASTLE THINGS,history,Parts and features of a medieval castle,found_in,0.25,18,9,7,2,0,18,16,0.1111,normal_pool_available,,
893,cat_breeds,CAT BREEDS,species,Breeds of domestic cat,is_a,0.35,15,11,0,4,0,15,11,0.2667,normal_pool_available,,
895,cattle_and_farm_breeds,FARM BREEDS,species,"Breeds of cattle, sheep and pigs raised on farms",is_a,0.45,13,0,0,13,0,13,0,1.0,blocked_for_normal_levels,P0,NO_NORMAL_WORDS | NO_APPROVED_WORDS | MAJORITY_HARD_ONLY
694,cave_things,CAVE THINGS,nature_more,Things found inside a cave,found_in,0.4,14,3,10,1,0,14,13,0.0714,usable_with_constraints,P2,FEWER_THAN_4_APPROVED
109,cereal_brands,CEREAL BRANDS,brands,Breakfast cereal brands sold in America,is_a,0.35,14,8,1,5,0,14,9,0.3571,normal_pool_available,,
824,ceremonies,RELIGIOUS CEREMONIES,religion,Ceremonies performed in religious life,is_a,0.35,14,11,3,0,0,14,14,0.0,normal_pool_available,,
211,certainty_words,CERTAINTY WORDS,descriptive,Words describing how sure something is,is_a,0.4,13,0,12,1,0,13,12,0.0769,usable_with_constraints,P2,NO_APPROVED_WORDS
347,cheese_dishes,CHEESE DISHES,food_more,Dishes built around cheese,is_a,0.4,12,8,1,3,0,12,9,0.25,normal_pool_available,,
308,cheese_types,CHEESE TYPES,food,Kinds of cheese sold in American grocery stores,is_a,0.3,20,12,3,5,0,20,15,0.25,normal_pool_available,,
846,chemistry_words,CHEMISTRY WORDS,science,Words used in chemistry class,found_in,0.4,16,0,12,4,0,16,12,0.25,usable_with_constraints,P2,NO_APPROVED_WORDS
399,chess_words,CHESS WORDS,hobbies,Pieces and moves in a game of chess,found_in,0.35,16,7,8,1,0,16,15,0.0625,normal_pool_available,,
1059,chili_and_spice_blends,SPICE BLENDS,varieties,Mixtures of spices sold as one seasoning,is_a,0.4,14,11,0,3,0,14,11,0.2143,normal_pool_available,,
981,christmas_things,CHRISTMAS THINGS,time,Things associated with an American Christmas,found_in,0.2,20,12,8,0,0,20,20,0.0,normal_pool_available,,
822,church_things,CHURCH THINGS,religion,Things found inside a church,found_in,0.3,18,10,7,1,0,18,17,0.0556,normal_pool_available,,
474,circus_and_fair_jobs,CIRCUS JOBS,jobs,Jobs held by performers and workers at a circus or fair,is_a,0.35,12,8,2,2,0,12,10,0.1667,normal_pool_available,,
244,circus_words,CIRCUS WORDS,entertainment,"People, animals and objects you see at a traditional circus",found_in,0.3,18,9,8,1,0,18,17,0.0556,normal_pool_available,,
293,citrus_fruits,CITRUS FRUITS,food,Fruits of the citrus family with a thick peel and juicy segments,is_a,0.25,10,6,1,3,0,10,7,0.3,hard_only_or_manual_review,P1,THIN_LT_12_PLAYABLE
154,city_nicknames,CITY NICKNAMES,cities,Nicknames given to famous cities,is_a,0.45,12,11,0,1,0,12,11,0.0833,normal_pool_available,,
876,city_sounds,CITY SOUNDS,sounds,Sounds heard on a city street,does_action,0.4,14,0,12,2,0,14,12,0.1429,usable_with_constraints,P2,NO_APPROVED_WORDS
357,city_words,CITY WORDS,geography,Words for the parts and features of a city,found_in,0.25,20,17,3,0,0,20,20,0.0,normal_pool_available,,
585,classic_novels,CLASSIC NOVELS,media,Classic novels widely read in school,is_a,0.4,15,15,0,0,0,15,15,0.0,normal_pool_available,,
487,classic_tv_shows,CLASSIC TV,landmarks,Television shows known across generations,is_a,0.4,14,8,5,1,0,14,13,0.0714,normal_pool_available,,
214,classroom_things,CLASSROOM THINGS,education,Things found in a school classroom,found_in,0.2,20,8,12,0,0,20,20,0.0,normal_pool_available,,
7,cleaning_actions,CLEANING ACTIONS,actions,Actions done when cleaning something,does_action,0.3,16,13,2,1,0,16,15,0.0625,normal_pool_available,,
416,cleaning_supplies,CLEANING SUPPLIES,home,Tools and products used to clean a house,used_in,0.2,20,12,6,2,0,20,18,0.1,normal_pool_available,,
1003,cleaning_tools,CLEANING TOOLS,tools,Tools used for cleaning and tidying,used_in,0.25,16,9,5,2,0,16,14,0.125,normal_pool_available,,
1023,cleaning_trade,JANITORIAL WORDS,trades,Things a janitor uses at work,found_in,0.35,15,5,9,1,0,15,14,0.0667,normal_pool_available,,
196,cleanliness_words,CLEANLINESS WORDS,descriptive,Words describing how clean something is,is_a,0.35,15,14,1,0,0,15,15,0.0,normal_pool_available,,
364,climate_zones,CLIMATE WORDS,geography,Words describing the climate of a region,is_a,0.35,14,6,8,0,0,14,14,0.0,normal_pool_available,,
980,clock_words,CLOCK WORDS,time,Words and parts having to do with clocks,found_in,0.3,16,9,6,1,0,16,15,0.0625,normal_pool_available,,
112,clothing_brands,CLOTHING BRANDS,brands,Well known clothing and shoe brands,is_a,0.3,15,12,3,0,0,15,15,0.0,normal_pool_available,,
156,clothing_items,CLOTHING ITEMS,clothing,Garments worn on the body,is_a,0.1,25,21,4,0,0,25,25,0.0,normal_pool_available,,
163,clothing_parts,GARMENT PARTS,clothing,Parts sewn into a piece of clothing,part_of,0.3,17,10,6,1,0,17,16,0.0588,normal_pool_available,,
170,clothing_sizes,CLOTHING SIZES,clothing,Words used for clothing sizes and fit,is_a,0.35,14,12,2,0,0,14,14,0.0,normal_pool_available,,
666,cloud_and_sky,SKY WORDS,nature,Things you can see in the sky,found_in,0.3,20,14,6,0,0,20,20,0.0,normal_pool_available,,
856,cocktails,COCKTAILS,skills,Named mixed drinks,is_a,0.35,16,13,0,3,0,16,13,0.1875,normal_pool_available,,
123,coffee_brands,COFFEE BRANDS,brands,Coffee brands and coffee shops,is_a,0.4,12,6,2,4,0,12,8,0.3333,normal_pool_available,,
1074,coffee_drinks,COFFEE DRINKS,world_food,Ways coffee is prepared and served,is_a,0.25,14,9,1,3,1,13,10,0.2308,normal_pool_available,,
130,coins_and_bills,US MONEY,business,Coins and bills used in the United States,is_a,0.25,15,12,3,0,0,15,15,0.0,normal_pool_available,,
