word,normalized,category_key,decision,review_comment
rivers,rivers,geography_class,approved,[политика] связь сильная и читаемая: годится как дом слова
islands,islands,geography_class,approved,[политика] связь сильная и читаемая: годится как дом слова
lakes,lakes,geography_class,approved,[политика] связь сильная и читаемая: годится как дом слова
seas,seas,geography_class,approved,[политика] связь сильная и читаемая: годится как дом слова
globe,globe,geography_class,approved,[политика] связь сильная и читаемая: годится как дом слова
atlas,atlas,geography_class,approved,[политика] связь сильная и читаемая: годится как дом слова
latitude,latitude,geography_class,approved,[политика] связь сильная и читаемая: годится как дом слова
airlines,airlines,airport_words,approved,[политика] связь сильная и читаемая: годится как дом слова
aircraft,aircraft,airport_words,approved,[политика] связь сильная и читаемая: годится как дом слова
currencies,currencies,airport_words,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
languages,languages,airport_words,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
crimes,crimes,courtroom,approved,[политика] связь сильная и читаемая: годится как дом слова
penalties,penalties,courtroom,approved,[политика] связь сильная и читаемая: годится как дом слова
rights,rights,courtroom,approved,[политика] связь сильная и читаемая: годится как дом слова
titles,titles,courtroom,hard_only,"[критик] Обращения в суде существуют, но TITLES — слишком общее слово, чтобы игрок связал его именно с судом."
gavel,gavel,courtroom,approved,[политика] связь сильная и читаемая: годится как дом слова
verdict,verdict,courtroom,approved,[политика] связь сильная и читаемая: годится как дом слова
jury,jury,courtroom,approved,[политика] связь сильная и читаемая: годится как дом слова
inventions,inventions,science_fair,approved,[политика] связь сильная и читаемая: годится как дом слова
metals,metals,science_fair,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
shapes,shapes,science_fair,hard_only,"[критик] Геометрия на научной выставке встречается, но связь общая до пустоты."
minerals,minerals,science_fair,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
volcanoes,volcanoes,science_fair,approved,[политика] связь сильная и читаемая: годится как дом слова
poster,poster,science_fair,approved,[политика] связь сильная и читаемая: годится как дом слова
beaker,beaker,science_fair,approved,[политика] связь сильная и читаемая: годится как дом слова
hypothesis,hypothesis,science_fair,approved,[политика] связь сильная и читаемая: годится как дом слова
colors,colors,art_class_things,approved,[политика] связь сильная и читаемая: годится как дом слова
shapes,shapes,art_class_things,approved,[политика] связь сильная и читаемая: годится как дом слова
patterns,patterns,art_class_things,approved,[политика] связь сильная и читаемая: годится как дом слова
crafts,crafts,art_class_things,approved,[политика] связь сильная и читаемая: годится как дом слова
houseplants,houseplants,garden_center,approved,[политика] связь сильная и читаемая: годится как дом слова
flowers,flowers,garden_center,approved,[политика] связь сильная и читаемая: годится как дом слова
trees,trees,garden_center,approved,[политика] связь сильная и читаемая: годится как дом слова
weeds,weeds,garden_center,hard_only,"[критик] Садовый центр продаёт средства ОТ сорняков. Игрок скорее решит, что это ошибка."
soil,soil,garden_center,approved,[политика] связь сильная и читаемая: годится как дом слова
trowel,trowel,garden_center,approved,[политика] связь сильная и читаемая: годится как дом слова
seedling,seedling,garden_center,approved,[политика] связь сильная и читаемая: годится как дом слова
awards,awards,hall_of_fame,approved,[политика] связь сильная и читаемая: годится как дом слова
inventors,inventors,hall_of_fame,approved,[политика] связь сильная и читаемая: годится как дом слова
explorers,explorers,hall_of_fame,approved,[политика] связь сильная и читаемая: годится как дом слова
composers,composers,hall_of_fame,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
plaque,plaque,hall_of_fame,approved,[политика] связь сильная и читаемая: годится как дом слова
bust,bust,hall_of_fame,approved,[политика] связь сильная и читаемая: годится как дом слова
legend,legend,hall_of_fame,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
furniture,furniture,home_decor,approved,[политика] связь сильная и читаемая: годится как дом слова
lighting,lighting,home_decor,approved,[политика] связь сильная и читаемая: годится как дом слова
patterns,patterns,home_decor,approved,[политика] связь сильная и читаемая: годится как дом слова
colors,colors,home_decor,approved,[политика] связь сильная и читаемая: годится как дом слова
fabrics,fabrics,home_decor,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
rug,rug,home_decor,approved,[политика] связь сильная и читаемая: годится как дом слова
curtains,curtains,home_decor,approved,[политика] связь сильная и читаемая: годится как дом слова
vase,vase,home_decor,approved,[политика] связь сильная и читаемая: годится как дом слова
songbirds,songbirds,bird_watching,approved,[политика] связь сильная и читаемая: годится как дом слова
owls,owls,bird_watching,approved,[политика] связь сильная и читаемая: годится как дом слова
seabirds,seabirds,bird_watching,approved,[политика] связь сильная и читаемая: годится как дом слова
waterfowl,waterfowl,bird_watching,approved,[политика] связь сильная и читаемая: годится как дом слова
binoculars,binoculars,bird_watching,approved,[политика] связь сильная и читаемая: годится как дом слова
feeder,feeder,bird_watching,approved,[политика] связь сильная и читаемая: годится как дом слова
nest,nest,bird_watching,approved,[политика] связь сильная и читаемая: годится как дом слова
bones,bones,natural_history_museum,approved,[политика] связь сильная и читаемая: годится как дом слова
minerals,minerals,natural_history_museum,approved,[политика] связь сильная и читаемая: годится как дом слова
gemstones,gemstones,natural_history_museum,approved,[политика] связь сильная и читаемая: годится как дом слова
insects,insects,natural_history_museum,approved,[политика] связь сильная и читаемая: годится как дом слова
fossil,fossil,natural_history_museum,approved,[политика] связь сильная и читаемая: годится как дом слова
diorama,diorama,natural_history_museum,approved,[политика] связь сильная и читаемая: годится как дом слова
skeleton,skeleton,natural_history_museum,approved,[политика] связь сильная и читаемая: годится как дом слова
fasteners,fasteners,hardware_store,approved,[политика] связь сильная и читаемая: годится как дом слова
blades,blades,hardware_store,approved,[политика] связь сильная и читаемая: годится как дом слова
fuels,fuels,hardware_store,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
containers,containers,hardware_store,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
ladder,ladder,hardware_store,approved,[политика] связь сильная и читаемая: годится как дом слова
hose,hose,hardware_store,approved,[политика] связь сильная и читаемая: годится как дом слова
sandpaper,sandpaper,hardware_store,approved,[политика] связь сильная и читаемая: годится как дом слова
superheroes,superheroes,costume_party,approved,[политика] связь сильная и читаемая: годится как дом слова
hats,hats,costume_party,approved,[политика] связь сильная и читаемая: годится как дом слова
makeup,makeup,costume_party,approved,[политика] связь сильная и читаемая: годится как дом слова
uniforms,uniforms,costume_party,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
wig,wig,costume_party,approved,[политика] связь сильная и читаемая: годится как дом слова
cape,cape,costume_party,approved,[политика] связь сильная и читаемая: годится как дом слова
mask,mask,costume_party,approved,[политика] связь сильная и читаемая: годится как дом слова
dishes,dishes,dinner_party,approved,[политика] связь сильная и читаемая: годится как дом слова
silverware,silverware,dinner_party,approved,[политика] связь сильная и читаемая: годится как дом слова
desserts,desserts,dinner_party,approved,[политика] связь сильная и читаемая: годится как дом слова
sauces,sauces,dinner_party,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
cocktails,cocktails,dinner_party,approved,[политика] связь сильная и читаемая: годится как дом слова
toast,toast,dinner_party,approved,[политика] связь сильная и читаемая: годится как дом слова
centerpiece,centerpiece,dinner_party,approved,[политика] связь сильная и читаемая: годится как дом слова
seating,seating,dinner_party,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
greetings,greetings,greeting_card,approved,[политика] связь сильная и читаемая: годится как дом слова
holidays,holidays,greeting_card,approved,[политика] связь сильная и читаемая: годится как дом слова
feelings,feelings,greeting_card,approved,[политика] связь сильная и читаемая: годится как дом слова
flowers,flowers,greeting_card,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
envelope,envelope,greeting_card,approved,[политика] связь сильная и читаемая: годится как дом слова
stamp,stamp,greeting_card,approved,[политика] связь сильная и читаемая: годится как дом слова
glitter,glitter,greeting_card,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
swimwear,swimwear,beach_day,approved,[политика] связь сильная и читаемая: годится как дом слова
seabirds,seabirds,beach_day,approved,[политика] связь сильная и читаемая: годится как дом слова
shellfish,shellfish,beach_day,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
eyewear,eyewear,beach_day,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
sunscreen,sunscreen,beach_day,approved,[политика] связь сильная и читаемая: годится как дом слова
towel,towel,beach_day,approved,[политика] связь сильная и читаемая: годится как дом слова
umbrella,umbrella,beach_day,approved,[политика] связь сильная и читаемая: годится как дом слова
toys,toys,toy_chest,approved,[политика] связь сильная и читаемая: годится как дом слова
balls,balls,toy_chest,approved,[политика] связь сильная и читаемая: годится как дом слова
puzzles,puzzles,toy_chest,approved,[политика] связь сильная и читаемая: годится как дом слова
gadgets,gadgets,toy_chest,hard_only,[критик] Гаджет — не игрушка. Связь есть только через «оказалось в ящике».
blocks,blocks,toy_chest,approved,[политика] связь сильная и читаемая: годится как дом слова
marbles,marbles,toy_chest,approved,[политика] связь сильная и читаемая: годится как дом слова
doll,doll,toy_chest,approved,[политика] связь сильная и читаемая: годится как дом слова
livestock,livestock,farm_morning,approved,[политика] связь сильная и читаемая: годится как дом слова
poultry,poultry,farm_morning,approved,[политика] связь сильная и читаемая: годится как дом слова
pests,pests,farm_morning,approved,[политика] связь сильная и читаемая: годится как дом слова
weeds,weeds,farm_morning,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
barn,barn,farm_morning,approved,[политика] связь сильная и читаемая: годится как дом слова
tractor,tractor,farm_morning,approved,[политика] связь сильная и читаемая: годится как дом слова
silo,silo,farm_morning,approved,[политика] связь сильная и читаемая: годится как дом слова
storms,storms,weather_report,approved,[политика] связь сильная и читаемая: годится как дом слова
seasons,seasons,weather_report,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
directions,directions,weather_report,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
months,months,weather_report,rejected,"[критик+человек] Обоснование «в прогнозе называют среднемесячные значения» технически верно, но игрок никогда не сгруппирует MONTHS с forecast и radar. Очевидность 0.26 — сама модель это признала и всё равно предложила."
forecast,forecast,weather_report,approved,[политика] связь сильная и читаемая: годится как дом слова
radar,radar,weather_report,approved,[политика] связь сильная и читаемая: годится как дом слова
humidity,humidity,weather_report,approved,[человек] Политика дала alternative по очевидности 0.78 против порога силы 0.92 — но это буквально строка прогноза погоды. Явное повышение.
languages,languages,travel_abroad,approved,[политика] связь сильная и читаемая: годится как дом слова
currencies,currencies,travel_abroad,approved,[политика] связь сильная и читаемая: годится как дом слова
nationalities,nationalities,travel_abroad,approved,[политика] связь сильная и читаемая: годится как дом слова
islands,islands,travel_abroad,hard_only,"[критик] Островные страны — частный случай поездки за границу, а не признак её."
visa,visa,travel_abroad,approved,[политика] связь сильная и читаемая: годится как дом слова
souvenir,souvenir,travel_abroad,approved,[политика] связь сильная и читаемая: годится как дом слова
phrasebook,phrasebook,travel_abroad,approved,[политика] связь сильная и читаемая: годится как дом слова
jewelry,jewelry,jewelry_box,approved,[политика] связь сильная и читаемая: годится как дом слова
gemstones,gemstones,jewelry_box,approved,[политика] связь сильная и читаемая: годится как дом слова
metals,metals,jewelry_box,approved,[политика] связь сильная и читаемая: годится как дом слова
accessories,accessories,jewelry_box,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
clasp,clasp,jewelry_box,approved,[политика] связь сильная и читаемая: годится как дом слова
velvet,velvet,jewelry_box,approved,[политика] связь сильная и читаемая: годится как дом слова
heirloom,heirloom,jewelry_box,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
landforms,landforms,map_legend,approved,[политика] связь сильная и читаемая: годится как дом слова
biomes,biomes,map_legend,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
volcanoes,volcanoes,map_legend,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
waterfalls,waterfalls,map_legend,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
contour,contour,map_legend,approved,[политика] связь сильная и читаемая: годится как дом слова
scale,scale,map_legend,approved,[политика] связь сильная и читаемая: годится как дом слова
symbol,symbol,map_legend,approved,[политика] связь сильная и читаемая: годится как дом слова
berries,berries,fruits,approved,[политика] связь сильная и читаемая: годится как дом слова
shellfish,shellfish,seafood,approved,[политика] связь сильная и читаемая: годится как дом слова
crustaceans,crustaceans,shellfish,approved,[политика] связь сильная и читаемая: годится как дом слова
songbirds,songbirds,birds,approved,[политика] связь сильная и читаемая: годится как дом слова
owls,owls,birds,approved,[политика] связь сильная и читаемая: годится как дом слова
seabirds,seabirds,birds,approved,[политика] связь сильная и читаемая: годится как дом слова
waterfowl,waterfowl,birds,approved,[политика] связь сильная и читаемая: годится как дом слова
poultry,poultry,birds,approved,[политика] связь сильная и читаемая: годится как дом слова
snakes,snakes,reptiles,approved,[политика] связь сильная и читаемая: годится как дом слова
lizards,lizards,reptiles,approved,[политика] связь сильная и читаемая: годится как дом слова
turtles,turtles,reptiles,approved,[политика] связь сильная и читаемая: годится как дом слова
wildflowers,wildflowers,flowers,approved,[политика] связь сильная и читаемая: годится как дом слова
gemstones,gemstones,minerals,approved,[политика] связь сильная и читаемая: годится как дом слова
diseases,diseases,illnesses,approved,[политика] связь сильная и читаемая: годится как дом слова
trucks,trucks,vehicles,approved,[политика] связь сильная и читаемая: годится как дом слова
aircraft,aircraft,vehicles,approved,[политика] связь сильная и читаемая: годится как дом слова
sauces,sauces,condiments,approved,[политика] связь сильная и читаемая: годится как дом слова
salads,salads,dishes_and_glassware,approved,[политика] связь сильная и читаемая: годится как дом слова
islands,islands,landforms,approved,[политика] связь сильная и читаемая: годится как дом слова
volcanoes,volcanoes,landforms,approved,[политика] связь сильная и читаемая: годится как дом слова
hats,hats,accessories,approved,[политика] связь сильная и читаемая: годится как дом слова
jewelry,jewelry,accessories,approved,[политика] связь сильная и читаемая: годится как дом слова
eyewear,eyewear,accessories,approved,[политика] связь сильная и читаемая: годится как дом слова
rodents,rodents,pests,approved,[политика] связь сильная и читаемая: годится как дом слова
insects,insects,pests,approved,[политика] связь сильная и читаемая: годится как дом слова
moons,moons,planets,rejected,"[критик+человек] Луна не является планетой. Связь «moons принадлежат planets» верна для физики, но категория PLANETS означает «планеты», и мета-пузырь MOONS внутри неё учил бы игрока неверному. Формально высокий fit 0.72 — пример того, как модель защищает кандидата вместо проверки."
constellations,constellations,bright_stars,approved,[политика] связь сильная и читаемая: годится как дом слова
desserts,desserts,dishes_and_glassware,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
teas,teas,cocktails,rejected,"[критик+человек] Модель обосновала связь названием «Long Island iced tea». Это каламбур, а не ассоциация: игрок, увидев пузырь TEAS среди коктейлей, будет прав, решив, что это ошибка. Худший кандидат прогона."
digits,digits,bones,alternative,"[человек] Пальцы действительно кости, но DIGITS среди skull и spine читается как «цифры». Двусмысленность настоящая, поэтому только ловушка."
