category_key,label,quartet_id,tier,tiers,position,rank_avg,words
accessories,ACCESSORIES,190,easy,easy,0.000,0.194,watch | belt | purse | gloves
adhesives,GLUES AND TAPES,223,easy,easy,0.083,0.288,glue | tape | super glue | hot glue
adhesives,GLUES AND TAPES,227,easy,easy,0.167,0.442,gum | masking tape | hot glue | mortar
adhesives,GLUES AND TAPES,224,easy,easy,0.250,0.462,tape | adhesive | duct tape | mortar
adhesives,GLUES AND TAPES,226,easy,"easy,medium",0.333,0.462,glue | cement | epoxy | mortar
adhesives,GLUES AND TAPES,228,medium,medium,0.417,0.481,glue | paste | duct tape | masking tape
adhesives,GLUES AND TAPES,231,medium,medium,0.500,0.500,gum | glue | putty | adhesive
adhesives,GLUES AND TAPES,230,medium,medium,0.583,0.519,putty | cement | duct tape | hot glue
adhesives,GLUES AND TAPES,229,medium,medium,0.667,0.538,putty | paste | super glue | mortar
adhesives,GLUES AND TAPES,232,medium,medium,0.750,0.538,gum | sealant | super glue | duct tape
adhesives,GLUES AND TAPES,233,hard,hard,0.833,0.577,sealant | paste | adhesive | hot glue
adhesives,GLUES AND TAPES,234,hard,hard,0.917,0.577,caulk | cement | adhesive | super glue
adhesives,GLUES AND TAPES,225,hard,hard,1.000,0.635,tape | putty | epoxy | masking tape
advertising_words,ADVERTISING WORDS,235,easy,easy,0.000,0.100,brand | ad | campaign | commercial
advertising_words,ADVERTISING WORDS,236,easy,easy,0.077,0.250,banner | campaign | logo | sponsor
advertising_words,ADVERTISING WORDS,237,easy,easy,0.154,0.333,coupon | billboard | logo | commercial
advertising_words,ADVERTISING WORDS,239,easy,easy,0.231,0.417,banner | commercial | promo | endorsement
advertising_words,ADVERTISING WORDS,240,easy,"easy,medium",0.308,0.417,brand | banner | slogan | billboard
advertising_words,ADVERTISING WORDS,248,easy,"easy,medium",0.385,0.417,ad | billboard | sponsor | promo
advertising_words,ADVERTISING WORDS,241,medium,medium,0.462,0.433,brand | coupon | sponsor | endorsement
advertising_words,ADVERTISING WORDS,238,medium,medium,0.538,0.450,brand | logo | promo | mascot
advertising_words,ADVERTISING WORDS,242,medium,medium,0.615,0.467,coupon | slogan | campaign | promo
advertising_words,ADVERTISING WORDS,243,medium,medium,0.692,0.467,banner | coupon | ad | mascot
advertising_words,ADVERTISING WORDS,245,hard,hard,0.769,0.483,billboard | campaign | mascot | endorsement
advertising_words,ADVERTISING WORDS,244,hard,hard,0.846,0.500,slogan | commercial | sponsor | mascot
advertising_words,ADVERTISING WORDS,246,hard,hard,0.923,0.517,ad | jingle | logo | endorsement
advertising_words,ADVERTISING WORDS,247,hard,hard,1.000,0.700,jingle | campaign | tagline | flyer
african_animals,AFRICAN ANIMALS,249,easy,easy,0.000,0.083,leopard | lion | elephant | buffalo
african_animals,AFRICAN ANIMALS,250,easy,easy,0.053,0.208,lion | zebra | rhino | crocodile
african_animals,AFRICAN ANIMALS,255,easy,easy,0.105,0.306,giraffe | hippo | rhino | buffalo
african_animals,AFRICAN ANIMALS,251,easy,easy,0.158,0.333,vulture | lion | giraffe | cheetah
african_animals,AFRICAN ANIMALS,256,easy,easy,0.211,0.347,elephant | giraffe | antelope | crocodile
african_animals,AFRICAN ANIMALS,257,easy,"easy,medium",0.263,0.361,ostrich | cheetah | buffalo | crocodile
african_animals,AFRICAN ANIMALS,260,easy,"easy,medium",0.316,0.361,elephant | zebra | hippo | cheetah
african_animals,AFRICAN ANIMALS,261,easy,"easy,medium",0.368,0.361,leopard | rhino | cheetah | antelope
african_animals,AFRICAN ANIMALS,258,medium,medium,0.421,0.375,ostrich | vulture | elephant | rhino
african_animals,AFRICAN ANIMALS,259,medium,medium,0.474,0.375,vulture | zebra | antelope | buffalo
african_animals,AFRICAN ANIMALS,262,medium,medium,0.526,0.375,vulture | leopard | hippo | crocodile
african_animals,AFRICAN ANIMALS,263,medium,medium,0.579,0.389,ostrich | leopard | giraffe | zebra
african_animals,AFRICAN ANIMALS,252,medium,medium,0.632,0.458,ostrich | lion | hippo | antelope
african_animals,AFRICAN ANIMALS,253,medium,medium,0.684,0.625,lion | hyena | gazelle | baboon
african_animals,AFRICAN ANIMALS,254,medium,medium,0.737,0.667,lion | wildebeest | mongoose | acacia
african_animals,AFRICAN ANIMALS,266,hard,hard,0.789,0.667,baboon | warthog | buffalo | acacia
african_animals,AFRICAN ANIMALS,264,hard,hard,0.842,0.694,gazelle | meerkat | buffalo | mongoose
african_animals,AFRICAN ANIMALS,265,hard,hard,0.895,0.722,elephant | hyena | warthog | mongoose
african_animals,AFRICAN ANIMALS,268,hard,hard,0.947,0.736,leopard | gazelle | warthog | wildebeest
african_animals,AFRICAN ANIMALS,267,hard,hard,1.000,0.750,elephant | meerkat | baboon | wildebeest
african_cities,AFRICAN CITIES,269,easy,easy,0.000,0.125,Cairo | Nairobi | Cape Town | Alexandria
african_cities,AFRICAN CITIES,270,easy,easy,0.077,0.268,Lagos | Casablanca | Cape Town | Pretoria
african_cities,AFRICAN CITIES,271,easy,easy,0.154,0.393,Cairo | Casablanca | Durban | Accra
african_cities,AFRICAN CITIES,281,easy,easy,0.231,0.411,Lagos | Accra | Alexandria | Khartoum
african_cities,AFRICAN CITIES,282,easy,"easy,medium",0.308,0.429,Durban | Dakar | Alexandria | Pretoria
african_cities,AFRICAN CITIES,273,easy,"easy,medium",0.385,0.429,Cairo | Lagos | Dakar | Tunis
african_cities,AFRICAN CITIES,275,medium,medium,0.462,0.446,Lagos | Nairobi | Durban | Kampala
african_cities,AFRICAN CITIES,274,medium,medium,0.538,0.446,Cape Town | Durban | Tunis | Khartoum
african_cities,AFRICAN CITIES,278,medium,medium,0.615,0.464,Nairobi | Accra | Tunis | Pretoria
african_cities,AFRICAN CITIES,277,medium,medium,0.692,0.500,Cairo | Kampala | Khartoum | Pretoria
african_cities,AFRICAN CITIES,279,hard,hard,0.769,0.536,Casablanca | Tunis | Alexandria | Kampala
african_cities,AFRICAN CITIES,276,hard,hard,0.846,0.554,Cape Town | Accra | Dakar | Kampala
african_cities,AFRICAN CITIES,272,hard,hard,0.923,0.571,Nairobi | Casablanca | Dakar | Khartoum
african_cities,AFRICAN CITIES,280,hard,hard,1.000,0.732,Marrakech | Cape Town | Addis Ababa | Luanda
african_countries,AFRICAN COUNTRIES,283,easy,easy,0.000,0.079,Egypt | Kenya | Nigeria | Chad
african_countries,AFRICAN COUNTRIES,284,easy,easy,0.059,0.197,Egypt | Ghana | Sudan | Libya
african_countries,AFRICAN COUNTRIES,289,easy,easy,0.118,0.289,Nigeria | Morocco | Ghana | Somalia
african_countries,AFRICAN COUNTRIES,285,easy,easy,0.176,0.316,Egypt | Morocco | Ethiopia | Uganda
african_countries,AFRICAN COUNTRIES,290,easy,easy,0.235,0.329,Nigeria | Uganda | Algeria | Sudan
african_countries,AFRICAN COUNTRIES,292,easy,"easy,medium",0.294,0.342,Kenya | Ethiopia | Sudan | Somalia
african_countries,AFRICAN COUNTRIES,294,easy,"easy,medium",0.353,0.342,Kenya | Morocco | Algeria | Libya
african_countries,AFRICAN COUNTRIES,293,medium,medium,0.412,0.355,Kenya | Ghana | Tanzania | Uganda
african_countries,AFRICAN COUNTRIES,297,medium,medium,0.471,0.355,Uganda | Somalia | Libya | Chad
african_countries,AFRICAN COUNTRIES,299,medium,medium,0.529,0.355,Ghana | Ethiopia | Algeria | Chad
african_countries,AFRICAN COUNTRIES,298,medium,medium,0.588,0.368,Morocco | Tanzania | Sudan | Chad
african_countries,AFRICAN COUNTRIES,291,medium,medium,0.647,0.382,Nigeria | Ethiopia | Tanzania | Libya
african_countries,AFRICAN COUNTRIES,286,medium,medium,0.706,0.447,Egypt | Tanzania | Algeria | Somalia
african_countries,AFRICAN COUNTRIES,287,hard,hard,0.765,0.539,Egypt | Tunisia | Zambia | Rwanda
african_countries,AFRICAN COUNTRIES,295,hard,hard,0.824,0.618,Nigeria | Tunisia | Senegal | Namibia
african_countries,AFRICAN COUNTRIES,296,hard,hard,0.882,0.671,Kenya | Angola | Namibia | Rwanda
african_countries,AFRICAN COUNTRIES,288,hard,hard,0.941,0.684,Egypt | Senegal | Angola | Botswana
african_countries,AFRICAN COUNTRIES,300,hard,hard,1.000,0.724,Zambia | Namibia | Botswana | Chad
age_words,AGE WORDS,301,easy,easy,0.000,0.271,fresh | new | old | vintage
age_words,AGE WORDS,302,easy,easy,0.083,0.292,fresh | ancient | modern | brand new
age_words,AGE WORDS,307,easy,easy,0.167,0.417,new | ancient | worn | contemporary
age_words,AGE WORDS,309,easy,easy,0.250,0.458,new | aged | brand new | secondhand
age_words,AGE WORDS,308,easy,"easy,medium",0.333,0.458,old | antique | brand new | contemporary
age_words,AGE WORDS,312,medium,medium,0.417,0.479,old | modern | worn | secondhand
age_words,AGE WORDS,310,medium,medium,0.500,0.479,new | modern | antique | prehistoric
age_words,AGE WORDS,311,medium,medium,0.583,0.479,old | ancient | aged | prehistoric
age_words,AGE WORDS,303,medium,medium,0.667,0.500,modern | vintage | aged | contemporary
age_words,AGE WORDS,304,medium,medium,0.750,0.562,fresh | antique | aged | worn
age_words,AGE WORDS,305,hard,hard,0.833,0.667,vintage | brand new | worn | prehistoric
age_words,AGE WORDS,306,hard,hard,0.917,0.688,fresh | prehistoric | contemporary | secondhand
age_words,AGE WORDS,313,hard,hard,1.000,0.750,ancient | vintage | antique | secondhand
aircraft,AIRCRAFT,314,easy,easy,0.000,0.107,jet | helicopter | rocket | cargo plane
aircraft,AIRCRAFT,315,easy,easy,0.071,0.268,balloon | drone | rocket | airplane
aircraft,AIRCRAFT,316,easy,easy,0.143,0.375,drone | Zeppelin | jet | shuttle
aircraft,AIRCRAFT,142,easy,easy,0.214,0.446,helicopter | airplane | glider | hot-air balloon
aircraft,AIRCRAFT,321,easy,"easy,medium",0.286,0.464,balloon | helicopter | shuttle | airship
aircraft,AIRCRAFT,317,easy,"easy,medium",0.357,0.482,jet | airplane | glider | airship
aircraft,AIRCRAFT,322,medium,medium,0.429,0.500,airplane | shuttle | ultralight | cargo plane
aircraft,AIRCRAFT,323,medium,medium,0.500,0.500,balloon | Zeppelin | glider | cargo plane
aircraft,AIRCRAFT,324,medium,medium,0.571,0.500,Zeppelin | helicopter | airplane | blimp
aircraft,AIRCRAFT,318,medium,medium,0.643,0.518,rocket | glider | blimp | shuttle
aircraft,AIRCRAFT,325,medium,medium,0.714,0.518,drone | helicopter | glider | ultralight
aircraft,AIRCRAFT,327,hard,hard,0.786,0.536,drone | blimp | airship | cargo plane
aircraft,AIRCRAFT,319,hard,hard,0.857,0.571,balloon | jet | blimp | ultralight
aircraft,AIRCRAFT,320,hard,hard,0.929,0.589,Zeppelin | rocket | airship | ultralight
aircraft,AIRCRAFT,326,hard,hard,1.000,0.661,jet | biplane | seaplane | hot-air balloon
airlines,AIRLINES,328,easy,easy,0.000,0.136,United | American | Alaska | Air France
airlines,AIRLINES,329,easy,easy,0.083,0.455,delta | American | Southwest | Frontier
airlines,AIRLINES,335,easy,easy,0.167,0.500,Southwest | Lufthansa | Air France | British Airways
airlines,AIRLINES,331,easy,easy,0.250,0.523,American | Lufthansa | Emirates | Qantas
airlines,AIRLINES,339,easy,"easy,medium",0.333,0.523,Alaska | Frontier | Qantas | British Airways
airlines,AIRLINES,340,medium,medium,0.417,0.523,Southwest | Emirates | Alaska | KLM
airlines,AIRLINES,336,medium,medium,0.500,0.545,JetBlue | Emirates | Frontier | Air France
airlines,AIRLINES,337,medium,medium,0.583,0.545,United | Southwest | JetBlue | Qantas
airlines,AIRLINES,330,medium,medium,0.667,0.568,delta | United | Emirates | British Airways
airlines,AIRLINES,338,medium,medium,0.750,0.568,United | Lufthansa | Frontier | KLM
airlines,AIRLINES,332,hard,hard,0.833,0.636,American | JetBlue | KLM | British Airways
airlines,AIRLINES,333,hard,hard,0.917,0.705,delta | Qantas | Air France | KLM
airlines,AIRLINES,334,hard,hard,1.000,0.773,delta | JetBlue | Lufthansa | Alaska
airport_words,AIRPORT WORDS,341,easy,easy,0.000,0.080,ticket | pilot | security | duty free
airport_words,AIRPORT WORDS,343,easy,easy,0.053,0.180,passport | security | customs | aircraft
airport_words,AIRPORT WORDS,346,easy,easy,0.105,0.220,ticket | runway | control tower | aircraft
airport_words,AIRPORT WORDS,349,easy,easy,0.158,0.230,pilot | terminal | boarding pass | aircraft
airport_words,AIRPORT WORDS,347,easy,easy,0.211,0.260,passport | boarding pass | duty free | control tower
airport_words,AIRPORT WORDS,348,easy,"easy,medium",0.263,0.260,runway | terminal | customs | duty free
airport_words,AIRPORT WORDS,351,easy,"easy,medium",0.316,0.260,ticket | terminal | passport | airlines
airport_words,AIRPORT WORDS,352,easy,"easy,medium",0.368,0.320,aisle | pilot | customs | control tower
airport_words,AIRPORT WORDS,342,medium,medium,0.421,0.360,gate | terminal | security | control tower
airport_words,AIRPORT WORDS,344,medium,medium,0.474,0.360,gate | duty free | airlines | aircraft
airport_words,AIRPORT WORDS,357,medium,medium,0.526,0.410,aisle | runway | luggage | security
airport_words,AIRPORT WORDS,360,medium,medium,0.579,0.420,pilot | cockpit | luggage | airlines
airport_words,AIRPORT WORDS,353,medium,medium,0.632,0.440,security | boarding pass | airlines | languages
airport_words,AIRPORT WORDS,345,medium,medium,0.684,0.460,ticket | gate | boarding pass | customs
airport_words,AIRPORT WORDS,359,medium,medium,0.737,0.490,cockpit | steward | security | baggage
airport_words,AIRPORT WORDS,350,hard,hard,0.789,0.500,gate | runway | pilot | passport
airport_words,AIRPORT WORDS,354,hard,hard,0.842,0.510,ticket | luggage | languages | boarding
airport_words,AIRPORT WORDS,355,hard,hard,0.895,0.560,aisle | baggage | duty free | languages
airport_words,AIRPORT WORDS,356,hard,hard,0.947,0.590,cockpit | tray table | aircraft | languages
airport_words,AIRPORT WORDS,358,hard,hard,1.000,0.660,checkpoint | pilot | steward | languages
airports_and_ports,TRANSPORT HUBS,361,easy,easy,0.000,0.188,Dubai International | Grand Central | Penn Station | Union Station
airports_and_ports,TRANSPORT HUBS,362,medium,medium,0.500,0.469,Heathrow | JFK | LAX | Union Station
airports_and_ports,TRANSPORT HUBS,363,hard,hard,1.000,0.625,LAX | Charles de Gaulle | Grand Central | Gatwick
alphabet_and_numbers,FIRST LESSONS,364,easy,easy,0.000,0.312,season | day | number | name
alphabet_and_numbers,FIRST LESSONS,367,easy,easy,0.083,0.333,number | color | word | addition
alphabet_and_numbers,FIRST LESSONS,366,easy,easy,0.167,0.354,letter | addition | name | month
alphabet_and_numbers,FIRST LESSONS,365,easy,easy,0.250,0.396,sound | day | word | month
alphabet_and_numbers,FIRST LESSONS,368,easy,"easy,medium",0.333,0.438,letter | day | color | count
alphabet_and_numbers,FIRST LESSONS,371,medium,medium,0.417,0.458,shape | count | word | name
alphabet_and_numbers,FIRST LESSONS,374,medium,medium,0.500,0.479,number | count | sight word | month
alphabet_and_numbers,FIRST LESSONS,376,medium,medium,0.583,0.521,day | alphabet | shape | addition
alphabet_and_numbers,FIRST LESSONS,370,medium,medium,0.667,0.583,letter | sound | number | shape
alphabet_and_numbers,FIRST LESSONS,373,medium,medium,0.750,0.646,letter | season | word | sight word
alphabet_and_numbers,FIRST LESSONS,375,hard,hard,0.833,0.646,sound | color | sight word | name
alphabet_and_numbers,FIRST LESSONS,372,hard,hard,0.917,0.667,season | color | shape | month
alphabet_and_numbers,FIRST LESSONS,369,hard,hard,1.000,0.771,sound | season | count | addition
american_east_cities,EAST COAST,397,easy,easy,0.000,0.125,buffalo | Boston | Philadelphia | Baltimore
american_east_cities,EAST COAST,398,easy,easy,0.077,0.250,Boston | Richmond | Norfolk | Portland
american_east_cities,EAST COAST,399,easy,easy,0.154,0.339,Philadelphia | Providence | Portland | Albany
american_east_cities,EAST COAST,405,easy,easy,0.231,0.446,Baltimore | Newark | Norfolk | Albany
american_east_cities,EAST COAST,400,easy,"easy,medium",0.308,0.446,Philadelphia | Charleston | Newark | Richmond
american_east_cities,EAST COAST,404,easy,"easy,medium",0.385,0.464,Baltimore | Providence | Hartford | Richmond
american_east_cities,EAST COAST,401,medium,medium,0.462,0.482,Boston | Charleston | Hartford | Albany
american_east_cities,EAST COAST,403,medium,medium,0.538,0.482,Baltimore | Charleston | Portland | Jacksonville
american_east_cities,EAST COAST,408,medium,medium,0.615,0.500,buffalo | Hartford | Newark | Portland
american_east_cities,EAST COAST,407,medium,medium,0.692,0.518,buffalo | Richmond | Albany | Jacksonville
american_east_cities,EAST COAST,402,hard,hard,0.769,0.536,Boston | Savannah | Providence | Newark
american_east_cities,EAST COAST,406,hard,hard,0.846,0.536,Philadelphia | Savannah | Hartford | Norfolk
american_east_cities,EAST COAST,409,hard,hard,0.923,0.696,buffalo | Charleston | Savannah | Wilmington
american_east_cities,EAST COAST,410,hard,hard,1.000,0.732,Providence | Norfolk | Wilmington | Jacksonville
american_legends,FOLK HEROES,411,easy,easy,0.000,0.214,John Henry | Davy Crockett | Big Foot | Uncle Sam
american_legends,FOLK HEROES,412,hard,hard,1.000,0.536,Paul Bunyan | Rip Van Winkle | Big Foot | Sasquatch
american_west_cities,WEST COAST,413,easy,easy,0.000,0.115,Portland | Seattle | San Diego | Long Beach
american_west_cities,WEST COAST,414,easy,easy,0.083,0.308,San Jose | Sacramento | Long Beach | Berkeley
american_west_cities,WEST COAST,415,easy,easy,0.167,0.385,Seattle | San Jose | Oakland | Eugene
american_west_cities,WEST COAST,417,easy,easy,0.250,0.442,San Diego | Oakland | Anaheim | Berkeley
american_west_cities,WEST COAST,421,easy,"easy,medium",0.333,0.462,Portland | Sacramento | Oakland | Santa Monica
american_west_cities,WEST COAST,418,medium,medium,0.417,0.481,Seattle | Fresno | Berkeley | Santa Monica
american_west_cities,WEST COAST,424,medium,medium,0.500,0.500,San Diego | San Jose | Santa Monica | Spokane
american_west_cities,WEST COAST,416,medium,medium,0.583,0.519,Long Beach | Anaheim | Santa Monica | Eugene
american_west_cities,WEST COAST,423,medium,medium,0.667,0.538,Portland | San Jose | Fresno | Anaheim
american_west_cities,WEST COAST,419,medium,medium,0.750,0.558,San Diego | Sacramento | Fresno | Eugene
american_west_cities,WEST COAST,422,hard,hard,0.833,0.558,Portland | Berkeley | Eugene | Spokane
american_west_cities,WEST COAST,425,hard,hard,0.917,0.558,Oakland | Long Beach | Fresno | Spokane
american_west_cities,WEST COAST,420,hard,hard,1.000,0.577,Seattle | Sacramento | Anaheim | Spokane
amusement_park,AMUSEMENT PARK,428,easy,easy,0.000,0.107,ticket | drop tower | ride | prize
amusement_park,AMUSEMENT PARK,429,easy,easy,0.056,0.268,popcorn | cotton candy | arcade | ride
amusement_park,AMUSEMENT PARK,430,easy,easy,0.111,0.357,ticket | cotton candy | bumper car | midway
amusement_park,AMUSEMENT PARK,433,easy,easy,0.167,0.429,mascot | arcade | drop tower | midway
amusement_park,AMUSEMENT PARK,431,easy,easy,0.222,0.446,mascot | cotton candy | roller coaster | prize
amusement_park,AMUSEMENT PARK,434,easy,"easy,medium",0.278,0.464,ferris wheel | bumper car | arcade | prize
amusement_park,AMUSEMENT PARK,435,easy,"easy,medium",0.333,0.482,popcorn | souvenir | midway | prize
amusement_park,AMUSEMENT PARK,436,easy,"easy,medium",0.389,0.482,ticket | mascot | popcorn | ferris wheel
amusement_park,AMUSEMENT PARK,437,medium,medium,0.444,0.500,ticket | roller coaster | arcade | souvenir
amusement_park,AMUSEMENT PARK,432,medium,medium,0.500,0.518,mascot | bumper car | ride | souvenir
amusement_park,AMUSEMENT PARK,438,medium,medium,0.556,0.536,cotton candy | ferris wheel | drop tower | souvenir
amusement_park,AMUSEMENT PARK,439,medium,medium,0.611,0.536,popcorn | carousel | bumper car | drop tower
amusement_park,AMUSEMENT PARK,442,medium,medium,0.667,0.536,roller coaster | carousel | ride | midway
amusement_park,AMUSEMENT PARK,443,medium,medium,0.722,0.696,ferris wheel | funhouse | log flume | ride
amusement_park,AMUSEMENT PARK,444,hard,hard,0.778,0.732,roller coaster | log flume | drop tower | teacups
amusement_park,AMUSEMENT PARK,440,hard,hard,0.833,0.750,ticket | carousel | log flume | turnstile
amusement_park,AMUSEMENT PARK,441,hard,hard,0.889,0.768,carousel | funhouse | teacups | prize
amusement_park,AMUSEMENT PARK,445,hard,hard,0.944,0.786,popcorn | roller coaster | funhouse | turnstile
amusement_park,AMUSEMENT PARK,446,hard,hard,1.000,0.821,ferris wheel | teacups | midway | turnstile
ancient_civilizations,ANCIENT CIVILIZATIONS,447,easy,easy,0.000,0.125,Rome | Greece | China | Egypt
ancient_civilizations,ANCIENT CIVILIZATIONS,448,easy,easy,0.083,0.312,China | Maya | Babylon | Troy
ancient_civilizations,ANCIENT CIVILIZATIONS,449,easy,easy,0.167,0.438,Egypt | Persia | Sparta | Troy
ancient_civilizations,ANCIENT CIVILIZATIONS,450,easy,easy,0.250,0.500,Rome | Aztec | Carthage | Troy
ancient_civilizations,ANCIENT CIVILIZATIONS,452,easy,"easy,medium",0.333,0.500,Rome | Maya | Inca | Persia
ancient_civilizations,ANCIENT CIVILIZATIONS,453,medium,medium,0.417,0.521,Greece | Maya | Aztec | Sparta
ancient_civilizations,ANCIENT CIVILIZATIONS,456,medium,medium,0.500,0.542,Greece | Persia | Babylon | Carthage
ancient_civilizations,ANCIENT CIVILIZATIONS,459,medium,medium,0.583,0.562,Rome | Babylon | Sparta | Assyria
ancient_civilizations,ANCIENT CIVILIZATIONS,455,medium,medium,0.667,0.583,China | Aztec | Persia | Assyria
ancient_civilizations,ANCIENT CIVILIZATIONS,457,medium,medium,0.750,0.583,Egypt | Inca | Aztec | Babylon
ancient_civilizations,ANCIENT CIVILIZATIONS,454,hard,hard,0.833,0.604,China | Inca | Carthage | Sparta
ancient_civilizations,ANCIENT CIVILIZATIONS,458,hard,hard,0.917,0.604,Egypt | Maya | Carthage | Assyria
ancient_civilizations,ANCIENT CIVILIZATIONS,451,hard,hard,1.000,0.625,Greece | Inca | Troy | Assyria
ancient_greece_ideas,ANCIENT GREECE IDEAS,460,easy,easy,0.000,0.300,Oracle | Olympics | philosophy | democracy
ancient_greece_ideas,ANCIENT GREECE IDEAS,151,hard,hard,1.000,0.350,Olympics | mythology | philosophy | democracy
ancient_wonders,WORLD WONDERS,461,easy,easy,0.000,0.188,Great Wall | Great Pyramid | Lighthouse | Hanging Gardens
ancient_wonders,WORLD WONDERS,462,medium,medium,0.500,0.469,Great Wall | Taj Mahal | Colossus | Petra
ancient_wonders,WORLD WONDERS,463,hard,hard,1.000,0.625,Colosseum | Stonehenge | Hanging Gardens | Petra
animal_actions,ANIMAL ACTIONS,464,easy,easy,0.000,0.107,nest | hunt | hatch | shed
animal_actions,ANIMAL ACTIONS,465,easy,easy,0.077,0.268,migrate | hunt | spawn | perch
animal_actions,ANIMAL ACTIONS,466,easy,easy,0.154,0.357,migrate | burrow | shed | forage
animal_actions,ANIMAL ACTIONS,472,easy,easy,0.231,0.446,nest | burrow | roost | spawn
animal_actions,ANIMAL ACTIONS,467,easy,"easy,medium",0.308,0.464,hunt | graze | roost | forage
animal_actions,ANIMAL ACTIONS,468,easy,"easy,medium",0.385,0.464,graze | shed | pounce | spawn
animal_actions,ANIMAL ACTIONS,473,medium,medium,0.462,0.464,nest | forage | pounce | perch
animal_actions,ANIMAL ACTIONS,475,medium,medium,0.538,0.464,graze | burrow | hatch | perch
animal_actions,ANIMAL ACTIONS,474,medium,medium,0.615,0.482,migrate | nest | graze | prowl
animal_actions,ANIMAL ACTIONS,477,medium,medium,0.692,0.482,prowl | hatch | forage | spawn
animal_actions,ANIMAL ACTIONS,476,hard,hard,0.769,0.500,migrate | hatch | roost | pounce
animal_actions,ANIMAL ACTIONS,470,hard,hard,0.846,0.518,prowl | shed | roost | perch
animal_actions,ANIMAL ACTIONS,469,hard,hard,0.923,0.554,hunt | burrow | prowl | pounce
animal_actions,ANIMAL ACTIONS,471,hard,hard,1.000,0.732,hibernate | hunt | molt | slither
animal_babies,BABY ANIMALS,478,easy,easy,0.000,0.100,lamb | puppy | chick | kid
animal_babies,BABY ANIMALS,487,easy,easy,0.059,0.350,lamb | colt | bunny | pup
animal_babies,BABY ANIMALS,486,easy,easy,0.118,0.367,kitten | chick | cub | bunny
animal_babies,BABY ANIMALS,490,easy,easy,0.176,0.383,lamb | kitten | joey | gosling
animal_babies,BABY ANIMALS,479,easy,easy,0.235,0.400,fry | joey | kid | bunny
animal_babies,BABY ANIMALS,481,easy,"easy,medium",0.294,0.450,cub | colt | kid | gosling
animal_babies,BABY ANIMALS,480,easy,"easy,medium",0.353,0.467,calf | kitten | kid | pup
animal_babies,BABY ANIMALS,484,medium,medium,0.412,0.467,calf | chick | joey | colt
animal_babies,BABY ANIMALS,489,medium,medium,0.471,0.533,fry | chick | gosling | pup
animal_babies,BABY ANIMALS,492,medium,medium,0.529,0.533,puppy | duckling | fawn | joey
animal_babies,BABY ANIMALS,488,medium,medium,0.588,0.550,fry | puppy | kitten | colt
animal_babies,BABY ANIMALS,491,medium,medium,0.647,0.550,calf | puppy | gosling | bunny
animal_babies,BABY ANIMALS,482,medium,medium,0.706,0.600,foal | piglet | fawn | kid
animal_babies,BABY ANIMALS,493,hard,hard,0.765,0.600,puppy | foal | tadpole | pup
animal_babies,BABY ANIMALS,494,hard,hard,0.824,0.667,foal | cub | joey | cygnet
animal_babies,BABY ANIMALS,485,hard,hard,0.882,0.683,calf | fry | lamb | cub
animal_babies,BABY ANIMALS,495,hard,hard,0.941,0.700,piglet | cub | duckling | pup
animal_babies,BABY ANIMALS,483,hard,hard,1.000,0.733,duckling | kid | tadpole | cygnet
animal_body_parts,ANIMAL PARTS,497,easy,easy,0.000,0.132,claw | wing | fin | gill
