category_a,category_b,conflict_type,origin,overlap_count,overlap_words,severity,note
chess,chess_words,do_not_pair,derived,10,bishop | castle | checkmate | en passant | gambit | king | knight | pawn | rook | stalemate,P0,общих играбельных слов 10; пулы 13 и 16
circus,circus_words,do_not_pair,derived,10,acrobat | clown | elephant | juggler | magician | popcorn | ringmaster | tent | tightrope | trapeze,P0,общих играбельных слов 10; пулы 14 и 19
cooking_actions,cooking_methods,do_not_pair,derived,10,bake | boil | broil | fry | grill | roast | saute | sear | simmer | steam,P0,общих играбельных слов 10; пулы 26 и 18
dance_styles,dances,do_not_pair,derived,10,ballet | breakdance | flamenco | foxtrot | hip hop | polka | salsa | samba | tango | waltz,P0,общих играбельных слов 10; пулы 19 и 15
fabric,fabrics,do_not_pair,derived,10,canvas | chiffon | cotton | denim | fleece | lace | linen | silk | velvet | wool,P0,общих играбельных слов 10; пулы 18 и 20
flowers,garden_flowers_summer,do_not_pair,derived,10,dahlia | daisy | geranium | lavender | lily | marigold | petunia | rose | sunflower | zinnia,P0,общих играбельных слов 10; пулы 36 и 14
garden,gardening,do_not_pair,derived,10,compost | flowers | hose | mulch | rake | seeds | shovel | soil | trellis | watering,P0,общих играбельных слов 10; пулы 19 и 18
gemstones,precious_stones,do_not_pair,derived,10,emerald | garnet | jade | moonstone | onyx | opal | ruby | sapphire | topaz | turquoise,P0,общих играбельных слов 10; пулы 21 и 10
jewelry_stones,precious_stones,do_not_pair,derived,10,emerald | garnet | jade | moonstone | onyx | opal | ruby | sapphire | topaz | turquoise,P0,общих играбельных слов 10; пулы 15 и 10
kinds_of_buildings,town_places,do_not_pair,derived,10,church | courthouse | hospital | library | mall | museum | school | stadium | temple | theater,P0,общих играбельных слов 10; пулы 26 и 25
magic_creatures,storybook_characters,do_not_pair,derived,10,dragon | dwarf | elf | fairy | genie | goblin | troll | unicorn | witch | wizard,P0,общих играбельных слов 10; пулы 18 и 20
musical_instruments,wind_instruments,do_not_pair,derived,10,bagpipes | bassoon | clarinet | flute | harmonica | oboe | saxophone | trombone | trumpet | tuba,P0,общих играбельных слов 10; пулы 30 и 14
nuts_and_seeds,nuts_world,do_not_pair,derived,10,almond | cashew | chestnut | hazelnut | macadamia | peanut | pecan | pine nut | pistachio | walnut,P0,общих играбельных слов 10; пулы 14 и 12
ocean_animals,seafood,do_not_pair,derived,10,clam | crab | eel | lobster | octopus | oyster | shrimp | squid | swordfish | tuna,P0,общих играбельных слов 10; пулы 25 и 27
office_supplies,stationery,do_not_pair,derived,10,binder | clip | eraser | folder | marker | notebook | paper | ruler | stapler | tape,P0,общих играбельных слов 10; пулы 30 и 12
olympic_events,olympic_sports,do_not_pair,derived,10,archery | diving | fencing | gymnastics | javelin | judo | rowing | swimming | weightlifting | wrestling,P0,общих играбельных слов 10; пулы 13 и 34
pasta,pasta_shapes,do_not_pair,derived,10,fettuccine | fusilli | lasagna | linguine | macaroni | orecchiette | penne | rigatoni | shell | spaghetti,P0,общих играбельных слов 10; пулы 13 и 23
soup_ingredients,vegetables,do_not_pair,derived,10,bean | cabbage | carrot | celery | corn | leek | onion | pepper | potato | tomato,P0,общих играбельных слов 10; пулы 25 и 33
storm,weather,do_not_pair,derived,10,cyclone | gale | hail | hurricane | lightning | rain | squall | thunder | tornado | wind,P0,общих играбельных слов 10; пулы 19 и 36
storms,weather,do_not_pair,derived,10,blizzard | cyclone | dust storm | gale | hailstorm | hurricane | monsoon | squall | thunder | tornado,P0,общих играбельных слов 10; пулы 17 и 36
things_with_wheels,vehicles,do_not_pair,derived,10,bike | bus | car | scooter | tractor | train | trolley | truck | van | wagon,P0,общих играбельных слов 10; пулы 26 и 33
us_states,usa,do_not_pair,derived,10,arizona | florida | georgia | kentucky | maine | nevada | ohio | texas | virginia | wyoming,P0,общих играбельных слов 10; пулы 27 и 10
water_states,weather_words,do_not_pair,derived,10,cloud | drizzle | fog | frost | hail | humidity | mist | rain | sleet | snow,P0,общих играбельных слов 10; пулы 19 и 26
airport,airport_words,do_not_pair,derived,9,boarding | control tower | customs | hangar | luggage | passport | runway | security | terminal,P0,общих играбельных слов 9; пулы 21 и 30
animals,zoo_animals,do_not_pair,derived,9,camel | elephant | giraffe | hippo | lion | otter | penguin | sloth | zebra,P0,общих играбельных слов 9; пулы 17 и 23
animals_with_shells,shellfish,do_not_pair,derived,9,barnacle | clam | cockle | crab | lobster | mussel | oyster | scallop | snail,P0,общих играбельных слов 9; пулы 15 и 15
astronomy,night_sky_things,do_not_pair,derived,9,comet | constellation | eclipse | galaxy | meteor | milky way | moon | planet | telescope,P0,общих играбельных слов 9; пулы 26 и 15
baking,bread,do_not_pair,derived,9,baguette | brioche | crust | flour | focaccia | rise | salt | sourdough | yeast,P0,общих играбельных слов 9; пулы 19 и 19
berries,berry_varieties,do_not_pair,derived,9,blackberry | blueberry | boysenberry | cranberry | currant | elderberry | gooseberry | raspberry | strawberry,P0,общих играбельных слов 9; пулы 13 и 11
birthday_things,party_things,do_not_pair,derived,9,balloon | cake | candle | confetti | guest | invitation | piñata | present | streamer,P0,общих играбельных слов 9; пулы 16 и 22
bread,bread_types,do_not_pair,derived,9,bagel | baguette | brioche | ciabatta | focaccia | pita | pumpernickel | rye | sourdough,P0,общих играбельных слов 9; пулы 19 и 25
cheese,cheese_types,do_not_pair,derived,9,american | brie | cheddar | colby | feta | gouda | gruyere | mozzarella | ricotta,P0,общих играбельных слов 9; пулы 18 и 20
cleaning_supplies,cleaning_trade,do_not_pair,derived,9,broom | bucket | disinfectant | dustpan | gloves | mop | squeegee | trash bag | vacuum,P0,общих играбельных слов 9; пулы 20 и 15
clothes,clothing_items,do_not_pair,derived,9,boots | dress | hat | hoodie | jeans | pants | scarf | shirt | shoes,P0,общих играбельных слов 9; пулы 17 и 28
clothing_items,things_with_pockets,do_not_pair,derived,9,blazer | coat | hoodie | jacket | jeans | overalls | robe | shirt | vest,P0,общих играбельных слов 9; пулы 28 и 14
cloud_and_sky,night_sky_things,do_not_pair,derived,9,aurora | cloud | comet | eclipse | meteor | moon | plane | satellite | star,P0,общих играбельных слов 9; пулы 20 и 15
constellation,constellations,do_not_pair,derived,9,andromeda | big dipper | cygnus | draco | lyra | orion | pegasus | perseus | polaris,P0,общих играбельных слов 9; пулы 11 и 23
currencies,world_currencies_more,do_not_pair,derived,9,baht | dinar | lira | peso | real | ruble | rupee | shekel | yen,P0,общих играбельных слов 9; пулы 15 и 18
diseases,illnesses,do_not_pair,derived,9,arthritis | asthma | bronchitis | chickenpox | diabetes | flu | measles | mumps | pneumonia,P0,общих играбельных слов 9; пулы 20 и 19
dog_breeds,dogs,do_not_pair,derived,9,beagle | bulldog | dachshund | dalmatian | husky | poodle | pug | shepherd | terrier,P0,общих играбельных слов 9; пулы 24 и 10
electricity_words,power_and_batteries,do_not_pair,derived,9,battery | fuse | generator | outlet | plug | socket | switch | voltage | watt,P0,общих играбельных слов 9; пулы 18 и 16
equestrian_words,horse_words,do_not_pair,derived,9,bridle | canter | gallop | groom | jockey | reins | saddle | stirrup | trot,P0,общих играбельных слов 9; пулы 14 и 20
european_cities,world_cities,do_not_pair,derived,9,barcelona | geneva | hamburg | manchester | marseille | milan | munich | naples | venice,P0,общих играбельных слов 9; пулы 25 и 31
family,family_members,do_not_pair,derived,9,aunt | brother | cousin | father | mother | nephew | niece | sister | uncle,P0,общих играбельных слов 9; пулы 13 и 26
fantasy_creatures,storybook_characters,do_not_pair,derived,9,dragon | elf | fairy | giant | goblin | mermaid | ogre | troll | unicorn,P0,общих играбельных слов 9; пулы 20 и 20
fish_species,pond_fish,do_not_pair,derived,9,bass | carp | catfish | minnow | perch | pike | sturgeon | trout | walleye,P0,общих играбельных слов 9; пулы 25 и 15
flower_parts,plant_parts,do_not_pair,derived,9,bud | leaf | petal | pollen | root | seed | stalk | stem | thorn,P0,общих играбельных слов 9; пулы 15 и 16
flowers,garden_flowers,do_not_pair,derived,9,dahlia | daisy | marigold | pansy | peony | rose | sunflower | tulip | zinnia,P0,общих играбельных слов 9; пулы 36 и 9
flowers,garden_flowers_spring,do_not_pair,derived,9,azalea | bluebell | daffodil | hyacinth | iris | lilac | magnolia | pansy | tulip,P0,общих играбельных слов 9; пулы 36 и 14
fruit_trees,things_with_seeds,do_not_pair,derived,9,apple | avocado | cherry | fig | grape | orange | peach | pear | plum,P0,общих играбельных слов 9; пулы 19 и 25
garden_bugs,insects,do_not_pair,derived,9,ant | aphid | bee | beetle | caterpillar | centipede | cricket | ladybug | spider,P0,общих играбельных слов 9; пулы 16 и 31
golf,golf_words,do_not_pair,derived,9,bogey | caddy | driver | eagle | hole | par | putter | tee | wedge,P0,общих играбельных слов 9; пулы 10 и 22
hair_words,hairstyles,do_not_pair,derived,9,bangs | bob | braid | bun | dreadlock | mohawk | perm | ponytail | updo,P0,общих играбельных слов 9; пулы 20 и 24
insects,pests,do_not_pair,derived,9,ant | aphid | flea | mosquito | moth | roach | termite | tick | wasp,P0,общих играбельных слов 9; пулы 31 и 22
lab_equipment,laboratory_equipment,do_not_pair,derived,9,beaker | burner | centrifuge | flask | funnel | goggles | microscope | petri dish | pipette,P0,общих играбельных слов 9; пулы 20 и 12
magic_tricks,magic_words,do_not_pair,derived,9,box | coin | dove | hat | illusion | mirror | rope | scarf | wand,P0,общих играбельных слов 9; пулы 25 и 18
measurement_devices,measuring_tools,do_not_pair,derived,9,barometer | compass | gauge | meter | odometer | scale | speedometer | stopwatch | thermometer,P0,общих играбельных слов 9; пулы 14 и 16
meat,meats,do_not_pair,derived,9,bacon | beef | chicken | ham | lamb | pork | ribs | sausage | venison,P0,общих играбельных слов 9; пулы 12 и 25
monkeys_and_apes,primates,do_not_pair,derived,9,baboon | bonobo | chimpanzee | gibbon | gorilla | lemur | macaque | mandrill | orangutan,P0,общих играбельных слов 9; пулы 14 и 11
music,music_words,do_not_pair,derived,9,beat | chord | chorus | harmony | melody | octave | rhythm | tempo | verse,P0,общих играбельных слов 9; пулы 27 и 25
pasta_shapes,types_of_pasta,do_not_pair,derived,9,fusilli | gnocchi | lasagna | linguine | penne | ravioli | rigatoni | spaghetti | tortellini,P0,общих играбельных слов 9; пулы 23 и 9
pizza_toppings,salad_ingredients,do_not_pair,derived,9,arugula | cheese | egg | mushroom | olive | onion | pepper | spinach | tomato,P0,общих играбельных слов 9; пулы 30 и 25
school_supplies,stationery,do_not_pair,derived,9,binder | eraser | folder | marker | notebook | paper | ruler | stapler | tape,P0,общих играбельных слов 9; пулы 27 и 12
sewing_supplies,sewing_words,do_not_pair,derived,9,bobbin | button | hem | needle | pattern | pin | thimble | thread | yarn,P0,общих играбельных слов 9; пулы 18 и 18
sewing_supplies,tailor_words,do_not_pair,derived,9,bobbin | hem | needle | pattern | pin | seam ripper | tape measure | thimble | thread,P0,общих играбельных слов 9; пулы 18 и 17
southern_cities,us_cities,do_not_pair,derived,9,atlanta | austin | charlotte | dallas | houston | memphis | miami | nashville | raleigh,P0,общих играбельных слов 9; пулы 15 и 22
storm,weather_words,do_not_pair,derived,9,downpour | gale | hail | hurricane | lightning | rain | thunder | tornado | wind,P0,общих играбельных слов 9; пулы 19 и 26
temperature_feel,textures,do_not_pair,derived,9,bumpy | fuzzy | grainy | prickly | rough | silky | smooth | soft | sticky,P0,общих играбельных слов 9; пулы 16 и 21
tennis,tennis_words,do_not_pair,derived,9,ace | backhand | deuce | forehand | love | net | racket | serve | volley,P0,общих играбельных слов 9; пулы 13 и 18
things_that_are_sharp,things_that_cut,do_not_pair,derived,9,arrow | dart | nail | needle | pin | spear | sword | tack | thorn,P0,общих играбельных слов 9; пулы 16 и 18
water_states,weather,do_not_pair,derived,9,cloud | fog | frost | hail | humidity | mist | rain | sleet | snow,P0,общих играбельных слов 9; пулы 19 и 36
weather,weather_phenomena,do_not_pair,derived,9,blizzard | breeze | cyclone | fog | hail | hurricane | lightning | thunder | tornado,P0,общих играбельных слов 9; пулы 36 и 13
anatomy,bones,do_not_pair,derived,8,clavicle | femur | patella | pelvis | radius | scapula | tibia | ulna,P0,общих играбельных слов 8; пулы 14 и 28
art_supplies,crafting_materials,do_not_pair,derived,8,bead | clay | glitter | glue | paint | paper | ribbon | yarn,P0,общих играбельных слов 8; пулы 23 и 18
astronomy,things_in_the_sky_science,do_not_pair,derived,8,comet | constellation | eclipse | galaxy | observatory | orbit | telescope | universe,P0,общих играбельных слов 8; пулы 26 и 17
berries,fruits,do_not_pair,derived,8,blackberry | blueberry | cherry | cranberry | grape | mulberry | raspberry | strawberry,P0,общих играбельных слов 8; пулы 13 и 35
beverages,everyday_drinks,do_not_pair,derived,8,cocoa | coffee | juice | lemonade | milk | smoothie | soda | tea,P0,общих играбельных слов 8; пулы 19 и 8
body_sounds,voice_sounds,do_not_pair,derived,8,cough | cry | gasp | grunt | laugh | sigh | whistle | yawn,P0,общих играбельных слов 8; пулы 16 и 16
bread,world_breads,do_not_pair,derived,8,baguette | brioche | ciabatta | focaccia | pita | pumpernickel | rye | sourdough,P0,общих играбельных слов 8; пулы 19 и 16
building_materials,hard_things,do_not_pair,derived,8,brick | concrete | glass | granite | marble | steel | tile | wood,P0,общих играбельных слов 8; пулы 24 и 18
camping,camping_gear,do_not_pair,derived,8,backpack | campfire | compass | cooler | lantern | sleeping bag | tarp | tent,P0,общих играбельных слов 8; пулы 10 и 27
clothing_parts,sewing_patterns,do_not_pair,derived,8,collar | cuff | hem | lapel | lining | pocket | seam | yoke,P0,общих играбельных слов 8; пулы 17 и 15
cold_things,water_states,do_not_pair,derived,8,frost | glacier | hail | ice | icicle | sleet | slush | snow,P0,общих играбельных слов 8; пулы 20 и 19
comedy,comedy_words,do_not_pair,derived,8,improv | parody | punchline | roast | satire | sketch | slapstick | standup,P0,общих играбельных слов 8; пулы 11 и 15
countries_in_europe,european_countries,do_not_pair,derived,8,austria | belgium | croatia | greece | hungary | italy | norway | spain,P0,общих играбельных слов 8; пулы 8 и 25
crops,grains_and_beans,do_not_pair,derived,8,barley | corn | millet | oat | rice | rye | soybean | wheat,P0,общих играбельных слов 8; пулы 18 и 15
cured_meats,meats,do_not_pair,derived,8,bacon | bologna | ham | jerky | pastrami | pepperoni | salami | sausage,P0,общих играбельных слов 8; пулы 14 и 25
cycling_words,parts_of_a_bike,do_not_pair,derived,8,brake | chain | gear | handlebar | pedal | saddle | spoke | tire,P0,общих играбельных слов 8; пулы 16 и 18
desert,desert_things,do_not_pair,derived,8,cactus | camel | dune | heat | mirage | oasis | sand | scorpion,P0,общих играбельных слов 8; пулы 17 и 18
dog,dog_breeds,do_not_pair,derived,8,beagle | bulldog | dalmatian | husky | labrador | mastiff | poodle | pug,P0,общих играбельных слов 8; пулы 13 и 24
electrical_words,electricity_words,do_not_pair,derived,8,amp | fuse | outlet | socket | switch | transformer | voltage | wire,P0,общих играбельных слов 8; пулы 16 и 18
evergreens,trees,do_not_pair,derived,8,cedar | cypress | fir | juniper | magnolia | pine | redwood | spruce,P0,общих играбельных слов 8; пулы 14 и 25
face,face_parts,do_not_pair,derived,8,brow | cheek | chin | ear | eye | eyelid | jaw | nose,P0,общих играбельных слов 8; пулы 10 и 20
flower,flower_parts,do_not_pair,derived,8,bud | nectar | petal | pistil | pollen | sepal | stamen | stem,P0,общих играбельных слов 8; пулы 12 и 15
flying_animals,insects,do_not_pair,derived,8,bee | butterfly | dragonfly | hornet | ladybug | mosquito | moth | wasp,P0,общих играбельных слов 8; пулы 26 и 31
flying_insects,insects,do_not_pair,derived,8,bee | butterfly | dragonfly | firefly | gnat | ladybug | mosquito | moth,P0,общих играбельных слов 8; пулы 9 и 31
garden_plants,things_with_seeds,do_not_pair,derived,8,bean | cucumber | pepper | pumpkin | squash | strawberry | sunflower | tomato,P0,общих играбельных слов 8; пулы 20 и 25
garden_plants,vegetables,do_not_pair,derived,8,bean | carrot | cucumber | lettuce | pepper | squash | tomato | zucchini,P0,общих играбельных слов 8; пулы 20 и 33
geological_eras,paleontology_eras,do_not_pair,derived,8,cenozoic | cretaceous | jurassic | mesozoic | paleozoic | permian | precambrian | triassic,P0,общих играбельных слов 8; пулы 10 и 8
geometric_shapes,shapes,do_not_pair,derived,8,cube | cylinder | hexagon | octagon | pentagon | prism | sphere | triangle,P0,общих играбельных слов 8; пулы 9 и 23
halloween,halloween_things,do_not_pair,derived,8,candy | costume | ghost | ghosts | pumpkin | vampire | witch | zombie,P0,общих играбельных слов 8; пулы 10 и 21
historic_jobs,old_professions,do_not_pair,derived,8,blacksmith | cobbler | cooper | miller | scribe | tanner | weaver | wheelwright,P0,общих играбельных слов 8; пулы 15 и 16
injuries,things_that_hurt,do_not_pair,derived,8,blister | bruise | burn | cut | scrape | splinter | sprain | sunburn,P0,общих играбельных слов 8; пулы 18 и 15
island_nations,islands,do_not_pair,derived,8,cuba | cyprus | fiji | iceland | jamaica | madagascar | maldives | malta,P0,общих играбельных слов 8; пулы 15 и 19
kitchen,kitchen_tools,do_not_pair,derived,8,grater | knife | ladle | peeler | skillet | spatula | tongs | whisk,P0,общих играбельных слов 8; пулы 26 и 30
kitchen_tools,kitchen_utensils,do_not_pair,derived,8,fork | knife | ladle | spatula | spoon | strainer | tongs | whisk,P0,общих играбельных слов 8; пулы 30 и 9
landforms,natural_wonders,do_not_pair,derived,8,canyon | desert | glacier | island | islands | mountains | ocean | volcano,P0,общих играбельных слов 8; пулы 33 и 8
landforms,nature,do_not_pair,derived,8,canyon | cliff | desert | hill | island | mountain | ocean | valley,P0,общих играбельных слов 8; пулы 33 и 19
lessons,school_subjects,do_not_pair,derived,8,algebra | astronomy | biology | geometry | history | math | music | science,P0,общих играбельных слов 8; пулы 8 и 33
mountain,mountain_things,do_not_pair,derived,8,cliff | eagle | glacier | peak | ridge | snow | summit | trail,P0,общих играбельных слов 8; пулы 14 и 20
mushroom_types,mushrooms,do_not_pair,derived,8,chanterelle | enoki | morel | oyster | porcini | portobello | shiitake | truffle,P0,общих играбельных слов 8; пулы 11 и 10
mythical_monsters,mythology,do_not_pair,derived,8,basilisk | chimera | gorgon | hydra | kraken | medusa | minotaur | sphinx,P0,общих играбельных слов 8; пулы 16 и 20
national_parks,national_parks_us,do_not_pair,derived,8,acadia | everglades | glacier | grand canyon | sequoia | yellowstone | yosemite | zion,P0,общих играбельных слов 8; пулы 26 и 15
night_sky_things,space_objects,do_not_pair,derived,8,comet | constellation | galaxy | meteor | moon | planet | satellite | star,P0,общих играбельных слов 8; пулы 15 и 20
nuts,nuts_and_seeds,do_not_pair,derived,8,almond | cashew | hazelnut | macadamia | peanut | pecan | pistachio | walnut,P0,общих играбельных слов 8; пулы 9 и 14
nuts,nuts_world,do_not_pair,derived,8,almond | cashew | hazelnut | macadamia | peanut | pecan | pistachio | walnut,P0,общих играбельных слов 8; пулы 9 и 12
parrots_and_exotic_birds,tropical_birds,do_not_pair,derived,8,cockatoo | hornbill | lorikeet | macaw | parakeet | parrot | quetzal | toucan,P0,общих играбельных слов 8; пулы 13 и 17
pie_ingredients,pie_types,do_not_pair,derived,8,apple | blueberry | cherry | custard | peach | pecan | pumpkin | rhubarb,P0,общих играбельных слов 8; пулы 25 и 15
pizza_toppings,sandwich_fillings,do_not_pair,derived,8,bacon | cheese | chicken | ham | meatball | onion | salami | tomato,P0,общих играбельных слов 8; пулы 30 и 25
pizza_toppings,soup_ingredients,do_not_pair,derived,8,bacon | chicken | garlic | ham | mushroom | onion | pepper | tomato,P0,общих играбельных слов 8; пулы 30 и 25
root_vegetables,vegetables,do_not_pair,derived,8,beet | carrot | kohlrabi | onion | parsnip | potato | radish | turnip,P0,общих играбельных слов 8; пулы 15 и 33
salad_ingredients,soup_ingredients,do_not_pair,derived,8,cabbage | carrot | celery | corn | mushroom | onion | pepper | tomato,P0,общих играбельных слов 8; пулы 25 и 25
sea_creatures,seafood,do_not_pair,derived,8,clam | crab | lobster | mussel | octopus | oyster | snapper | squid,P0,общих играбельных слов 8; пулы 15 и 27
seafood,shellfish,do_not_pair,derived,8,clam | crab | crawfish | lobster | mussel | oyster | scallop | shrimp,P0,общих играбельных слов 8; пулы 27 и 15
seasons_winter,winter,do_not_pair,derived,8,blizzard | fireplace | frost | icicle | ski | sled | snow | snowflake,P0,общих играбельных слов 8; пулы 16 и 21
