quartet_key,category_key,tier,review_state,solver_state,difficulty,words,note
african_countries__3,african_countries,normal,auto_validated,unique,0.299,uganda | ethiopia | somalia | algeria,четвёрка однозначна: другой категории с этими четырьмя словами нет
age_words__1,age_words,normal,auto_validated,unique,0.251,modern | new | old | fresh#fresh_new,четвёрка однозначна: другой категории с этими четырьмя словами нет
age_words__2,age_words,normal,auto_validated,unique,0.262,brand new | ancient | aged | contemporary,четвёрка однозначна: другой категории с этими четырьмя словами нет
age_words__3,age_words,normal,auto_validated,unique,0.289,worn | vintage | antique | prehistoric,четвёрка однозначна: другой категории с этими четырьмя словами нет
aircraft__1,aircraft,normal,auto_validated,unique,0.207,rocket | jet | helicopter | cargo plane,четвёрка однозначна: другой категории с этими четырьмя словами нет
aircraft__2,aircraft,normal,auto_validated,unique,0.219,drone | airplane | balloon | shuttle,четвёрка однозначна: другой категории с этими четырьмя словами нет
aircraft__3,aircraft,normal,auto_validated,unique,0.257,zeppelin | glider | airship | blimp,четвёрка однозначна: другой категории с этими четырьмя словами нет
airlines__1,airlines,normal,auto_validated,unique,0.243,american | united | air france | spirit,четвёрка однозначна: другой категории с этими четырьмя словами нет
airlines__2,airlines,normal,auto_validated,unique,0.274,alaska | delta#delta_airline | southwest | frontier,четвёрка однозначна: другой категории с этими четырьмя словами нет
airlines__3,airlines,normal,auto_validated,unique,0.307,emirates | british airways | qantas | lufthansa,четвёрка однозначна: другой категории с этими четырьмя словами нет
airport_words__1,airport_words,normal,auto_validated,unique,0.179,security | duty free | ticket#ticket_admission | pilot,четвёрка однозначна: другой категории с этими четырьмя словами нет
airport_words__2,airport_words,normal,auto_validated,unique,0.192,gate#gate_airport | control tower | terminal | customs,четвёрка однозначна: другой категории с этими четырьмя словами нет
airport_words__3,airport_words,normal,auto_validated,unique,0.21,passport | boarding pass | runway | luggage,четвёрка однозначна: другой категории с этими четырьмя словами нет
airports_and_ports__1,airports_and_ports,normal,auto_validated,unique,0.362,union station | grand central | dubai international | penn station,четвёрка однозначна: другой категории с этими четырьмя словами нет
airports_and_ports__2,airports_and_ports,normal,auto_validated,unique,0.403,lax | jfk | heathrow | charles de gaulle,четвёрка однозначна: другой категории с этими четырьмя словами нет
alphabet_and_numbers__1,alphabet_and_numbers,normal,auto_validated,unique,0.204,addition | color | day | letter#letter_alphabet,четвёрка однозначна: другой категории с этими четырьмя словами нет
alphabet_and_numbers__2,alphabet_and_numbers,normal,auto_validated,unique,0.204,month | name | number | season#season_time,четвёрка однозначна: другой категории с этими четырьмя словами нет
alphabet_and_numbers__3,alphabet_and_numbers,normal,auto_validated,unique,0.206,sound#sound_noise | word | count | shape,четвёрка однозначна: другой категории с этими четырьмя словами нет
alphabet_code__1,alphabet_code,normal,auto_validated,unique,0.321,hotel | india | november | mike,четвёрка однозначна: другой категории с этими четырьмя словами нет
alphabet_code__2,alphabet_code,normal,auto_validated,unique,0.341,golf | charlie | oscar | alpha,четвёрка однозначна: другой категории с этими четырьмя словами нет
alphabet_code__3,alphabet_code,normal,auto_validated,unique,0.352,victor | delta#delta_letter | sierra | echo,четвёрка однозначна: другой категории с этими четырьмя словами нет
american_east_cities__1,american_east_cities,normal,auto_validated,unique,0.232,boston | philadelphia | baltimore | buffalo,четвёрка однозначна: другой категории с этими четырьмя словами нет
american_east_cities__2,american_east_cities,normal,auto_validated,unique,0.247,portland | richmond | norfolk | albany,четвёрка однозначна: другой категории с этими четырьмя словами нет
american_east_cities__3,american_east_cities,normal,auto_validated,unique,0.257,providence | charleston | newark | hartford,четвёрка однозначна: другой категории с этими четырьмя словами нет
american_legends__1,american_legends,normal,auto_validated,unique,0.328,big foot | john henry | uncle sam | davy crockett,четвёрка однозначна: другой категории с этими четырьмя словами нет
american_legends__2,american_legends,normal,auto_validated,unique,0.389,rip van winkle | sasquatch | paul bunyan | pecos bill,четвёрка однозначна: другой категории с этими четырьмя словами нет
american_west_cities__1,american_west_cities,normal,auto_validated,unique,0.229,long beach | seattle | san diego | portland,четвёрка однозначна: другой категории с этими четырьмя словами нет
american_west_cities__2,american_west_cities,normal,auto_validated,unique,0.248,san jose | berkeley | oakland | sacramento,четвёрка однозначна: другой категории с этими четырьмя словами нет
american_west_cities__3,american_west_cities,normal,auto_validated,unique,0.262,santa monica | eugene | anaheim | fresno,четвёрка однозначна: другой категории с этими четырьмя словами нет
amphibians_and_bugs__1,amphibians_and_bugs,normal,auto_validated,unique,0.328,frog | tree frog | wood frog | toad,четвёрка однозначна: другой категории с этими четырьмя словами нет
amusement_park__1,amusement_park,normal,auto_validated,unique,0.182,ride | ticket#ticket_admission | prize | drop tower,четвёрка однозначна: другой категории с этими четырьмя словами нет
amusement_park__2,amusement_park,normal,auto_validated,unique,0.215,cotton candy | arcade | popcorn | midway,четвёрка однозначна: другой категории с этими четырьмя словами нет
amusement_park__3,amusement_park,normal,auto_validated,unique,0.226,bumper car | mascot | roller coaster | ferris wheel,четвёрка однозначна: другой категории с этими четырьмя словами нет
ancient_civilizations__1,ancient_civilizations,normal,auto_validated,unique,0.225,china | egypt | rome | greece,четвёрка однозначна: другой категории с этими четырьмя словами нет
ancient_civilizations__2,ancient_civilizations,normal,auto_validated,unique,0.26,troy | maya | babylon | persia,четвёрка однозначна: другой категории с этими четырьмя словами нет
ancient_civilizations__3,ancient_civilizations,normal,auto_validated,unique,0.284,sparta | aztec | carthage | inca,четвёрка однозначна: другой категории с этими четырьмя словами нет
ancient_wonders__1,ancient_wonders,normal,auto_validated,unique,0.33,great wall | hanging gardens | great pyramid | lighthouse,четвёрка однозначна: другой категории с этими четырьмя словами нет
ancient_wonders__2,ancient_wonders,normal,auto_validated,unique,0.371,petra | colossus | stonehenge | taj mahal,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_actions__1,animal_actions,normal,auto_validated,unique,0.28,hunt | shed | nest | hatch,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_actions__2,animal_actions,normal,auto_validated,unique,0.315,migrate | spawn | perch | burrow,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_actions__3,animal_actions,normal,auto_validated,unique,0.327,forage | graze | roost | pounce,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_babies__1,animal_babies,normal,auto_validated,unique,0.227,kid | chick | lamb | puppy,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_babies__2,animal_babies,normal,auto_validated,unique,0.243,joey | fry#fry_fish | bunny | calf#calf_cow,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_babies__3,animal_babies,normal,auto_validated,unique,0.253,kitten | pup | colt | cub,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_body_parts__1,animal_body_parts,normal,auto_validated,unique,0.195,wing | tail | horn#horn_animal | trunk#trunk_elephant,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_body_parts__2,animal_body_parts,normal,auto_validated,unique,0.223,fin | gill | claw | paw,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_body_parts__3,animal_body_parts,normal,auto_validated,unique,0.234,hump | fang | mane | beak,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_coverings__1,animal_coverings,normal,auto_validated,unique,0.266,down | hair | skin | scale#scale_skin,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_coverings__2,animal_coverings,normal,auto_validated,unique,0.288,hide | shell | coat#coat_fur | fur,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_coverings__3,animal_coverings,normal,auto_validated,unique,0.313,spine | wool | feather | fleece,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_groups__1,animal_groups,normal,auto_validated,unique,0.332,school | pack | pride | drove,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_groups__2,animal_groups,normal,auto_validated,unique,0.364,colony | herd | flock | litter,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_groups__3,animal_groups,normal,auto_validated,unique,0.376,pod | troop | swarm | brood,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_homes__1,animal_homes,normal,auto_validated,unique,0.239,web | hole | stable | shell,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_homes__2,animal_homes,normal,auto_validated,unique,0.252,pen#pen_animal | warren | cave | lodge,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_homes__3,animal_homes,normal,auto_validated,unique,0.265,nest | den | barn | mound#mound_dirt,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_names_male_female__1,animal_names_male_female,normal,auto_validated,unique,0.318,tom | bull | ram | cow,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_names_male_female__2,animal_names_male_female,normal,auto_validated,unique,0.336,buck | drake | jenny | doe,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_names_male_female__3,animal_names_male_female,normal,auto_validated,unique,0.355,mare | hen | sow#sow_pig | boar,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_sounds__1,animal_sounds,normal,auto_validated,unique,0.249,tweet | buzz | bark#bark_sound | roar,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_sounds__2,animal_sounds,normal,auto_validated,unique,0.276,bray | coo | meow | yelp,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_sounds__3,animal_sounds,normal,auto_validated,unique,0.281,howl | grunt | moo | growl,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_tracks_and_signs__1,animal_tracks_and_signs,normal,auto_validated,unique,0.329,track | stone | hole | dust,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_tracks_and_signs__2,animal_tracks_and_signs,normal,auto_validated,unique,0.348,root | seed | mud | tire mark,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_tracks_and_signs__3,animal_tracks_and_signs,normal,auto_validated,unique,0.368,ant | worm | gravel | footprint,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_verbs__1,animal_verbs,normal,auto_validated,unique,0.342,hop | swim | leap | soar,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_verbs__2,animal_verbs,normal,auto_validated,unique,0.363,crawl | dart#dart_move | glide | perch,четвёрка однозначна: другой категории с этими четырьмя словами нет
animal_verbs__3,animal_verbs,normal,auto_validated,unique,0.377,swoop | trot | burrow | flutter,четвёрка однозначна: другой категории с этими четырьмя словами нет
animals_with_shells__1,animals_with_shells,normal,auto_validated,unique,0.312,turtle | crab | snail | lobster,четвёрка однозначна: другой категории с этими четырьмя словами нет
animals_with_shells__2,animals_with_shells,normal,auto_validated,unique,0.327,oyster | beetle | tortoise | clam,четвёрка однозначна: другой категории с этими четырьмя словами нет
antelope_and_grazers__1,antelope_and_grazers,normal,auto_validated,unique,0.344,buffalo | elk | zebra | bison,четвёрка однозначна: другой категории с этими четырьмя словами нет
antelope_and_grazers__2,antelope_and_grazers,normal,auto_validated,unique,0.364,yak | antelope | impala | gnu,четвёрка однозначна: другой категории с этими четырьмя словами нет
antelope_and_grazers__3,antelope_and_grazers,normal,auto_validated,unique,0.383,gazelle | springbok | oryx | wildebeest,четвёрка однозначна: другой категории с этими четырьмя словами нет
apple_varieties__1,apple_varieties,normal,auto_validated,unique,0.27,empire | rome | pink lady | jonathan,четвёрка однозначна: другой категории с этими четырьмя словами нет
apple_varieties__2,apple_varieties,normal,auto_validated,unique,0.287,red delicious | golden delicious | envy | gala,четвёрка однозначна: другой категории с этими четырьмя словами нет
apple_varieties__3,apple_varieties,normal,auto_validated,unique,0.323,granny smith | fuji | mcintosh | cortland,четвёрка однозначна: другой категории с этими четырьмя словами нет
appliance_brands__1,appliance_brands,normal,auto_validated,unique,0.335,samsung | ge | lg | hoover,четвёрка однозначна: другой категории с этими четырьмя словами нет
appliance_brands__2,appliance_brands,normal,auto_validated,unique,0.365,bosch | dyson | whirlpool | kenmore,четвёрка однозначна: другой категории с этими четырьмя словами нет
appliance_brands__3,appliance_brands,normal,auto_validated,unique,0.396,electrolux | kitchenaid | maytag | amana,четвёрка однозначна: другой категории с этими четырьмя словами нет
aquarium_tank__1,aquarium_tank,normal,auto_validated,unique,,fish | coral | filter | gravel,четвёрка однозначна: другой категории с этими четырьмя словами нет
archaeology_words__1,archaeology_words,normal,auto_validated,unique,0.32,site | bone | layer | carbon dating,четвёрка однозначна: другой категории с этими четырьмя словами нет
archaeology_words__2,archaeology_words,normal,auto_validated,unique,0.338,ruin | dig | fossil | tomb,четвёрка однозначна: другой категории с этими четырьмя словами нет
archaeology_words__3,archaeology_words,normal,auto_validated,unique,0.358,skeleton | pottery | excavation | artifact,четвёрка однозначна: другой категории с этими четырьмя словами нет
archery_words__1,archery_words,normal,auto_validated,unique,0.292,range#range_shooting | release | target | draw,четвёрка однозначна: другой категории с этими четырьмя словами нет
archery_words__2,archery_words,normal,auto_validated,unique,0.31,sight | arm guard | string | bow#bow_weapon,четвёрка однозначна: другой категории с этими четырьмя словами нет
archery_words__3,archery_words,normal,auto_validated,unique,0.351,arrow | shaft | quiver | bullseye,четвёрка однозначна: другой категории с этими четырьмя словами нет
architecture_words__1,architecture_words,normal,auto_validated,unique,0.322,foundation#foundation_building | column | arch#arch_structure | dome,четвёрка однозначна: другой категории с этими четырьмя словами нет
architecture_words__2,architecture_words,normal,auto_validated,unique,0.343,vault | terrace | balcony#balcony_house | blueprint,четвёрка однозначна: другой категории с этими четырьмя словами нет
architecture_words__3,architecture_words,normal,auto_validated,unique,0.366,facade | atrium | spire | gable,четвёрка однозначна: другой категории с этими четырьмя словами нет
arctic_animals__1,arctic_animals,normal,auto_validated,unique,0.225,seal#seal_animal | arctic fox | polar bear | moose,четвёрка однозначна: другой категории с этими четырьмя словами нет
arctic_animals__2,arctic_animals,normal,auto_validated,unique,0.249,wolverine | reindeer | snowy owl | husky,четвёрка однозначна: другой категории с этими четырьмя словами нет
arctic_animals__3,arctic_animals,normal,auto_validated,unique,0.262,musk ox | walrus | caribou | orca,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_class_things__1,art_class_things,normal,auto_validated,unique,0.189,construction paper | paint | clay | brush,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_class_things__2,art_class_things,normal,auto_validated,unique,0.213,canvas | marker | glue | palette,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_class_things__3,art_class_things,normal,auto_validated,unique,0.225,chalk#chalk_stick | scissors | glitter | apron#apron_garment,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_forms__1,art_forms,normal,auto_validated,unique,0.213,dance | film | music | painting,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_forms__2,art_forms,normal,auto_validated,unique,0.229,drawing | photography | poetry | theater,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_forms__3,art_forms,normal,auto_validated,unique,0.26,sculpture | pottery | mosaic | weaving,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_styles__1,art_styles,normal,auto_validated,unique,0.286,pop art | folk art | abstract | renaissance,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_styles__2,art_styles,normal,auto_validated,unique,0.316,realism | gothic | art deco | baroque,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_styles__3,art_styles,normal,auto_validated,unique,0.342,modernism | minimalism | surrealism | impressionism,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_supplies__1,art_supplies,normal,auto_validated,unique,0.187,paper | paint | clay | brush,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_supplies__2,art_supplies,normal,auto_validated,unique,0.208,ink | canvas | pencil | marker,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_supplies__3,art_supplies,normal,auto_validated,unique,0.218,glue | ribbon | chalk#chalk_stick | yarn,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_tools__1,art_tools,normal,auto_validated,unique,0.196,knife | pen#pen_writing | brush | roller,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_tools__2,art_tools,normal,auto_validated,unique,0.212,canvas | pencil | mold#mold_form | palette,четвёрка однозначна: другой категории с этими четырьмя словами нет
art_tools__3,art_tools,normal,auto_validated,unique,0.231,sponge#sponge_cleaning | charcoal | loom | kiln,четвёрка однозначна: другой категории с этими четырьмя словами нет
artists__1,artists,normal,auto_validated,unique,0.316,picasso | da vinci | pollock | van gogh,четвёрка однозначна: другой категории с этими четырьмя словами нет
artists__2,artists,normal,auto_validated,unique,0.323,michelangelo | warhol | rembrandt | monet,четвёрка однозначна: другой категории с этими четырьмя словами нет
artists__3,artists,normal,auto_validated,unique,0.336,dali | matisse | renoir | degas,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_cities__1,asian_cities,normal,auto_validated,unique,0.285,delhi | shanghai | mumbai | manila,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_cities__2,asian_cities,normal,auto_validated,unique,0.303,jakarta | karachi | osaka | chennai,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_cities__3,asian_cities,normal,auto_validated,unique,0.309,hyderabad | lahore | kyoto | hanoi,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_countries__1,asian_countries,normal,auto_validated,unique,0.205,china | india | japan | israel,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_countries__2,asian_countries,normal,auto_validated,unique,0.216,korea | iran | pakistan | turkey#turkey_country,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_countries__3,asian_countries,normal,auto_validated,unique,0.226,jordan | singapore | vietnam | malaysia,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_dishes__1,asian_dishes,normal,auto_validated,unique,0.245,spring roll | egg roll | curry | fried rice,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_dishes__2,asian_dishes,normal,auto_validated,unique,0.27,pad thai | sushi | dim sum | ramen,четвёрка однозначна: другой категории с этими четырьмя словами нет
asian_dishes__3,asian_dishes,normal,auto_validated,unique,0.293,lo mein | chow mein | pho | kimchi,четвёрка однозначна: другой категории с этими четырьмя словами нет
astronaut_gear__1,astronaut_gear,normal,auto_validated,unique,0.273,camera | boot#boot_shoe | tool belt | oxygen tank,четвёрка однозначна: другой категории с этими четырьмя словами нет
astronaut_gear__2,astronaut_gear,normal,auto_validated,unique,0.297,helmet | backpack | glove | checklist,четвёрка однозначна: другой категории с этими четырьмя словами нет
astronaut_gear__3,astronaut_gear,normal,auto_validated,unique,0.332,visor | communicator | tether | jetpack,четвёрка однозначна: другой категории с этими четырьмя словами нет
authors__1,authors,normal,auto_validated,unique,0.3,shakespeare | fitzgerald | poe | dickens,четвёрка однозначна: другой категории с этими четырьмя словами нет
authors__2,authors,normal,auto_validated,unique,0.313,wilde | twain | austen | hemingway,четвёрка однозначна: другой категории с этими четырьмя словами нет
authors__3,authors,normal,auto_validated,unique,0.323,melville | tolkien | orwell | kipling,четвёрка однозначна: другой категории с этими четырьмя словами нет
auto_repair__1,auto_repair,normal,auto_validated,unique,0.259,oil#oil_motor | jack#jack_tool | battery | lift,четвёрка однозначна: другой категории с этими четырьмя словами нет
auto_repair__2,auto_repair,normal,auto_validated,unique,0.277,belt | transmission | filter | tire iron,четвёрка однозначна: другой категории с этими четырьмя словами нет
auto_repair__3,auto_repair,normal,auto_validated,unique,0.297,diagnostic | spark plug | hose | brake pad,четвёрка однозначна: другой категории с этими четырьмя словами нет
aviation_words__1,aviation_words,normal,auto_validated,unique,0.314,call sign | tower | cruise | radar,четвёрка однозначна: другой категории с этими четырьмя словами нет
aviation_words__2,aviation_words,normal,auto_validated,unique,0.331,taxi | landing gear | altitude | runway,четвёрка однозначна: другой категории с этими четырьмя словами нет
aviation_words__3,aviation_words,normal,auto_validated,unique,0.349,stall#stall_engine | cockpit | turbulence | throttle,четвёрка однозначна: другой категории с этими четырьмя словами нет
awards__1,awards,normal,auto_validated,unique,0.265,tony | oscar | golden globe | olympic medal,четвёрка однозначна: другой категории с этими четырьмя словами нет
awards__2,awards,normal,auto_validated,unique,0.289,nobel | emmy | grammy | booker,четвёрка однозначна: другой категории с этими четырьмя словами нет
awards__3,awards,normal,auto_validated,unique,0.305,cannes | pulitzer | peabody | heisman,четвёрка однозначна: другой категории с этими четырьмя словами нет
baby_things__1,baby_things,normal,auto_validated,unique,0.194,car seat | bottle | formula | monitor#monitor_medical,четвёрка однозначна: другой категории с этими четырьмя словами нет
baby_things__2,baby_things,normal,auto_validated,unique,0.222,swing | blanket | cradle | diaper,четвёрка однозначна: другой категории с этими четырьмя словами нет
baby_things__3,baby_things,normal,auto_validated,unique,0.243,crib | wipes | rattle#rattle_toy | stroller,четвёрка однозначна: другой категории с этими четырьмя словами нет
bags__1,bags,normal,auto_validated,unique,0.203,gym bag | wallet | trunk#trunk_case | purse,четвёрка однозначна: другой категории с этими четырьмя словами нет
bags__2,bags,normal,auto_validated,unique,0.216,messenger bag | clutch | backpack | garment bag,четвёрка однозначна: другой категории с этими четырьмя словами нет
bags__3,bags,normal,auto_validated,unique,0.231,suitcase | fanny pack | pouch | tote,четвёрка однозначна: другой категории с этими четырьмя словами нет
baker_words__1,baker_words,normal,auto_validated,unique,0.241,display case | oven | flour | rack,четвёрка однозначна: другой категории с этими четырьмя словами нет
baker_words__2,baker_words,normal,auto_validated,unique,0.258,dough | tray | cooling rack | timer,четвёрка однозначна: другой категории с этими четырьмя словами нет
baker_words__3,baker_words,normal,auto_validated,unique,0.269,icing | mixer | pastry bag | apron#apron_garment,четвёрка однозначна: другой категории с этими четырьмя словами нет
baking_ingredients__1,baking_ingredients,normal,auto_validated,unique,0.177,oil#oil_cooking | sugar | milk | cream#cream_dairy,четвёрка однозначна: другой категории с этими четырьмя словами нет
baking_ingredients__2,baking_ingredients,normal,auto_validated,unique,0.187,salt | chocolate | egg | honey,четвёрка однозначна: другой категории с этими четырьмя словами нет
baking_ingredients__3,baking_ingredients,normal,auto_validated,unique,0.207,butter | flour | vanilla | baking powder,четвёрка однозначна: другой категории с этими четырьмя словами нет
bank_brands__1,bank_brands,normal,auto_validated,unique,0.337,capital one | us bank | fifth third | chase,четвёрка однозначна: другой категории с этими четырьмя словами нет
bank_brands__2,bank_brands,normal,auto_validated,unique,0.368,regions bank | ally | td bank | wells fargo,четвёрка однозначна: другой категории с этими четырьмя словами нет
banking_words__1,banking_words,normal,auto_validated,unique,0.216,account | check#check_payment | interest | statement,четвёрка однозначна: другой категории с этими четырьмя словами нет
banking_words__2,banking_words,normal,auto_validated,unique,0.225,balance | transfer | loan | branch#branch_office,четвёрка однозначна: другой категории с этими четырьмя словами нет
banking_words__3,banking_words,normal,auto_validated,unique,0.241,mortgage | pin#pin_code | deposit | safe deposit,четвёрка однозначна: другой категории с этими четырьмя словами нет
barbershop_words__1,barbershop_words,normal,auto_validated,unique,0.229,chair | mirror | cape | brush,четвёрка однозначна: другой категории с этими четырьмя словами нет
barbershop_words__2,barbershop_words,normal,auto_validated,unique,0.245,pole | powder | towel | razor,четвёрка однозначна: другой категории с этими четырьмя словами нет
barbershop_words__3,barbershop_words,normal,auto_validated,unique,0.264,clippers | scissors | shaving cream | comb,четвёрка однозначна: другой категории с этими четырьмя словами нет
barn_things__1,barn_things,normal,auto_validated,unique,0.233,feed | gate#gate_barrier | bucket | rope,четвёрка однозначна: другой категории с этими четырьмя словами нет
barn_things__2,barn_things,normal,auto_validated,unique,0.253,hay | sack#sack_bag | stall#stall_barn | saddle,четвёрка однозначна: другой категории с этими четырьмя словами нет
barn_things__3,barn_things,normal,auto_validated,unique,0.263,harness | bale | lantern | loft,четвёрка однозначна: другой категории с этими четырьмя словами нет
baseball_equipment__1,baseball_equipment,normal,auto_validated,unique,0.177,ball#ball_sphere | base | plate#plate_base | cap,четвёрка однозначна: другой категории с этими четырьмя словами нет
baseball_equipment__2,baseball_equipment,normal,auto_validated,unique,0.203,mask | bat#bat_equipment | helmet | glove,четвёрка однозначна: другой категории с этими четырьмя словами нет
baseball_equipment__3,baseball_equipment,normal,auto_validated,unique,0.225,shin guard | chest protector | pine tar | batting glove,четвёрка однозначна: другой категории с этими четырьмя словами нет
baseball_words__1,baseball_words,normal,auto_validated,unique,0.228,double play | home run | walk | strike#strike_baseball,четвёрка однозначна: другой категории с этими четырьмя словами нет
baseball_words__2,baseball_words,normal,auto_validated,unique,0.243,error | pitch#pitch_throw | steal | diamond#diamond_field,четвёрка однозначна: другой категории с этими четырьмя словами нет
baseball_words__3,baseball_words,normal,auto_validated,unique,0.258,triple | foul | lineup | grand slam,четвёрка однозначна: другой категории с этими четырьмя словами нет
basketball_words__1,basketball_words,normal,auto_validated,unique,0.21,center | court#court_sport | forward | travel,четвёрка однозначна: другой категории с этими четырьмя словами нет
basketball_words__2,basketball_words,normal,auto_validated,unique,0.222,free throw | guard#guard_sport | jump ball | assist,четвёрка однозначна: другой категории с этими четырьмя словами нет
basketball_words__3,basketball_words,normal,auto_validated,unique,0.26,foul | three pointer | dunk#dunk_basketball | rebound,четвёрка однозначна: другой категории с этими четырьмя словами нет
