priority,word,normalized,is_proper_noun,familiarity,category_count,theme_count,themes,categories,decision,note
P0,shell,shell,0,0.627,9,7,animals | hobbies | home | language | nature | ocean | properties,animal_coverings | animal_homes | collecting_hobbies | hard_things | ocean_products | sea_shore_things | things_that_break | things_that_open | words_before_fish,,
P0,tower,tower,0,0.643,9,7,geography | history | jargon | language | mythology | places | technology,aviation_words | castle_things | city_words | computer_parts | fairy_tale_things | high_places | kinds_of_buildings | wizards_and_spells | words_after_water,,
P0,basket,basket,0,0.581,8,7,business | farming | home | language | tools | transport | world_more,laundry_things | orchard_words | parts_of_a_bike | shopping_words | storage_containers | things_with_handles | words_before_ball | world_markets,,
P0,belt,belt,0,0.631,8,7,clothing | fashion | materials | properties | sports_world | tools | trades,accessories | auto_repair | boxes_and_cases | boxing_words | fashion_accessories | things_made_of_leather | things_with_holes | things_you_tie,,
P0,chair,chair,0,0.67,8,7,body | education | hobbies | home | language | materials | trades,barbershop_words | classroom_things | dentist_things | furniture | things_made_of_plastic | things_made_of_wood | video_gaming | words_before_man,,
P0,lens,lens,0,0.596,8,7,body | hobbies | materials | medicine | properties | space | technology,parts_of_the_eye | photography_hobby | photography_words | round_things | telescope_words | things_made_of_glass | transparent_things | vision_words,,
P0,siren,siren,0,0.494,8,7,law | medicine | mythology | ocean | properties | sounds | technology,bell_and_alarm | city_sounds | emergency_words | loud_things | mythical_monsters | police_things | sea_myths | security_tech,,
P0,anchor,anchor,0,0.574,7,7,history | jobs | materials | ocean | properties | tools | transport,fasteners | harbor_things | heavy_things | media_jobs | pirate_words | sailing_words | things_made_of_metal,,
P0,cone,cone,0,0.547,7,7,education | language | nature | nature_species | properties | science | transport,gym_class_things | pine_and_cones | road_things | shapes | things_that_are_sharp | tree_parts | words_after_snow,,
P0,frame,frame,0,0.654,7,7,art | farming | language | medicine | sports_world | technology | transport,beekeeping | bowling_words | museum_words | parts_of_a_bike | photography_words | vision_words | words_before_work,,
P0,Jasmine,jasmine,1,0.516,7,7,media | names | nature | plants | varieties | world_food | world_more,disney_characters | flowers | nature_names | rice_types | teas | tropical_flowers | vines,,
P0,wallet,wallet,0,0.593,7,7,business | clothing | fashion | home | materials | misc | transport,accessories | bags | money_words | things_in_a_purse | things_made_of_leather | things_that_open | travel_documents,,
P0,snow,snow,0,0.666,13,6,actions | food | language | nature | nature_more | properties,cold_things | mountain_things | quiet_things | seasons_winter | things_that_melt | water_states | weather_actions | weather_words | white_things | words_before_ball | words_before_bird | words_before_board | words_before_man,,
P0,cherry,cherry,0,0.597,12,6,food | food_more | nature | plants | properties | varieties,berries | dessert_toppings | fruit_trees | fruits | ice_cream_flavors | pie_ingredients | pie_types | red_things | things_with_seeds | tomato_varieties | toppings_and_garnish | trees,,
P0,glacier,glacier,1,0.511,10,6,food | geography | nature | nature_more | properties | science,cold_places | cold_things | landforms | mountain_things | national_parks_us | rock_cycle_words | slow_things | things_that_melt | things_that_shrink | water_states,,
P0,receipt,receipt,0,0.56,10,6,business | home | jargon | materials | misc | transport,accounting_words | gas_station_things | money_words | restaurant_words | shopping_words | things_in_a_junk_drawer | things_in_a_purse | things_in_a_wallet | things_made_of_paper | things_you_recycle,,
P0,cup,cup,0,0.73,9,6,hobbies | home | language | materials | sports | tools,board_game_pieces | dishes_and_glassware | magic_tricks | sports_gear_worn | things_made_of_plastic | things_measured_in_inches | things_that_hold_water | words_before_board | words_before_cake,,
P0,flashlight,flashlight,0,0.494,9,6,hobbies | home | law | misc | nature | ocean,camping_gear | diving_gear | light_sources | lighting | police_things | things_in_a_glove_box | things_in_a_junk_drawer | things_in_a_toolbox | things_on_a_keychain,,
P0,milk,milk,0,0.666,9,6,farming | food | language | materials | medicine | properties,baking_ingredients | body_fluids | cold_drinks | dairy_products | dairy_words | farm_products | liquids | white_things | words_before_man,,
P0,sugar,sugar,0,0.669,9,6,food | food_more | materials | medicine | properties | science,baking_ingredients | cookie_types | experiments | nutrition_words | pantry_staples | pie_ingredients | powders | things_that_melt | white_things,,
P0,crate,crate,0,0.496,8,6,farming | home | materials | ocean | trades | world_more,factory_words | orchard_words | storage_containers | things_made_of_plastic | things_made_of_wood | warehouse_words | whaling_and_fishing | world_markets,,
P0,hat,hat,0,0.647,8,6,clothing | entertainment | fashion | hobbies | mythology | time,accessories | birthday_things | clothing_items | fashion_accessories | fishing_hobby | magic_tricks | magic_words | wizards_and_spells,,
P0,level,level,0,0.773,8,6,actions | entertainment | home | misc | tools | trades,building_actions | carpentry_words | hand_tools | masonry_words | measuring_tools | sewing_and_repair | things_in_a_toolbox | video_game_words,,
P0,sword,sword,0,0.624,8,6,history | language | materials | mythology | properties | tools,knights_and_armor | magic_objects | pirate_words | things_made_of_metal | things_that_are_sharp | things_that_cut | weapons_of_the_past | words_before_fish,,
P0,syrup,syrup,0,0.537,8,6,food | food_more | materials | medicine | properties | science,baking_ingredients | condiments | dessert_toppings | drink_mixers | experiments | liquids | medicine_forms | sticky_things,,
P0,box,box,0,0.72,7,6,entertainment | hobbies | home | misc | properties | trades,magic_tricks | magic_words | square_things | storage_containers | things_that_open | things_you_recycle | warehouse_words,,
P0,clay,clay,0,0.613,7,6,art | education | farming | hobbies | nature | tools,art_class_things | art_supplies | crafting_materials | pottery_words | rocks_and_minerals | sculpture_materials | soil_words,,
P0,crab,crab,0,0.537,7,6,animals | animals_more | food | language | nature | ocean,animals_with_shells | crustaceans | ocean_animals | sea_shore_things | seafood | shellfish | words_before_cake,,
P0,cut,cut,0,0.749,7,6,body | entertainment | lists | medicine | skills | trades,butcher_words | card_tricks | card_words | gem_cuts | injuries | movie_words | things_that_hurt,,
P0,envelope,envelope,0,0.551,7,6,business | home | materials | misc | properties | tools,mail_words | office_supplies | square_things | storage_containers | things_made_of_paper | things_that_open | things_you_recycle,,
P0,filter,filter,0,0.611,7,6,hobbies | language | science | space | technology | trades,auto_repair | lab_actions | photography_hobby | photography_words | social_media_words | telescope_words | words_before_paper,,
P0,goggles,goggles,0,0.479,7,6,clothing | fashion | science | sports | sports_world | tools,eyewear | lab_equipment | safety_gear | skiing_words | sports_gear_worn | swimwear | workshop_things,,
P0,harvest,harvest,0,0.576,7,6,actions | farming | geography | nature | nature_more | plants,garden_actions | gardening_words | orchard_words | seasons_and_nature | seasons_fall | things_on_a_farm | vineyard_words,,
P0,library,library,0,0.694,7,6,education | geography | places | properties | religion | technology,kinds_of_buildings | monastery_life | programming_words | quiet_places | quiet_things | school_places | town_places,,
P0,mask,mask,0,0.616,7,6,fashion | misc | ocean | sports | time | tools,baseball_equipment | diving_gear | eyewear | halloween_things | safety_gear | sports_gear_worn | things_that_have_a_face,,
P0,pool,pool,0,0.667,7,6,home | lists | nature | nature_more | sports | transport,bodies_of_water | body_of_water_types | cave_things | hotel_words | seasons_summer | sports_venues | things_that_hold_water,,
P0,thread,thread,0,0.634,7,6,art | clothing | properties | technology | tools | trades,email_words | jewelry_making | light_things | sewing_supplies | sewing_words | social_media_words | tailor_words,,
P0,tile,tile,0,0.531,7,6,actions | art | hobbies | materials | properties | trades,board_game_pieces | building_actions | building_materials | hard_things | pottery_words | roofing_words | square_things,,
P0,badge,badge,0,0.574,6,6,business | clothing | hobbies | law | misc | technology,collecting_hobbies | office_words | police_things | security_tech | things_in_a_wallet | work_uniforms,,
P0,calendar,calendar,0,0.614,6,6,business | education | home | materials | time | tools,classroom_things | new_year_things | office_supplies | office_words | things_made_of_paper | things_on_a_wall,,
P0,comb,comb,0,0.503,6,6,farming | fashion | home | materials | medicine | trades,barbershop_words | bathroom_items | beauty_tools | beekeeping | hygiene | things_made_of_plastic,,
P0,flag,flag,0,0.654,6,6,culture | education | history | language | properties | sports,classroom_things | flags_and_symbols | golf_words | pirate_words | striped_things | words_before_stone,,
P0,flash,flash,1,0.636,6,6,hobbies | jargon | language | media | skills | technology,juggling_words | photography_hobby | photography_terms | photography_words | superheroes | words_before_light,,
P0,harness,harness,0,0.524,6,6,animals | farming | home | sports | tools | trades,barn_things | horse_words | pet_supplies | roofing_words | safety_gear | sports_gear_worn,,
P0,oven,oven,0,0.579,6,6,geography | hobbies | home | language | properties | trades,baker_words | cooking_hobby | hot_places | hot_things | kitchen_appliances | words_before_proof,,
P0,shed,shed,0,0.604,6,6,actions | farming | language | nature | places | tools,animal_actions | boxes_and_cases | farm_buildings | kinds_of_buildings | seasons_and_nature | words_after_water,,
P0,switch,switch,0,0.657,6,6,home | language | science | technology | trades | transport,electrical_words | electricity_words | power_and_batteries | things_on_a_wall | train_words | words_before_board,,
P0,umbrella,umbrella,0,0.556,6,6,clothing | home | mythology | nature | nature_more | tools,accessories | sea_shore_things | seasons_spring | superstitions | things_that_open | things_with_handles,,
P0,honey,honey,0,0.624,10,5,farming | food | properties | science | varieties,baking_ingredients | beekeeping | condiments | experiments | farm_products | honey_and_syrups | pantry_staples | sticky_things | things_you_spread | yellow_things,,
P0,tomato,tomato,0,0.55,10,5,food | language | nature | properties | world_food,garden_plants | pizza_toppings | red_things | salad_ingredients | sandwich_fillings | soup_ingredients | soups | things_with_seeds | vegetables | words_before_sauce,,
P1,moss,moss,0,0.556,9,5,nature | nature_more | nature_species | plants | properties,cave_things | green_things | mosses_and_lichens | soft_things | things_in_the_forest | things_that_grow | water_plants | weeds | wild_plants,,
P1,pencil,pencil,0,0.564,9,5,art | education | materials | properties | tools,art_supplies | art_tools | long_thin_things | office_supplies | school_supplies | things_made_of_wood | things_that_are_sharp | things_that_shrink | writing_tools,,
P1,Charger,charger,1,0.52,8,5,brands | home | misc | technology | transport,car_models | computer_parts | phone_words | power_and_batteries | things_in_a_glove_box | things_in_a_purse | things_that_plug_in | travel_documents,,
P1,cotton,cotton,0,0.621,8,5,clothing | farming | materials | plants | properties,crops | fabric_types | fabrics | farm_products | insulating_materials | light_things | soft_things | white_things,,
P1,hair,hair,0,0.726,8,5,animals | body | language | nature | properties,animal_coverings | light_things | long_thin_things | things_that_grow | things_that_grow_on_you | words_after_horse | words_before_ball | words_before_line,,
P1,horse,horse,0,0.68,8,5,animals | animals_more | farming | history | transport,farm_animals | knights_and_armor | livestock | pack_animals | ranch_words | things_that_carry_people | transportation_history | wild_west,,
P1,lime,lime,0,0.551,8,5,food | food_more | language | plants | properties,citrus_fruits | colors | drink_mixers | fruit_trees | fruits | green_things | words_before_light | words_before_stone,,
P1,rice,rice,0,0.65,8,5,food | language | plants | properties | time,crops | grains_and_beans | grasses | pantry_staples | soup_ingredients | wedding_things | white_things | words_before_cake,,
P1,arrow,arrow,0,0.59,7,5,history | lists | properties | sports_world | tools,archery_words | fast_things | long_thin_things | things_that_are_sharp | things_that_cut | vitamins_letters | weapons_of_the_past,,
P1,bulb,bulb,0,0.523,7,5,home | materials | nature | plants | properties,flower_parts | light_sources | lighting | seeds_and_bulbs | things_made_of_glass | things_that_break | underground_things,,
P1,cooler,cooler,0,0.566,7,5,hobbies | home | nature | sports | sports_world,camping_gear | fan_things | fishing_hobby | fishing_things | sea_shore_things | storage_containers | things_in_a_garage,,
P1,door,door,0,0.726,7,5,home | language | materials | tools | transport,car_parts | parts_of_a_house | things_made_of_wood | things_that_open | things_with_handles | words_after_back | words_before_man,,
P1,razor,razor,0,0.531,7,5,fashion | home | medicine | tools | trades,barbershop_words | bathroom_items | beauty_tools | blades | cutting_tools | hygiene | things_that_cut,,
P1,silver,silver,0,0.687,7,5,language | lists | materials | properties | science,colors | elements | elements_more | metals | precious_materials | shiny_things | words_before_fish,,
P1,banner,banner,0,0.589,6,5,art | business | entertainment | history | sports_world,advertising_words | castle_things | decorative_things | fan_things | knights_and_armor | party_things,,
P1,base,base,0,0.721,6,5,hobbies | language | law | science | sports,baseball_equipment | chemistry_words | military_words | model_building | words_before_ball | words_before_line,,
P1,canvas,canvas,0,0.566,6,5,art | clothing | education | materials | tools,art_class_things | art_supplies | art_tools | fabric_types | fabrics | painting_supplies,,
P1,column,column,0,0.619,6,5,home | jargon | language | media | nature_more,architecture_words | cave_things | newspaper_parts | parts_of_a_house | printing_and_type | writing_words,,
P1,comet,comet,0,0.52,6,5,nature | nature_more | properties | science | space,cloud_and_sky | fast_things | night_sky_things | solar_system_words | space_objects | things_in_the_sky_science,,
P1,deck,deck,0,0.63,6,5,entertainment | home | materials | sports_world | transport,card_words | magic_words | parts_of_a_house | sailing_words | skateboarding | things_made_of_wood,,
P1,eagle,eagle,0,0.59,6,5,animals | culture | nature | species | sports,birds | birds_of_prey | flags_and_symbols | flying_animals | golf_words | mountain_things,,
P1,fish,fish,0,0.7,6,5,animals | language | ocean | properties | religion,ocean_products | pond_animals | religious_symbols | smelly_things | words_after_sun | words_before_sauce,,
P1,gear,gear,0,0.637,6,5,language | sports | technology | tools | transport,cycling_words | parts_of_a_bike | robot_words | things_that_spin | words_after_head | words_before_box,,
P1,grape,grape,0,0.529,6,5,farming | food | nature | plants | varieties,berries | fruits | things_with_seeds | tomato_varieties | vines | vineyard_words,,
P1,jade,jade,0,0.54,6,5,art | fashion | materials | nature | plants,cactus_and_succulents | color_words_advanced | gemstones | houseplants | jewelry_stones | precious_materials,,
P1,mountain,mountain,0,0.676,6,5,geography | misc | nature_more | places | skills,biomes | cold_places | high_places | landforms | things_that_have_a_face | yoga_poses,,
P1,pot,pot,0,0.629,6,5,art | hobbies | home | ocean | plants,gardening_hobby | gardening_words | kitchen_tools | pottery_words | things_that_hold_water | whaling_and_fishing,,
P1,powder,powder,0,0.607,6,5,fashion | medicine | science | sports_world | trades,barbershop_words | experiments | makeup | medicine_forms | skiing_words | states_of_matter,,
P1,rack,rack,0,0.557,6,5,fashion | science | sports_world | tools | trades,baker_words | bowling_words | boxes_and_cases | butcher_words | fashion_show | lab_equipment,,
P1,roller,roller,0,0.57,6,5,art | fashion | tools | trades | transport,art_tools | beauty_tools | construction_equipment | painting_supplies | painting_trade | printing_words,,
P1,satellite,satellite,0,0.619,6,5,lists | nature | nature_more | science | transport,cloud_and_sky | night_sky_things | space_objects | space_travel | things_in_the_sky_science | weather_instruments,,
P1,sign,sign,0,0.726,6,5,entertainment | language | trades | transport | world_more,cleaning_trade | parking_words | reading_material | road_things | words_before_board | world_markets,,
P1,sled,sled,0,0.461,6,5,history | home | nature_more | transport | world_more,seasons_winter | things_in_a_garage | things_that_carry_people | transportation_history | vehicles | world_transport,,
P1,soap,soap,0,0.597,6,5,home | materials | medicine | properties | science,bathroom_items | cleaning_supplies | experiments | hygiene | liquids | things_that_shrink,,
P1,Square,square,1,0.691,6,5,brands | descriptive | science | tools | trades,carpentry_words | hand_tools | math_operations | payment_brands | shape_adjectives | shapes,,
P1,suitcase,suitcase,0,0.507,6,5,clothing | fashion | home | tools | transport,bags | things_that_open | things_with_handles | things_with_pockets | things_with_wheels | travel_documents,,
P1,vacuum,vacuum,0,0.584,6,5,actions | home | technology | tools | trades,cleaning_actions | cleaning_supplies | cleaning_tools | cleaning_trade | home_electronics | things_that_plug_in,,
P1,wheelbarrow,wheelbarrow,0,0.38,6,5,hobbies | home | tools | trades | transport,garden_tools | gardening_hobby | landscaping_words | masonry_words | things_in_a_garage | things_with_wheels,,
P1,wool,wool,0,0.559,6,5,animals | clothing | farming | materials | properties,animal_coverings | fabric_types | fabrics | farm_products | insulating_materials | soft_things,,
P1,wrench,wrench,0,0.481,6,5,home | materials | misc | tools | trades,auto_repair | hand_tools | plumbing_words | sewing_and_repair | things_in_a_toolbox | things_made_of_metal,,
P1,amber,amber,1,0.567,5,5,art | fashion | materials | names | ocean,color_words_advanced | nature_names | ocean_products | perfume_words | precious_materials,,
P1,camel,camel,0,0.52,5,5,animals | animals_more | history | nature | world_more,desert_things | pack_animals | transportation_history | world_transport | zoo_animals,,
P1,cash,cash,1,0.703,5,5,business | language | media | misc | world_more,famous_musicians | money_words | things_in_a_wallet | words_before_box | world_markets,,
P1,chess,chess,0,0.563,5,5,culture | entertainment | food_more | hobbies | sports,board_and_card_games | board_games | card_and_dice_games | hobby_verbs | pie_types,,
P1,compost,compost,0,0.459,5,5,actions | farming | home | materials | plants,garden_actions | gardening_words | recycled_materials | soil_words | trash_and_recycling,,
P1,conductor,conductor,0,0.543,5,5,education | entertainment | jobs | science | transport,electricity_words | instruments_in_an_orchestra | music_class_things | train_words | transport_jobs,,
P1,crystal,crystal,0,0.629,5,5,mythology | nature | nature_more | properties | science,cave_things | states_of_matter | things_that_grow | transparent_things | wizards_and_spells,,
P1,dial,dial,0,0.561,5,5,language | media | properties | time | tools,clock_words | radio_words | round_things | things_that_spin | words_after_sun,,
P1,down,down,0,0.84,5,5,animals | culture | geography | language | sports,animal_coverings | directions | football_words | opposites | words_before_side,,
P1,field,field,0,0.749,5,5,education | farming | geography | language | sports,harvest_words | school_places | sports_venues | things_on_a_farm | words_after_air,,
P1,flat,flat,0,0.674,5,5,clothing | descriptive | entertainment | fashion | jargon,footwear | music_words | shape_adjectives | shoe_styles | theater_stage_terms,,
P1,glitter,glitter,0,0.509,5,5,education | fashion | hobbies | properties | tools,art_class_things | art_supplies | crafting_materials | nail_words | shiny_things,,
P1,greenhouse,greenhouse,0,0.54,5,5,farming | geography | hobbies | materials | plants,farm_buildings | gardening_hobby | gardening_words | hot_places | things_made_of_glass,,
P1,jellyfish,jellyfish,0,0.464,5,5,animals | animals_more | nature | ocean | properties,coral_reef | jellyfish_and_soft | ocean_animals | sea_shore_things | transparent_things,,
P1,Jordan,jordan,1,0.644,5,5,geography | names | names_world | places | sports_world,asian_countries | middle_east_places | place_names_as_names | sports_legends | unisex_names,,
P1,judge,judge,0,0.707,5,5,actions | jobs | law | people | sports,courtroom_things | law_jobs | sports_officials | thinking_actions | titles_of_address,,
P1,mule,mule,0,0.491,5,5,animals | animals_more | farming | fashion | history,farm_animals | livestock | pack_animals | shoe_styles | transportation_history,,
P1,napkin,napkin,0,0.451,5,5,business | entertainment | home | materials | properties,fabrics_at_home | party_things | restaurant_words | square_things | things_made_of_paper,,
P1,pass,pass,0,0.721,5,5,actions | education | jargon | language | skills,card_tricks | grades_and_marks | kitchen_brigade | sports_actions | words_before_book,,
P1,pattern,pattern,0,0.651,5,5,clothing | hobbies | skills | tools | trades,juggling_words | knitting_words | sewing_supplies | sewing_words | tailor_words,,
P1,plum,plum,0,0.507,5,5,art | food | nature | plants | varieties,color_words_advanced | fruit_trees | fruits | things_with_seeds | tomato_varieties,,
P1,pollen,pollen,0,0.496,5,5,farming | nature | nature_more | plants | science,beekeeping | flower_parts | microscope_things | plant_parts | seasons_spring,,
P1,poster,poster,0,0.599,5,5,education | home | materials | misc | sports_world,classroom_things | fan_things | things_made_of_paper | things_on_a_wall | things_that_have_a_face,,
P1,safe,safe,0,0.724,5,5,language | materials | properties | technology | trades,heavy_things | locksmith_words | security_tech | things_made_of_metal | words_before_house,,
P1,sandpaper,sandpaper,0,0.39,5,5,hobbies | home | misc | tools | trades,model_building | painting_trade | sewing_and_repair | things_in_a_toolbox | workshop_things,,
P1,spider,spider,0,0.607,5,5,animals | language | nature_species | species | time,garden_bugs | halloween_things | insects | spiders_and_crawlers | words_before_man,,
P1,spray,spray,0,0.597,5,5,actions | art | medicine | ocean | sounds,medicine_forms | paint_types | sea_weather | water_actions | water_sounds,,
P1,sprinkler,sprinkler,0,0.436,5,5,farming | lists | nature_more | tools | trades,body_of_water_types | garden_tools | irrigation | landscaping_words | seasons_summer,,
P1,stage,stage,0,0.729,5,5,education | entertainment | hobbies | language | space,dance_class | rocket_parts | school_places | theater_words | words_after_back,,
P1,stone,stone,0,0.686,5,5,art | language | materials | nature | trades,animal_tracks_and_signs | building_materials | masonry_words | sculpture_materials | words_after_head,,
P1,string,string,0,0.629,5,5,hobbies | home | sports_world | technology | varieties,archery_words | bean_types | crafting_materials | programming_words | things_in_a_junk_drawer,,
P1,Subway,subway,1,0.579,5,5,brands | geography | nature | places | transport,city_words | fast_food_chains | underground_places | underground_things | vehicles,,
P1,title,title,0,0.729,5,5,education | language | law | names | sports,initials_and_titles | legal_documents | reading_words | sports_scoring | writing_words,,
P1,track,track,0,0.717,5,5,language | nature | sports | sports_world | transport,animal_tracks_and_signs | racing_words | sports_venues | train_words | words_after_back,,
P1,black,black,0,0.78,9,4,language | properties | varieties | world_food,bean_types | colors | olive_types | rice_types | teas | words_before_berry | words_before_bird | words_before_board | words_before_box,,
P1,glass,glass,0,0.693,9,4,art | home | materials | properties,building_materials | dishes_and_glassware | hard_things | recycled_materials | sculpture_materials | shiny_things | things_that_break | things_that_hold_water | transparent_things,,
P1,leaf,leaf,0,0.603,9,4,nature | nature_more | plants | properties,flower_parts | green_things | light_things | plant_parts | seasons_fall | things_in_the_forest | things_that_float | things_that_grow | tree_parts,,
P1,phone,phone,0,0.757,8,4,home | language | misc | technology,gadgets | office_machines | screens | things_in_a_purse | things_that_ring | things_with_buttons | words_after_head | words_before_book,,
P1,banana,banana,0,0.571,7,4,food | plants | properties | varieties,fruit_trees | fruits | ice_cream_flavors | pepper_varieties | tropical_fruits | tropical_plants | yellow_things,,
P1,cranberry,cranberry,0,0.453,7,4,food | food_more | language | varieties,berries | berry_varieties | drink_mixers | fruits | salad_ingredients | thanksgiving_foods | words_before_sauce,,
P1,cucumber,cucumber,0,0.487,7,4,food | nature | plants | properties,garden_plants | green_things | salad_ingredients | sandwich_fillings | things_with_seeds | vegetables | vines,,
P1,Fern,fern,1,0.467,7,4,names | nature | plants | properties,garden_plants | green_things | houseplants | nature_names | things_in_the_forest | tropical_plants | wild_plants,,
P1,lemon,lemon,0,0.586,7,4,food | plants | properties | world_food,citrus_fruits | fruit_trees | fruits | ice_cream_flavors | pie_ingredients | teas | yellow_things,,
P1,Popsicle,popsicle,1,0.403,7,4,brands | food | nature_more | properties,cold_things | desserts | frozen_foods | frozen_treat_brands | seasons_summer | snack_foods | things_that_melt,,
P1,radio,radio,0,0.716,7,4,home | law | science | technology,home_electronics | inventions | military_things | police_things | sound_devices | things_that_plug_in | things_with_buttons,,
P1,saw,saw,0,0.763,7,4,actions | language | tools | trades,building_actions | butcher_words | cutting_tools | hand_tools | power_tools | things_that_cut | words_after_hand,,
P1,snake,snake,0,0.604,7,4,animals | nature | properties | trades,desert_things | jungle_animals | long_thin_things | pets | plumbing_words | reptiles | spotted_and_striped,,
P1,sprint,sprint,0,0.566,7,4,actions | body | sports | sports_world,cycling_words | exercise_words | racing_sports | sports_actions | swimming_strokes | track_events | ways_of_moving,,
P1,strawberry,strawberry,0,0.531,7,4,food | nature | properties | varieties,berries | berry_varieties | fruits | garden_plants | ice_cream_flavors | red_things | things_with_seeds,,
P1,tractor,tractor,0,0.54,7,4,farming | geography | properties | transport,country_life | farm_machines | heavy_things | slow_things | things_on_a_farm | things_with_wheels | vehicles,,
P1,boom,boom,0,0.619,6,4,jargon | language | sounds | transport,loud_noises | musical_sounds | onomatopoeia | sailing_terms | sailing_words | words_before_box,,
P1,brick,brick,0,0.607,6,4,language | materials | properties | trades,building_materials | hard_things | masonry_words | red_things | square_things | words_before_work,,
P1,broom,broom,0,0.489,6,4,home | time | tools | trades,cleaning_supplies | cleaning_tools | cleaning_trade | halloween_things | things_in_a_garage | things_with_handles,,
P1,caramel,caramel,0,0.497,6,4,food | food_more | properties | varieties,candy | dessert_toppings | honey_and_syrups | ice_cream_flavors | sticky_things | things_that_melt,,
P1,eclipse,eclipse,0,0.544,6,4,nature | nature_more | science | space,cloud_and_sky | night_sky_things | solar_system_words | space_phenomena | things_in_the_sky_science | tide_and_moon,,
P1,flour,flour,0,0.571,6,4,food | materials | properties | trades,baker_words | baking_ingredients | pantry_staples | pie_ingredients | powders | white_things,,
P1,foam,foam,0,0.54,6,4,hobbies | materials | properties | science,crafting_materials | insulating_materials | light_things | soft_things | states_of_matter | things_that_float,,
P1,hammer,hammer,0,0.594,6,4,actions | home | misc | tools,building_actions | hand_tools | sewing_and_repair | things_in_a_toolbox | things_with_handles | workshop_things,,
P1,molasses,molasses,0,0.429,6,4,food | food_more | properties | varieties,baking_ingredients | cookie_types | honey_and_syrups | pie_ingredients | slow_things | sticky_things,,
P1,oyster,oyster,0,0.506,6,4,animals | food | ocean | plants,animals_with_shells | mushroom_types | ocean_animals | seafood | shellfish | shells,,
P1,painting,painting,0,0.657,6,4,art | entertainment | hobbies | home,art_forms | decorative_things | hobby_verbs | living_room_things | museum_words | things_on_a_wall,,
