word,normalized,familiarity,sense_key,sense_definition,category_key,relation_type,status,semantic_status,gameplay_difficulty,fit,obviousness,risk_flags,reason
rinse,rinse,0.497,,,cleaning_actions,does_action,approved,unreviewed,0.268,0.97,0.8,,To rinse is done when cleaning
scour,scour,0.424,,,cleaning_actions,does_action,approved,unreviewed,0.289,0.97,0.8,,To scour is done when cleaning
scrub,scrub,0.527,,,cleaning_actions,does_action,approved,unreviewed,0.259,0.97,0.8,,To scrub is done when cleaning
shine,shine,0.596,,,cleaning_actions,does_action,approved,unreviewed,0.24,0.97,0.8,,To shine is done when cleaning
sweep,sweep,0.567,,,cleaning_actions,does_action,approved,unreviewed,0.248,0.97,0.8,,To sweep is done when cleaning
tidy,tidy,0.504,,,cleaning_actions,does_action,approved,unreviewed,0.266,0.97,0.8,,To tidy is done when cleaning
vacuum,vacuum,0.584,,,cleaning_actions,does_action,approved,unreviewed,0.243,0.97,0.8,,To vacuum is done when cleaning
wash,wash,0.637,,,cleaning_actions,does_action,approved,unreviewed,0.228,0.97,0.8,,To wash is done when cleaning
wipe,wipe,0.573,,,cleaning_actions,does_action,approved,unreviewed,0.246,0.97,0.8,,To wipe is done when cleaning
dice,dice,0.537,dice_cut,To cut food into small cubes,cooking_actions,does_action,alternative,unreviewed,0.217,0.97,0.85,,To dice is something a cook does to food
saute,saute,0.351,,,cooking_actions,does_action,alternative,unreviewed,0.27,0.97,0.85,"[""obscure""]",To saute is something a cook does to food
bake,bake,0.559,,,cooking_actions,does_action,approved,unreviewed,0.21,0.97,0.85,,To bake is something a cook does to food
blend,blend,0.564,,,cooking_actions,does_action,approved,unreviewed,0.209,0.97,0.85,,To blend is something a cook does to food
boil,boil,0.547,,,cooking_actions,does_action,approved,unreviewed,0.214,0.97,0.85,,To boil is something a cook does to food
broil,broil,0.349,,,cooking_actions,does_action,approved,unreviewed,0.27,0.97,0.85,"[""obscure""]",To broil is something a cook does to food
chop,chop,0.539,,,cooking_actions,does_action,approved,unreviewed,0.216,0.97,0.85,,To chop is something a cook does to food
drain,drain,0.581,,,cooking_actions,does_action,approved,unreviewed,0.204,0.97,0.85,,To drain is something a cook does to food
fry,fry,0.556,fry_cook,To cook food in hot fat,cooking_actions,does_action,approved,unreviewed,0.211,0.97,0.85,,To fry is something a cook does to food
garnish,garnish,0.434,,,cooking_actions,does_action,approved,unreviewed,0.246,0.97,0.85,,To garnish is something a cook does to food
grill,grill,0.549,,,cooking_actions,does_action,approved,unreviewed,0.213,0.97,0.85,,To grill is something a cook does to food
knead,knead,0.367,,,cooking_actions,does_action,approved,unreviewed,0.265,0.97,0.85,,To knead is something a cook does to food
marinate,marinate,0.37,,,cooking_actions,does_action,approved,unreviewed,0.264,0.97,0.85,,To marinate is something a cook does to food
mash,mash,0.507,,,cooking_actions,does_action,approved,unreviewed,0.225,0.97,0.85,,To mash is something a cook does to food
mince,mince,0.431,,,cooking_actions,does_action,approved,unreviewed,0.247,0.97,0.85,,To mince is something a cook does to food
peel,peel,0.543,,,cooking_actions,does_action,approved,unreviewed,0.215,0.97,0.85,,To peel is something a cook does to food
roast,roast,0.553,,,cooking_actions,does_action,approved,unreviewed,0.212,0.97,0.85,,To roast is something a cook does to food
sear,sear,0.387,,,cooking_actions,does_action,approved,unreviewed,0.259,0.97,0.85,,To sear is something a cook does to food
simmer,simmer,0.467,,,cooking_actions,does_action,approved,unreviewed,0.237,0.97,0.85,,To simmer is something a cook does to food
slice,slice,0.571,,,cooking_actions,does_action,approved,unreviewed,0.207,0.97,0.85,,To slice is something a cook does to food
steam,steam,0.646,,,cooking_actions,does_action,approved,unreviewed,0.185,0.97,0.85,,To steam is something a cook does to food
stir,stir,0.566,,,cooking_actions,does_action,approved,unreviewed,0.208,0.97,0.85,,To stir is something a cook does to food
toss,toss,0.559,,,cooking_actions,does_action,approved,unreviewed,0.21,0.97,0.85,,To toss is something a cook does to food
whipping,whipping,0.48,,,cooking_actions,does_action,approved,unreviewed,0.275,0.95,0.7,,whipping fits the category rule: Verbs describing something a cook does to food
whisk,whisk,0.444,,,cooking_actions,does_action,approved,unreviewed,0.243,0.97,0.85,,To whisk is something a cook does to food
season,season,0.783,season_flavor,To add salt and spices to food,cooking_actions,does_action,hard_only,unreviewed,0.17,0.97,0.85,,To season is something a cook does to food
squash,squash,0.519,squash_crush,To press something flat,destroying_actions,does_action,alternative,unreviewed,0.311,0.97,0.72,,To squash damages or destroys something
break,break,0.74,,,destroying_actions,does_action,approved,unreviewed,0.259,0.97,0.72,,To break damages or destroys something
burst,burst,0.593,,,destroying_actions,does_action,approved,unreviewed,0.29,0.97,0.72,,To burst damages or destroys something
crumble,crumble,0.47,,,destroying_actions,does_action,approved,unreviewed,0.325,0.97,0.72,,To crumble damages or destroys something
crush,crush,0.596,,,destroying_actions,does_action,approved,unreviewed,0.289,0.97,0.72,,To crush damages or destroys something
demolish,demolish,0.454,,,destroying_actions,does_action,approved,unreviewed,0.329,0.97,0.72,,To demolish damages or destroys something
dent,dent,0.524,,,destroying_actions,does_action,approved,unreviewed,0.309,0.97,0.72,,To dent damages or destroys something
flatten,flatten,0.426,,,destroying_actions,does_action,approved,unreviewed,0.337,0.97,0.72,,To flatten damages or destroys something
puncture,puncture,0.461,,,destroying_actions,does_action,approved,unreviewed,0.327,0.97,0.72,,To puncture damages or destroys something
rip,rip,0.609,,,destroying_actions,does_action,approved,unreviewed,0.285,0.97,0.72,,To rip damages or destroys something
shatter,shatter,0.46,,,destroying_actions,does_action,approved,unreviewed,0.328,0.97,0.72,,To shatter damages or destroys something
shred,shred,0.474,,,destroying_actions,does_action,approved,unreviewed,0.324,0.97,0.72,,To shred damages or destroys something
smash,smash,0.584,,,destroying_actions,does_action,approved,unreviewed,0.292,0.97,0.72,,To smash damages or destroys something
snap,snap,0.601,,,destroying_actions,does_action,approved,unreviewed,0.287,0.97,0.72,,To snap damages or destroys something
split,split,0.664,,,destroying_actions,does_action,approved,unreviewed,0.269,0.97,0.72,,To split damages or destroys something
tear,tear,0.621,,,destroying_actions,does_action,approved,unreviewed,0.282,0.97,0.72,,To tear damages or destroys something
accelerate,accelerate,0.523,,,driving_actions,does_action,approved,unreviewed,0.261,0.97,0.8,,Accelerate is done while driving a car
brake,brake,0.564,,,driving_actions,does_action,approved,unreviewed,0.249,0.97,0.8,,Brake is done while driving a car
cruise,cruise,0.603,,,driving_actions,does_action,approved,unreviewed,0.238,0.97,0.8,,Cruise is done while driving a car
honk,honk,0.421,,,driving_actions,does_action,approved,unreviewed,0.29,0.97,0.8,,Honk is done while driving a car
idle,idle,0.529,,,driving_actions,does_action,approved,unreviewed,0.259,0.97,0.8,,Idle is done while driving a car
merge,merge,0.536,,,driving_actions,does_action,approved,unreviewed,0.257,0.97,0.8,,Merge is done while driving a car
park,park,0.737,park_verb,To leave a car standing in a chosen place,driving_actions,does_action,approved,unreviewed,0.21,0.97,0.8,,Park is done while driving a car
reverse,reverse,0.624,,,driving_actions,does_action,approved,unreviewed,0.232,0.97,0.8,,Reverse is done while driving a car
shift,shift,0.653,shift_gear,To change gear while driving,driving_actions,does_action,approved,unreviewed,0.223,0.97,0.8,,Shift is done while driving a car
signal,signal,0.66,,,driving_actions,does_action,approved,unreviewed,0.221,0.97,0.8,,Signal is done while driving a car
stall,stall,0.541,stall_engine,"To stop running suddenly, said of an engine",driving_actions,does_action,approved,unreviewed,0.255,0.97,0.8,,Stall is done while driving a car
steer,steer,0.531,,,driving_actions,does_action,approved,unreviewed,0.258,0.97,0.8,,Steer is done while driving a car
swerve,swerve,0.421,,,driving_actions,does_action,approved,unreviewed,0.29,0.97,0.8,,Swerve is done while driving a car
tailgate,tailgate,0.431,,,driving_actions,does_action,approved,unreviewed,0.287,0.97,0.8,,Tailgate is done while driving a car
yield,yield,0.594,,,driving_actions,does_action,approved,unreviewed,0.24,0.97,0.8,,Yield is done while driving a car
swallow,swallow,0.553,swallow_throat,To make food go down the throat,eating_actions,does_action,alternative,unreviewed,0.252,0.97,0.8,,To swallow is done while eating or drinking
bite,bite,0.616,bite_eat,To cut into food with the teeth,eating_actions,does_action,approved,unreviewed,0.234,0.97,0.8,,To bite is done while eating or drinking
chew,chew,0.523,,,eating_actions,does_action,approved,unreviewed,0.261,0.97,0.8,,To chew is done while eating or drinking
devour,devour,0.453,,,eating_actions,does_action,approved,unreviewed,0.281,0.97,0.8,,To devour is done while eating or drinking
drink,drink,0.7,,,eating_actions,does_action,approved,unreviewed,0.21,0.97,0.8,,To drink is done while eating or drinking
feast,feast,0.564,,,eating_actions,does_action,approved,unreviewed,0.249,0.97,0.8,,To feast is done while eating or drinking
gnaw,gnaw,0.366,,,eating_actions,does_action,approved,unreviewed,0.305,0.97,0.8,,To gnaw is done while eating or drinking
gulp,gulp,0.419,,,eating_actions,does_action,approved,unreviewed,0.29,0.97,0.8,,To gulp is done while eating or drinking
lick,lick,0.539,,,eating_actions,does_action,approved,unreviewed,0.256,0.97,0.8,,To lick is done while eating or drinking
munch,munch,0.44,,,eating_actions,does_action,approved,unreviewed,0.284,0.97,0.8,,To munch is done while eating or drinking
nibble,nibble,0.407,,,eating_actions,does_action,approved,unreviewed,0.294,0.97,0.8,,To nibble is done while eating or drinking
sip,sip,0.524,,,eating_actions,does_action,approved,unreviewed,0.26,0.97,0.8,,To sip is done while eating or drinking
slurp,slurp,0.366,,,eating_actions,does_action,approved,unreviewed,0.305,0.97,0.8,,To slurp is done while eating or drinking
snack,snack,0.557,,,eating_actions,does_action,approved,unreviewed,0.251,0.97,0.8,,To snack is done while eating or drinking
taste,taste,0.676,,,eating_actions,does_action,approved,unreviewed,0.217,0.97,0.8,,To taste is done while eating or drinking
plant,plant,0.699,plant_verb,To put a seed or young plant into the ground,garden_actions,does_action,alternative,unreviewed,0.25,0.97,0.75,,To plant is done while gardening
trim,trim,0.556,trim_cut,To cut a little off to make neat,garden_actions,does_action,alternative,unreviewed,0.291,0.97,0.75,,To trim is done while gardening
compost,compost,0.459,,,garden_actions,does_action,approved,unreviewed,0.319,0.97,0.75,,To compost is done while gardening
dig,dig,0.603,,,garden_actions,does_action,approved,unreviewed,0.278,0.97,0.75,,To dig is done while gardening
fertilize,fertilize,0.373,,,garden_actions,does_action,approved,unreviewed,0.343,0.97,0.75,,To fertilize is done while gardening
harvest,harvest,0.576,,,garden_actions,does_action,approved,unreviewed,0.285,0.97,0.75,,To harvest is done while gardening
mow,mow,0.443,,,garden_actions,does_action,approved,unreviewed,0.323,0.97,0.75,,To mow is done while gardening
mulch,mulch,0.414,,,garden_actions,does_action,approved,unreviewed,0.332,0.97,0.75,,To mulch is done while gardening
prune,prune,0.423,,,garden_actions,does_action,approved,unreviewed,0.329,0.97,0.75,,To prune is done while gardening
rake,rake,0.483,,,garden_actions,does_action,approved,unreviewed,0.312,0.97,0.75,,To rake is done while gardening
seed,seed,0.624,,,garden_actions,does_action,approved,unreviewed,0.272,0.97,0.75,,To seed is done while gardening
sow,sow,0.483,sow_plant,To scatter seed on the ground,garden_actions,does_action,approved,unreviewed,0.312,0.97,0.75,,To sow is done while gardening
transplant,transplant,0.537,,,garden_actions,does_action,approved,unreviewed,0.297,0.97,0.75,,To transplant is done while gardening
water,water,0.789,,,garden_actions,does_action,approved,unreviewed,0.25,0.97,0.75,,To water is done while gardening
weed,weed,0.61,,,garden_actions,does_action,approved,unreviewed,0.276,0.97,0.75,,To weed is done while gardening
hand,hand,0.773,hand_give,To pass something to someone,giving_and_taking,does_action,alternative,unreviewed,0.259,0.97,0.72,,Hand is about giving or taking something
borrow,borrow,0.571,,,giving_and_taking,does_action,approved,unreviewed,0.296,0.97,0.72,,Borrow is about giving or taking something
buy,buy,0.76,,,giving_and_taking,does_action,approved,unreviewed,0.259,0.97,0.72,,Buy is about giving or taking something
collect,collect,0.624,,,giving_and_taking,does_action,approved,unreviewed,0.281,0.97,0.72,,Collect is about giving or taking something
deliver,deliver,0.65,,,giving_and_taking,does_action,approved,unreviewed,0.273,0.97,0.72,,Deliver is about giving or taking something
donate,donate,0.577,,,giving_and_taking,does_action,approved,unreviewed,0.294,0.97,0.72,,Donate is about giving or taking something
give,give,0.816,,,giving_and_taking,does_action,approved,unreviewed,0.259,0.97,0.72,,Give is about giving or taking something
lend,lend,0.56,,,giving_and_taking,does_action,approved,unreviewed,0.299,0.97,0.72,,Lend is about giving or taking something
offer,offer,0.721,,,giving_and_taking,does_action,approved,unreviewed,0.259,0.97,0.72,,Offer is about giving or taking something
receive,receive,0.693,,,giving_and_taking,does_action,approved,unreviewed,0.261,0.97,0.72,,Receive is about giving or taking something
return,return,0.741,,,giving_and_taking,does_action,approved,unreviewed,0.259,0.97,0.72,,Return is about giving or taking something
sell,sell,0.711,,,giving_and_taking,does_action,approved,unreviewed,0.259,0.97,0.72,,Sell is about giving or taking something
share,share,0.743,,,giving_and_taking,does_action,approved,unreviewed,0.259,0.97,0.72,,Share is about giving or taking something
swap,swap,0.563,,,giving_and_taking,does_action,approved,unreviewed,0.298,0.97,0.72,,Swap is about giving or taking something
take,take,0.846,,,giving_and_taking,does_action,approved,unreviewed,0.259,0.97,0.72,,Take is about giving or taking something
trade,trade,0.731,,,giving_and_taking,does_action,approved,unreviewed,0.259,0.97,0.72,,Trade is about giving or taking something
point,point,0.791,point_gesture,To aim a finger at something,hand_actions,does_action,alternative,unreviewed,0.216,0.97,0.78,,Point is an action performed with the hands
catch,catch,0.696,,,hand_actions,does_action,approved,unreviewed,0.217,0.97,0.78,,Catch is an action performed with the hands
clap,clap,0.506,,,hand_actions,does_action,approved,unreviewed,0.271,0.97,0.78,,Clap is an action performed with the hands
grab,grab,0.646,,,hand_actions,does_action,approved,unreviewed,0.231,0.97,0.78,,Grab is an action performed with the hands
hold,hold,0.741,,,hand_actions,does_action,approved,unreviewed,0.216,0.97,0.78,,Hold is an action performed with the hands
knock,knock,0.621,,,hand_actions,does_action,approved,unreviewed,0.239,0.97,0.78,,Knock is an action performed with the hands
pinch,pinch,0.537,,,hand_actions,does_action,approved,unreviewed,0.263,0.97,0.78,,Pinch is an action performed with the hands
pull,pull,0.689,,,hand_actions,does_action,approved,unreviewed,0.219,0.97,0.78,,Pull is an action performed with the hands
push,push,0.689,,,hand_actions,does_action,approved,unreviewed,0.219,0.97,0.78,,Push is an action performed with the hands
rub,rub,0.567,,,hand_actions,does_action,approved,unreviewed,0.254,0.97,0.78,,Rub is an action performed with the hands
scratch,scratch,0.594,,,hand_actions,does_action,approved,unreviewed,0.246,0.97,0.78,,Scratch is an action performed with the hands
shake,shake,0.619,,,hand_actions,does_action,approved,unreviewed,0.239,0.97,0.78,,Shake is an action performed with the hands
slap,slap,0.567,,,hand_actions,does_action,approved,unreviewed,0.254,0.97,0.78,,Slap is an action performed with the hands
squeeze,squeeze,0.563,,,hand_actions,does_action,approved,unreviewed,0.255,0.97,0.78,,Squeeze is an action performed with the hands
tap,tap,0.611,tap_touch,To touch something lightly and quickly,hand_actions,does_action,approved,unreviewed,0.241,0.97,0.78,,Tap is an action performed with the hands
throw,throw,0.69,,,hand_actions,does_action,approved,unreviewed,0.219,0.97,0.78,,Throw is an action performed with the hands
twist,twist,0.603,,,hand_actions,does_action,approved,unreviewed,0.244,0.97,0.78,,Twist is an action performed with the hands
wave,wave,0.66,wave_hand,To move a raised hand back and forth as a greeting,hand_actions,does_action,approved,unreviewed,0.227,0.97,0.78,,Wave is an action performed with the hands
wring,wring,0.393,,,hand_actions,does_action,approved,unreviewed,0.304,0.97,0.78,,Wring is an action performed with the hands
write,write,0.719,,,hand_actions,does_action,approved,unreviewed,0.216,0.97,0.78,,Write is an action performed with the hands
button,button,0.651,button_clothing,A small disc that fastens clothing,joining_actions,does_action,alternative,unreviewed,0.279,0.97,0.7,,To button joins two things together
tie,tie,0.644,tie_knot,To fasten something with a knot,joining_actions,does_action,alternative,unreviewed,0.281,0.97,0.7,,To tie joins two things together
attach,attach,0.536,,,joining_actions,does_action,approved,unreviewed,0.312,0.97,0.7,,To attach joins two things together
bind,bind,0.536,,,joining_actions,does_action,approved,unreviewed,0.312,0.97,0.7,,To bind joins two things together
buckle,buckle,0.5,,,joining_actions,does_action,approved,unreviewed,0.322,0.97,0.7,,To buckle joins two things together
clip,clip,0.609,,,joining_actions,does_action,approved,unreviewed,0.291,0.97,0.7,,To clip joins two things together
fasten,fasten,0.426,,,joining_actions,does_action,approved,unreviewed,0.343,0.97,0.7,,To fasten joins two things together
glue,glue,0.543,,,joining_actions,does_action,approved,unreviewed,0.31,0.97,0.7,,To glue joins two things together
knot,knot,0.531,,,joining_actions,does_action,approved,unreviewed,0.313,0.97,0.7,,To knot joins two things together
link,link,0.713,link_chain,One ring of a chain,joining_actions,does_action,approved,unreviewed,0.265,0.97,0.7,,To link joins two things together
sew,sew,0.493,,,joining_actions,does_action,approved,unreviewed,0.324,0.97,0.7,,To sew joins two things together
staple,staple,0.526,,,joining_actions,does_action,approved,unreviewed,0.315,0.97,0.7,,To staple joins two things together
stitch,stitch,0.52,,,joining_actions,does_action,approved,unreviewed,0.316,0.97,0.7,,To stitch joins two things together
tape,tape,0.634,,,joining_actions,does_action,approved,unreviewed,0.284,0.97,0.7,,To tape joins two things together
weld,weld,0.476,,,joining_actions,does_action,approved,unreviewed,0.329,0.97,0.7,,To weld joins two things together
zip,zip,0.553,,,joining_actions,does_action,approved,unreviewed,0.307,0.97,0.7,,To zip joins two things together
bill,bill,0.736,bill_money,A piece of paper money or a demand for payment,money_actions,does_action,approved,unreviewed,0.21,0.97,0.8,,To bill is something people do with money
borrow,borrow,0.571,,,money_actions,does_action,approved,unreviewed,0.247,0.97,0.8,,To borrow is something people do with money
budget,budget,0.689,,,money_actions,does_action,approved,unreviewed,0.213,0.97,0.8,,To budget is something people do with money
deposit,deposit,0.606,,,money_actions,does_action,approved,unreviewed,0.237,0.97,0.8,,To deposit is something people do with money
donate,donate,0.577,,,money_actions,does_action,approved,unreviewed,0.245,0.97,0.8,,To donate is something people do with money
earn,earn,0.64,,,money_actions,does_action,approved,unreviewed,0.227,0.97,0.8,,To earn is something people do with money
gamble,gamble,0.541,,,money_actions,does_action,approved,unreviewed,0.255,0.97,0.8,,To gamble is something people do with money
invest,invest,0.617,,,money_actions,does_action,approved,unreviewed,0.234,0.97,0.8,,To invest is something people do with money
lend,lend,0.56,,,money_actions,does_action,approved,unreviewed,0.25,0.97,0.8,,To lend is something people do with money
owe,owe,0.59,,,money_actions,does_action,approved,unreviewed,0.241,0.97,0.8,,To owe is something people do with money
pay,pay,0.771,,,money_actions,does_action,approved,unreviewed,0.21,0.97,0.8,,To pay is something people do with money
refund,refund,0.563,,,money_actions,does_action,approved,unreviewed,0.249,0.97,0.8,,To refund is something people do with money
save,save,0.734,,,money_actions,does_action,approved,unreviewed,0.21,0.97,0.8,,To save is something people do with money
spend,spend,0.71,,,money_actions,does_action,approved,unreviewed,0.21,0.97,0.8,,To spend is something people do with money
tip,tip,0.65,tip_money,Extra money left for good service,money_actions,does_action,approved,unreviewed,0.224,0.97,0.8,,To tip is something people do with money
withdraw,withdraw,0.579,,,money_actions,does_action,approved,unreviewed,0.245,0.97,0.8,,To withdraw is something people do with money
unbutton,unbutton,0.307,,,opening_actions,does_action,alternative,unreviewed,0.371,0.97,0.72,"[""obscure""]",To unbutton opens or uncovers something
unroll,unroll,0.323,,,opening_actions,does_action,alternative,unreviewed,0.367,0.97,0.72,"[""obscure""]",To unroll opens or uncovers something
unscrew,unscrew,0.35,,,opening_actions,does_action,alternative,unreviewed,0.359,0.97,0.72,"[""obscure""]",To unscrew opens or uncovers something
lift,lift,0.643,,,opening_actions,does_action,approved,unreviewed,0.275,0.97,0.72,,To lift opens or uncovers something
open,open,0.783,,,opening_actions,does_action,approved,unreviewed,0.259,0.97,0.72,,To open opens or uncovers something
peel,peel,0.543,,,opening_actions,does_action,approved,unreviewed,0.304,0.97,0.72,,To peel opens or uncovers something
pry,pry,0.44,,,opening_actions,does_action,approved,unreviewed,0.333,0.97,0.72,,To pry opens or uncovers something
reveal,reveal,0.633,,,opening_actions,does_action,approved,unreviewed,0.278,0.97,0.72,,To reveal opens or uncovers something
uncover,uncover,0.497,,,opening_actions,does_action,approved,unreviewed,0.317,0.97,0.72,,To uncover opens or uncovers something
unfold,unfold,0.493,,,opening_actions,does_action,approved,unreviewed,0.318,0.97,0.72,,To unfold opens or uncovers something
unlock,unlock,0.557,,,opening_actions,does_action,approved,unreviewed,0.3,0.97,0.72,,To unlock opens or uncovers something
unwrap,unwrap,0.366,,,opening_actions,does_action,approved,unreviewed,0.354,0.97,0.72,,To unwrap opens or uncovers something
unzip,unzip,0.364,,,opening_actions,does_action,approved,unreviewed,0.355,0.97,0.72,,To unzip opens or uncovers something
uncork,uncork,0.261,,,opening_actions,does_action,hard_only,unreviewed,0.384,0.97,0.72,"[""obscure""]",To uncork opens or uncovers something
blink,blink,0.533,,,quiet_actions,does_action,alternative,unreviewed,0.362,0.97,0.62,,Blink makes almost no noise when done
breathe,breathe,0.609,,,quiet_actions,does_action,alternative,unreviewed,0.34,0.97,0.62,,Breathe makes almost no noise when done
