quartet_key,category_key,label,rule,tier,review_state,solver_state,difficulty,words
animal_actions__1,animal_actions,ANIMAL ACTIONS,Actions typical of animals rather than people,normal,auto_validated,unique,0.28,nest | hunt | hatch | shed
driving_actions__3,driving_actions,DRIVING ACTIONS,Actions done while driving a car,normal,auto_validated,unique,0.259,steer | accelerate | merge | idle
eating_actions__1,eating_actions,EATING ACTIONS,Actions done while eating or drinking,normal,auto_validated,unique,0.228,bite | taste | drink | feast
eating_actions__2,eating_actions,EATING ACTIONS,Actions done while eating or drinking,normal,auto_validated,unique,0.255,swallow | sip | lick | snack
eating_actions__3,eating_actions,EATING ACTIONS,Actions done while eating or drinking,normal,auto_validated,unique,0.279,chew | gulp | munch | devour
garden_actions__1,garden_actions,GARDEN ACTIONS,Actions done while gardening,normal,auto_validated,unique,0.262,plant | water | weed | seed
garden_actions__2,garden_actions,GARDEN ACTIONS,Actions done while gardening,normal,auto_validated,unique,0.288,trim | dig | harvest | transplant
garden_actions__3,garden_actions,GARDEN ACTIONS,Actions done while gardening,normal,auto_validated,unique,0.317,sow | rake | mow | compost
giving_and_taking__1,giving_and_taking,GIVING AND TAKING,Verbs about transferring something to or from someone,normal,auto_validated,unique,0.259,hand | give | offer | buy
giving_and_taking__2,giving_and_taking,GIVING AND TAKING,Verbs about transferring something to or from someone,normal,auto_validated,unique,0.259,take | share | return | sell
giving_and_taking__3,giving_and_taking,GIVING AND TAKING,Verbs about transferring something to or from someone,normal,auto_validated,unique,0.269,receive | trade | deliver | collect
hand_actions__1,hand_actions,HAND ACTIONS,Actions performed with the hands,normal,auto_validated,unique,0.216,point | hold | catch | write
hand_actions__2,hand_actions,HAND ACTIONS,Actions performed with the hands,normal,auto_validated,unique,0.221,wave | push | pull | throw
hand_actions__3,hand_actions,HAND ACTIONS,Actions performed with the hands,normal,auto_validated,unique,0.237,tap | grab | knock | shake
joining_actions__1,joining_actions,JOINING ACTIONS,Actions that join two things together,normal,auto_validated,unique,0.277,link | tie | button | tape
joining_actions__2,joining_actions,JOINING ACTIONS,Actions that join two things together,normal,auto_validated,unique,0.305,glue | clip | zip | attach
joining_actions__3,joining_actions,JOINING ACTIONS,Actions that join two things together,normal,auto_validated,unique,0.314,staple | knot | bind | stitch
money_actions__1,money_actions,MONEY ACTIONS,Actions people do with money,normal,auto_validated,unique,0.21,bill | spend | save | pay
money_actions__2,money_actions,MONEY ACTIONS,Actions people do with money,normal,auto_validated,unique,0.225,tip | earn | invest | budget
money_actions__3,money_actions,MONEY ACTIONS,Actions people do with money,normal,auto_validated,unique,0.242,donate | owe | withdraw | deposit
opening_actions__1,opening_actions,OPENING ACTIONS,Actions that open or uncover something,normal,auto_validated,unique,0.278,lift | open | unlock | reveal
opening_actions__2,opening_actions,OPENING ACTIONS,Actions that open or uncover something,normal,auto_validated,unique,0.318,peel | pry | unfold | uncover
opening_actions__3,opening_actions,OPENING ACTIONS,Actions that open or uncover something,normal,auto_validated,unique,0.359,unwrap | unzip | unscrew | unroll
quiet_actions__1,quiet_actions,SILENT ACTIONS,Actions that make almost no noise,normal,auto_validated,unique,0.317,think | read | sleep | smile
quiet_actions__2,quiet_actions,SILENT ACTIONS,Actions that make almost no noise,normal,auto_validated,unique,0.351,stare | nod | sneak | breathe
quiet_actions__3,quiet_actions,SILENT ACTIONS,Actions that make almost no noise,normal,auto_validated,unique,0.368,whisper | wink | glide | blink
school_actions__1,school_actions,SCHOOL ACTIONS,Actions done at school,normal,auto_validated,unique,0.21,learn | read | review | research
school_actions__2,school_actions,SCHOOL ACTIONS,Actions done at school,normal,auto_validated,unique,0.213,write | study | teach | grade
school_actions__3,school_actions,SCHOOL ACTIONS,Actions done at school,normal,auto_validated,unique,0.243,spell | quiz | submit | calculate
sleeping_actions__1,sleeping_actions,SLEEP ACTIONS,Things a person does while sleeping or falling asleep,normal,auto_validated,unique,0.256,rest | dream | turn | stretch
sleeping_actions__2,sleeping_actions,SLEEP ACTIONS,Things a person does while sleeping or falling asleep,normal,auto_validated,unique,0.299,toss | nap | drift off | slumber
sleeping_actions__3,sleeping_actions,SLEEP ACTIONS,Things a person does while sleeping or falling asleep,normal,auto_validated,unique,0.342,snore | doze | yawn | sleepwalk
sports_actions__1,sports_actions,SPORTS ACTIONS,Actions done while playing sports,normal,auto_validated,unique,0.211,score | catch | serve | pass
sports_actions__2,sports_actions,SPORTS ACTIONS,Actions done while playing sports,normal,auto_validated,unique,0.219,pitch | throw | kick | shoot
sports_actions__3,sports_actions,SPORTS ACTIONS,Actions done while playing sports,normal,auto_validated,unique,0.241,dive | tackle | swing | spike
thinking_actions__1,thinking_actions,THINKING ACTIONS,Verbs for mental activity,normal,auto_validated,unique,0.25,focus | forget | doubt | consider
thinking_actions__2,thinking_actions,THINKING ACTIONS,Verbs for mental activity,normal,auto_validated,unique,0.25,imagine | guess | learn | judge
thinking_actions__3,thinking_actions,THINKING ACTIONS,Verbs for mental activity,normal,auto_validated,unique,0.25,think | remember | plan | wonder
water_actions__1,water_actions,WATER ACTIONS,Actions done in or with water,normal,auto_validated,unique,0.283,sink | swim | wash | flood
water_actions__2,water_actions,WATER ACTIONS,Actions done in or with water,normal,auto_validated,unique,0.291,drain | dive | pour | spray
water_actions__3,water_actions,WATER ACTIONS,Actions done in or with water,normal,auto_validated,unique,0.299,wade | splash | float | spill
ways_of_laughing__1,ways_of_laughing,WAYS OF LAUGHING,Verbs for different kinds of laughing,normal,auto_validated,unique,0.34,laugh | giggle | chuckle | roar
ways_of_laughing__2,ways_of_laughing,WAYS OF LAUGHING,Verbs for different kinds of laughing,normal,auto_validated,unique,0.383,snicker | cackle | howl | snort
ways_of_looking__1,ways_of_looking,WAYS OF LOOKING,Verbs describing a way of looking at something,normal,auto_validated,unique,0.276,watch | peer | spy | survey
ways_of_looking__2,ways_of_looking,WAYS OF LOOKING,Verbs describing a way of looking at something,normal,auto_validated,unique,0.296,stare | glance | observe | scan
ways_of_looking__3,ways_of_looking,WAYS OF LOOKING,Verbs describing a way of looking at something,normal,auto_validated,unique,0.312,peek | gaze | glare | inspect
ways_of_moving__1,ways_of_moving,WAYS OF MOVING,Verbs describing a way a person moves their body from place to place,normal,auto_validated,unique,0.17,march | walk | run | race
ways_of_moving__2,ways_of_moving,WAYS OF MOVING,Verbs describing a way a person moves their body from place to place,normal,auto_validated,unique,0.179,spring | jump | swimming | flying
ways_of_moving__3,ways_of_moving,WAYS OF MOVING,Verbs describing a way a person moves their body from place to place,normal,auto_validated,unique,0.195,skip | climb | slide | hop
ways_of_speaking__1,ways_of_speaking,WAYS OF SPEAKING,Verbs describing a way of saying something aloud,normal,auto_validated,unique,0.242,shout | scream | sing | announce
ways_of_speaking__2,ways_of_speaking,WAYS OF SPEAKING,Verbs describing a way of saying something aloud,normal,auto_validated,unique,0.258,whisper | yell | gossip | declare
ways_of_speaking__3,ways_of_speaking,WAYS OF SPEAKING,Verbs describing a way of saying something aloud,normal,auto_validated,unique,0.279,chant | recite | chatter | growl
weather_actions__1,weather_actions,WEATHER ACTIONS,Verbs describing what weather does,normal,auto_validated,unique,0.258,rain | snow | blow | clear
weather_actions__2,weather_actions,WEATHER ACTIONS,Verbs describing what weather does,normal,auto_validated,unique,0.279,shine | flood | thunder | freeze
weather_actions__3,weather_actions,WEATHER ACTIONS,Verbs describing what weather does,normal,auto_validated,unique,0.295,pour | hail | thaw | melt
advocate__1,advocate,ADVOCATE,What belongs to the group «Advocate» as used in the original game,normal,auto_validated,unique,0.096,back | Champion | endorse | support
african_animals__1,african_animals,AFRICAN ANIMALS,Wild animals associated with the African savanna,normal,auto_validated,unique,0.181,leopard | lion | elephant | buffalo
african_animals__2,african_animals,AFRICAN ANIMALS,Wild animals associated with the African savanna,normal,auto_validated,unique,0.204,giraffe | zebra | rhino | crocodile
african_animals__3,african_animals,AFRICAN ANIMALS,Wild animals associated with the African savanna,normal,auto_validated,unique,0.216,vulture | hippo | cheetah | antelope
alcatraz_island__1,alcatraz_island,ALCATRAZ ISLAND,What belongs to the group «Alcatraz Island» as used in the original game,normal,auto_validated,unique,0.272,guards | inmates | san francisco | tourist attraction
amphibians_and_bugs__1,amphibians_and_bugs,AMPHIBIANS,Animals that live both in water and on land as amphibians,normal,auto_validated,unique,0.328,frog | toad | tree frog | wood frog
animal_babies__1,animal_babies,BABY ANIMALS,English words for the young of an animal species,normal,auto_validated,unique,0.227,lamb | puppy | chick | kid
animal_babies__2,animal_babies,BABY ANIMALS,English words for the young of an animal species,normal,auto_validated,unique,0.243,calf | fry | joey | bunny
animal_babies__3,animal_babies,BABY ANIMALS,English words for the young of an animal species,normal,auto_validated,unique,0.253,kitten | cub | colt | pup
animal_body_parts__1,animal_body_parts,ANIMAL PARTS,Body parts that animals have but people do not,normal,auto_validated,unique,0.195,trunk | horn | tail | wing
animal_body_parts__2,animal_body_parts,ANIMAL PARTS,Body parts that animals have but people do not,normal,auto_validated,unique,0.223,paw | claw | fin | gill
animal_body_parts__3,animal_body_parts,ANIMAL PARTS,Body parts that animals have but people do not,normal,auto_validated,unique,0.234,mane | beak | fang | hump
animal_coverings__1,animal_coverings,ANIMAL COVERINGS,Things that cover an animal body,normal,auto_validated,unique,0.266,scale | skin | hair | down
animal_coverings__2,animal_coverings,ANIMAL COVERINGS,Things that cover an animal body,normal,auto_validated,unique,0.288,coat | shell | fur | hide
animal_coverings__3,animal_coverings,ANIMAL COVERINGS,Things that cover an animal body,normal,auto_validated,unique,0.313,feather | wool | spine | fleece
animal_defense__1,animal_defense,ANIMAL DEFENSE,What belongs to the group «Animal Defense» as used in the original game,normal,auto_validated,unique,0.413,spine | claw | fang | venom
animal_groups__1,animal_groups,ANIMAL GROUPS,Collective nouns for groups of animals,normal,auto_validated,unique,0.326,school | pack | parliament | wake
animal_groups__2,animal_groups,ANIMAL GROUPS,Collective nouns for groups of animals,normal,auto_validated,unique,0.349,herd | pride | colony | drove
animal_groups__3,animal_groups,ANIMAL GROUPS,Collective nouns for groups of animals,normal,auto_validated,unique,0.369,flock | litter | pod | troop
animal_homes__1,animal_homes,ANIMAL HOMES,Words for the places animals live in,normal,auto_validated,unique,0.239,stable | web | hole | shell
animal_homes__2,animal_homes,ANIMAL HOMES,Words for the places animals live in,normal,auto_validated,unique,0.252,pen | cave | lodge | warren
animal_homes__3,animal_homes,ANIMAL HOMES,Words for the places animals live in,normal,auto_validated,unique,0.265,mound | nest | den | barn
animal_homophones__1,animal_homophones,ANIMAL HOMOPHONES,What belongs to the group «Animal Homophones» as used in the original game,normal,auto_validated,unique,0.34,moose | bear | deer | hare
animal_sounds__1,animal_sounds,ANIMAL SOUNDS,English words for the sound an animal makes,normal,auto_validated,unique,0.249,bark | roar | buzz | tweet
animal_sounds__2,animal_sounds,ANIMAL SOUNDS,English words for the sound an animal makes,normal,auto_validated,unique,0.276,meow | coo | bray | yelp
animal_sounds__3,animal_sounds,ANIMAL SOUNDS,English words for the sound an animal makes,normal,auto_validated,unique,0.281,growl | howl | moo | grunt
animal_verbs__1,animal_verbs,ANIMAL MOVEMENTS,Verbs for the way particular animals move,normal,auto_validated,unique,0.342,swim | hop | leap | soar
animal_verbs__2,animal_verbs,ANIMAL MOVEMENTS,Verbs for the way particular animals move,normal,auto_validated,unique,0.363,dart | crawl | perch | glide
animal_verbs__3,animal_verbs,ANIMAL MOVEMENTS,Verbs for the way particular animals move,normal,auto_validated,unique,0.377,burrow | trot | swoop | flutter
animals__1,animals,ANIMALS,What belongs to the group «Animals» as used in the original game,normal,auto_validated,unique,0.418,lion | elephant | fish | birds
animals__2,animals,ANIMALS,What belongs to the group «Animals» as used in the original game,normal,auto_validated,unique,0.45,penguin | moose | camel | mammals
animals__3,animals,ANIMALS,What belongs to the group «Animals» as used in the original game,normal,auto_validated,unique,0.463,giraffe | zebra | otter | reptiles
animals_that_shed_skin__1,animals_that_shed_skin,ANIMALS THAT SHED SKIN,What belongs to the group «Animals That Shed Skin» as used in the original game,normal,auto_validated,unique,0.494,crab | spider | iguana | salamander
animals_with_pouches__1,animals_with_pouches,ANIMALS WITH POUCHES,What belongs to the group «Animals With Pouches» as used in the original game,normal,auto_validated,unique,0.557,kangaroo | koala | wombat | possum
animals_with_shells__1,animals_with_shells,ANIMALS WITH SHELLS,Animals whose body is protected by a hard shell,normal,auto_validated,unique,0.312,crab | lobster | turtle | snail
animals_with_shells__2,animals_with_shells,ANIMALS WITH SHELLS,Animals whose body is protected by a hard shell,normal,auto_validated,unique,0.327,clam | oyster | beetle | tortoise
appetizer__1,appetizer,APPETIZER,What belongs to the group «Appetizer» as used in the original game,normal,auto_validated,unique,0.287,spring roll | nachos | salad | soup
appetizers__1,appetizers,APPETIZERS,What belongs to the group «Appetizers» as used in the original game,normal,auto_validated,unique,0.537,wings | baguette | fries | nachos
arctic_animals__1,arctic_animals,ARCTIC ANIMALS,Animals that live in the Arctic north,normal,auto_validated,unique,0.225,seal | polar bear | arctic fox | moose
arctic_animals__2,arctic_animals,ARCTIC ANIMALS,Animals that live in the Arctic north,normal,auto_validated,unique,0.249,reindeer | snowy owl | husky | wolverine
arctic_animals__3,arctic_animals,ARCTIC ANIMALS,Animals that live in the Arctic north,normal,auto_validated,unique,0.262,walrus | orca | caribou | musk ox
beach_vacation__1,beach_vacation,BEACH VACATION,What belongs to the group «Beach Vacation» as used in the original game,normal,auto_validated,unique,0.227,beach | cocktail | tanning | water sports
big_mammals__1,big_mammals,BIG MAMMALS,What belongs to the group «Big Mammals» as used in the original game,normal,auto_validated,unique,0.533,elephant | giraffe | hippopotamus | rhinoceros
biology_classifications__1,biology_classifications,BIOLOGY CLASSIFICATIONS,What belongs to the group «Biology Classifications» as used in the original game,normal,auto_validated,unique,0.413,phylum | fungi | genus | species
bird_features__1,bird_features,BIRD FEATURES,What belongs to the group «Bird Features» as used in the original game,normal,auto_validated,unique,0.435,feather | beak | wing | talon
bird_sounds__1,bird_sounds,BIRD SOUNDS,What belongs to the group «Bird Sounds» as used in the original game,normal,auto_validated,unique,0.548,sing | chirp | hoot | caw
bird_species__1,bird_species,BIRD SPECIES,What belongs to the group «Bird Species» as used in the original game,normal,auto_validated,unique,0.529,robin | pelican | finch | wren
birds__1,birds,BIRDS,Bird species an average American can name,normal,auto_validated,unique,0.101,turkey | chicken | robin | jay
birds__2,birds,BIRDS,Bird species an average American can name,normal,auto_validated,unique,0.115,crane | duck | eagle | blue jay
birds__3,birds,BIRDS,Bird species an average American can name,normal,auto_validated,unique,0.126,cardinal | goose | owl | swan
birds_life__1,birds_life,BIRDS LIFE,What belongs to the group «Birds Life» as used in the original game,normal,auto_validated,unique,0.194,nest | egg | birds | trees
black_and_white_animals__1,black_and_white_animals,BLACK AND WHITE ANIMALS,What belongs to the group «Black And White Animals» as used in the original game,normal,auto_validated,unique,0.438,penguin | zebra | dalmatian | panda
body_modifications__1,body_modifications,BODY MODIFICATIONS,What belongs to the group «Body Modifications» as used in the original game,normal,auto_validated,unique,0.408,facelift | can be pierced | ear jewelry | ear stretching
cartoon_cats__1,cartoon_cats,CARTOON CATS,What belongs to the group «Cartoon Cats» as used in the original game,normal,auto_validated,unique,0.395,tom | Garfield | Sylvester | felix
cat__1,cat,CAT,What belongs to the group «Cat» as used in the original game,normal,auto_validated,unique,0.534,scratch | meow | persian | maine coon
cat__2,cat,CAT,What belongs to the group «Cat» as used in the original game,normal,auto_validated,unique,0.564,purr | Whiskers | siamese | munchkin
cat_essentials__1,cat_essentials,CAT ESSENTIALS,What belongs to the group «Cat Essentials» as used in the original game,normal,auto_validated,unique,0.168,boxes | cat bed | food bowl | water bowl
cat_family__1,cat_family,CAT FAMILY,What belongs to the group «Cat Family» as used in the original game,normal,auto_validated,unique,0.326,cat | leopard | tiger | cheetah
categories__1,categories,CATEGORIES,What belongs to the group «Categories» as used in the original game,normal,auto_validated,unique,0.431,inventions | classifications | genera | types
caterpillar__1,caterpillar,CATERPILLAR,What belongs to the group «Caterpillar» as used in the original game,normal,auto_validated,unique,0.322,crawl | cocoon | leaf | hungry
cattle__1,cattle,CATTLE,What belongs to the group «Cattle» as used in the original game,normal,auto_validated,unique,0.441,barn | pasture | angus | ayrshire
chinese_zodiac_animals__1,chinese_zodiac_animals,CHINESE ZODIAC ANIMALS,What belongs to the group «Chinese Zodiac Animals» as used in the original game,normal,auto_validated,unique,0.228,dog | monkey | tiger | dragon
classic_dog_names__1,classic_dog_names,CLASSIC DOG NAMES,What belongs to the group «Classic Dog Names» as used in the original game,normal,auto_validated,unique,0.26,spot | rover | fido | lucky
classification__1,classification,CLASSIFICATION,What belongs to the group «Classification» as used in the original game,normal,auto_validated,unique,0.113,collection | type | species | group
climate_classification__1,climate_classification,CLIMATE CLASSIFICATION,What belongs to the group «Climate Classification» as used in the original game,normal,auto_validated,unique,0.462,arid | desert | monsoon | equatorial
cold_blooded_animals__1,cold_blooded_animals,COLD BLOODED ANIMALS,What belongs to the group «Cold Blooded Animals» as used in the original game,normal,auto_validated,unique,0.327,turtle | snake | crocodile | fish
commands_for_dogs__1,commands_for_dogs,COMMANDS FOR DOGS,What belongs to the group «Commands For Dogs» as used in the original game,normal,auto_validated,unique,0.08,down | sit | stay | come
communication__1,communication,COMMUNICATION,What belongs to the group «Communication» as used in the original game,normal,auto_validated,unique,0.28,phone | radio | text | call
communication__2,communication,COMMUNICATION,What belongs to the group «Communication» as used in the original game,normal,auto_validated,unique,0.317,telegraph | email | fax | sms
communication_codes__1,communication_codes,COMMUNICATION CODES,What belongs to the group «Communication Codes» as used in the original game,normal,auto_validated,unique,0.522,cipher | Morse | semaphore | binary
communication_systems__1,communication_systems,COMMUNICATION SYSTEMS,What belongs to the group «Communication Systems» as used in the original game,normal,auto_validated,unique,0.473,Morse | morse code | braille | sign language
communication_technology__1,communication_technology,COMMUNICATION TECHNOLOGY,What belongs to the group «Communication Technology» as used in the original game,normal,auto_validated,unique,0.227,radio | satellite | fiber | telephone
communication_tools__1,communication_tools,COMMUNICATION TOOLS,What belongs to the group «Communication Tools» as used in the original game,normal,auto_validated,unique,0.196,radio | beacon | internet | smartphone
compete__1,compete,COMPETE,What belongs to the group «Compete» as used in the original game,normal,auto_validated,unique,0.149,award | contest | fight | loser
dairy_animals__1,dairy_animals,DAIRY ANIMALS,What belongs to the group «Dairy Animals» as used in the original game,normal,auto_validated,unique,0.288,cow | sheep | goat | buffalo
dangerous_animals__1,dangerous_animals,DANGEROUS ANIMALS,What belongs to the group «Dangerous Animals» as used in the original game,normal,auto_validated,unique,0.429,shark | jaguar | cobra | viper
delicate__1,delicate,DELICATE,What belongs to the group «Delicate» as used in the original game,normal,auto_validated,unique,0.473,fragile | frail | exquisite | tender
dog__1,dog,DOG,What belongs to the group «Dog» as used in the original game,normal,auto_validated,unique,0.503,bulldog | bone | leash | fetch
dog__2,dog,DOG,What belongs to the group «Dog» as used in the original game,normal,auto_validated,unique,0.531,husky | pug | labrador | pomeranian
dog_breeds__1,dog_breeds,DOG BREEDS,Breeds of domestic dog recognized by an average American,normal,auto_validated,unique,0.235,bulldog | boxer | shepherd | pointer
dog_breeds__2,dog_breeds,DOG BREEDS,Breeds of domestic dog recognized by an average American,normal,auto_validated,unique,0.252,husky | terrier | chihuahua | labrador
dog_breeds__3,dog_breeds,DOG BREEDS,Breeds of domestic dog recognized by an average American,normal,auto_validated,unique,0.259,poodle | beagle | pug | greyhound
dog_commands__1,dog_commands,DOG COMMANDS,What belongs to the group «Dog Commands» as used in the original game,normal,auto_validated,unique,0.231,heel | sit | stay | fetch
dog_park__1,dog_park,DOG PARK,What belongs to the group «Dog Park» as used in the original game,normal,auto_validated,unique,0.309,frisbee | leash | training | water bowl
dog_tricks__1,dog_tricks,DOG TRICKS,What belongs to the group «Dog Tricks» as used in the original game,normal,auto_validated,unique,0.127,sit | fetch | play dead | roll over
dog_types__1,dog_types,DOG TYPES,What belongs to the group «Dog Types» as used in the original game,normal,auto_validated,unique,0.53,husky | beagle | labrador | great dane
dogs__1,dogs,DOGS,What belongs to the group «Dogs» as used in the original game,normal,auto_validated,unique,0.496,bull | husky | bulldog | shepherd
dream_catcher__1,dream_catcher,DREAM CATCHER,What belongs to the group «Dream Catcher» as used in the original game,normal,auto_validated,unique,0.355,feather | cord | talisman | native american
economic_indicators__1,economic_indicators,ECONOMIC INDICATORS,What belongs to the group «Economic Indicators» as used in the original game,normal,auto_validated,unique,0.308,surplus | gdp | inflation | deficit
education__1,education,EDUCATION,What belongs to the group «Education» as used in the original game,normal,auto_validated,unique,0.096,school | science | reading | writing
education__2,education,EDUCATION,What belongs to the group «Education» as used in the original game,normal,auto_validated,unique,0.096,student | teacher | knowledge | learning
education__3,education,EDUCATION,What belongs to the group «Education» as used in the original game,normal,auto_validated,unique,0.119,math | exam | homework | lesson
education_institutions__1,education_institutions,EDUCATION INSTITUTIONS,What belongs to the group «Education Institutions» as used in the original game,normal,auto_validated,unique,0.084,academy | college | institute | university
education_path__1,education_path,EDUCATION PATH,What belongs to the group «Education Path» as used in the original game,normal,auto_validated,unique,0.091,school | college | university | kindergarten
educational_building__1,educational_building,EDUCATIONAL BUILDING,What belongs to the group «Educational Building» as used in the original game,normal,auto_validated,unique,0.084,school | academy | institute | university
educational_institutions__1,educational_institutions,EDUCATIONAL INSTITUTIONS,What belongs to the group «Educational Institutions» as used in the original game,normal,auto_validated,unique,0.345,academy | conservatory | seminary | university departments
eusocial_animals__1,eusocial_animals,EUSOCIAL ANIMALS,What belongs to the group «Eusocial Animals» as used in the original game,normal,auto_validated,unique,0.399,ants | bees | mole rat | termites
extinct_animals__1,extinct_animals,EXTINCT ANIMALS,Extinct animals and animal groups people recognize by name,normal,auto_validated,unique,0.285,dinosaur | mammoth | raptor | kiwi
extinct_animals__2,extinct_animals,EXTINCT ANIMALS,Extinct animals and animal groups people recognize by name,normal,auto_validated,unique,0.311,dodo | saber tooth | tyrannosaurus | mastodon
famous_peters__1,famous_peters,FAMOUS PETERS,What belongs to the group «Famous Peters» as used in the original game,normal,auto_validated,unique,0.281,rabbit | pan | parker | piper
farm_animals__1,farm_animals,FARM ANIMALS,Animals commonly kept on an ordinary farm,normal,auto_validated,unique,0.071,horse | chicken | cat | dog
farm_animals__2,farm_animals,FARM ANIMALS,Animals commonly kept on an ordinary farm,normal,auto_validated,unique,0.088,turkey | duck | sheep | bull
farm_bird_words__1,farm_bird_words,POULTRY,Birds raised for meat or eggs on a farm,normal,auto_validated,unique,0.286,turkey | duck | chicken | chick
farm_bird_words__2,farm_bird_words,POULTRY,Birds raised for meat or eggs on a farm,normal,auto_validated,unique,0.319,rooster | hen | goose | pigeon
fictional_cats__1,fictional_cats,FICTIONAL CATS,What belongs to the group «Fictional Cats» as used in the original game,normal,auto_validated,unique,0.439,tom | Garfield | Sylvester | cheshire
fluffy_animals__1,fluffy_animals,FLUFFY ANIMALS,What belongs to the group «Fluffy Animals» as used in the original game,normal,auto_validated,unique,0.295,sheep | rabbit | cat | alpaca
flying_animals__1,flying_animals,FLYING ANIMALS,Animals that can fly under their own power,normal,auto_validated,unique,0.172,bat | duck | robin | eagle
flying_animals__2,flying_animals,FLYING ANIMALS,Animals that can fly under their own power,normal,auto_validated,unique,0.184,goose | owl | bee | butterfly
forest_animals__1,forest_animals,FOREST ANIMALS,What belongs to the group «Forest Animals» as used in the original game,normal,auto_validated,unique,0.283,rabbit | fox | wolf | bear
forest_animals__2,forest_animals,FOREST ANIMALS,What belongs to the group «Forest Animals» as used in the original game,normal,auto_validated,unique,0.309,owl | squirrel | elk | deer
four_legged_animals__1,four_legged_animals,FOUR LEGGED ANIMALS,What belongs to the group «Four Legged Animals» as used in the original game,normal,auto_validated,unique,0.402,fox | armadillo | elephant | cheetah
garden_insects__1,garden_insects,GARDEN INSECTS,What belongs to the group «Garden Insects» as used in the original game,normal,auto_validated,unique,0.415,bee | moth | cricket | worm
hatching_animals__1,hatching_animals,HATCHING ANIMALS,What belongs to the group «Hatching Animals» as used in the original game,normal,auto_validated,unique,0.324,chicken | snake | dinosaur | platypus
hooved_animals__1,hooved_animals,HOOVED ANIMALS,What belongs to the group «Hooved Animals» as used in the original game,normal,auto_validated,unique,0.34,pig | horse | rhino | moose
hopping_animals__1,hopping_animals,HOPPING ANIMALS,What belongs to the group «Hopping Animals» as used in the original game,normal,auto_validated,unique,0.419,rabbit | kangaroo | wallaby | hare
horse_words__1,horse_words,HORSE WORDS,Words for kinds of horses and horse gear,normal,auto_validated,unique,0.305,pony | saddle | harness | stable
horse_words__2,horse_words,HORSE WORDS,Words for kinds of horses and horse gear,normal,auto_validated,unique,0.318,groom | colt | mare | jockey
horse_words__3,horse_words,HORSE WORDS,Words for kinds of horses and horse gear,normal,auto_validated,unique,0.332,stallion | mane | trot | reins
household_pets__1,household_pets,HOUSEHOLD PETS,What belongs to the group «Household Pets» as used in the original game,normal,auto_validated,unique,0.557,gerbil | guinea pig | tortoise | budgie
