level,categories,meta_categories,meta_share,start_bubbles,total_word_slots,max_meta_depth,quickwin_categories,words_zipf_lt_3,words_zipf_lt_2,min_zipf,median_zipf
40,9,4,0.444,32,36,1,2,8,1,1.81,3.85
41,10,4,0.4,36,40,1,6,3,0,2.66,3.55
42,10,5,0.5,35,40,1,2,7,2,1.67,3.84
43,10,5,0.5,35,40,1,4,7,1,1.59,3.9
44,8,3,0.375,29,32,2,4,2,1,1.22,4.27
45,12,5,0.417,43,48,1,5,9,1,1.61,3.58
46,7,2,0.286,26,28,1,5,1,0,2.88,4.59
47,10,3,0.3,37,40,1,5,2,0,2.31,4.18
48,11,6,0.545,38,44,1,5,6,0,2.7,3.77
49,10,4,0.4,36,40,1,4,3,1,1.79,4.16
50,6,0,0.0,24,24,0,3,6,2,1.17,3.81
51,12,8,0.667,40,48,2,4,7,2,1.88,3.82
52,10,4,0.4,36,40,1,4,6,0,2.64,3.95
53,10,2,0.2,38,40,1,5,7,0,2.63,3.92
54,10,6,0.6,34,40,2,5,2,0,2.87,4.36
55,14,8,0.571,48,56,2,6,4,0,2.29,4.44
56,7,1,0.143,27,28,1,4,2,0,2.86,4.04
57,10,3,0.3,37,40,1,6,2,0,2.5,4.18
58,10,5,0.5,35,40,2,3,4,0,2.39,4.18
59,12,5,0.417,43,48,1,6,2,0,2.58,4.0
60,13,4,0.308,48,52,1,9,5,2,1.5,4.26
61,9,3,0.333,33,36,1,4,4,0,2.38,3.79
62,10,6,0.6,34,40,1,5,2,0,2.86,4.62
63,8,3,0.375,29,32,1,3,4,0,2.18,4.13
64,9,7,0.778,29,36,1,6,1,0,2.91,4.37
65,13,2,0.154,50,52,1,6,12,1,1.18,3.63
66,9,4,0.444,32,36,1,5,3,0,2.45,3.8
67,8,1,0.125,31,32,1,5,3,3,1.49,4.02
68,11,6,0.545,38,44,1,4,5,0,2.5,3.73
69,9,6,0.667,30,36,1,6,0,0,3.18,4.58
70,12,5,0.417,43,48,2,6,5,1,1.67,4.2
71,7,2,0.286,26,28,1,4,3,2,1.8,4.24
72,10,5,0.5,35,40,1,5,2,0,2.69,4.04
73,11,5,0.455,39,44,2,5,2,0,2.27,3.92
74,10,4,0.4,36,40,1,7,0,0,3.21,4.33
75,12,7,0.583,41,48,2,8,1,0,2.99,4.0
76,6,1,0.167,23,24,1,4,4,1,1.89,3.79
77,12,3,0.25,45,48,1,5,5,0,2.36,4.07
78,15,3,0.2,57,60,1,9,3,0,2.23,3.91
79,11,6,0.545,38,44,2,4,5,0,2.18,3.84
80,8,2,0.25,30,32,1,6,1,0,2.91,4.08
81,12,5,0.417,43,48,2,9,1,0,2.96,4.04
82,10,4,0.4,36,40,1,6,3,0,2.57,3.93
83,8,3,0.375,29,32,1,6,1,1,1.99,4.03
84,8,1,0.125,31,32,1,5,2,0,2.65,3.79
85,11,5,0.455,39,44,2,4,8,1,1.95,3.88
86,7,2,0.286,26,28,1,4,3,0,2.56,4.13
87,10,5,0.5,35,40,1,4,4,0,2.7,3.84
88,10,3,0.3,37,40,1,5,3,0,2.65,4.13
89,9,3,0.333,33,36,1,3,7,0,2.3,3.79
90,10,2,0.2,38,40,1,6,2,0,2.9,4.04
91,8,4,0.5,28,32,1,2,10,2,1.19,3.97
92,9,6,0.667,30,36,1,6,0,0,3.16,4.12
93,8,2,0.25,30,32,1,3,5,0,2.05,3.43
94,10,6,0.6,34,40,1,5,4,0,2.66,4.12
95,14,8,0.571,48,56,2,6,5,1,1.98,4.12
96,7,0,0.0,28,28,0,3,6,2,1.88,3.71
97,8,4,0.5,28,32,1,2,6,0,2.0,3.82
98,9,4,0.444,32,36,1,5,5,2,1.87,4.23
99,9,5,0.556,31,36,2,5,3,0,2.56,3.74
100,13,8,0.615,44,52,1,6,5,0,2.08,4.15
101,8,3,0.375,29,32,1,4,6,1,1.91,4.13
102,7,3,0.429,25,28,1,2,5,1,1.52,3.75
103,10,4,0.4,36,40,1,5,4,1,1.08,4.11
104,9,3,0.333,33,36,1,4,7,1,1.59,3.67
105,13,6,0.462,46,52,2,3,7,0,2.37,3.71
106,6,1,0.167,23,24,1,4,1,0,2.64,4.47
107,9,4,0.444,32,36,1,5,2,0,2.34,4.14
108,9,4,0.444,32,36,1,6,0,0,3.05,4.06
109,9,3,0.333,33,36,2,5,1,0,2.85,4.43
110,12,6,0.5,42,48,1,2,9,2,1.8,4.02
111,11,3,0.273,41,44,1,7,6,0,2.18,4.06
112,8,3,0.375,29,32,1,6,1,0,2.6,4.48
113,9,3,0.333,33,36,1,3,10,1,1.25,3.55
114,9,4,0.444,32,36,1,4,5,2,1.32,3.88
115,12,5,0.417,43,48,1,1,14,1,1.68,3.51
116,5,0,0.0,20,20,0,5,0,0,3.19,3.95
117,9,4,0.444,32,36,1,3,4,0,2.51,4.25
118,9,2,0.222,34,36,2,4,4,0,2.75,4.35
119,9,2,0.222,34,36,1,7,2,0,2.31,4.02
120,12,7,0.583,41,48,1,4,6,3,1.56,4.01
121,11,1,0.091,43,44,1,5,9,0,2.02,3.71
122,12,3,0.25,45,48,1,8,2,0,2.96,4.21
123,12,0,0.0,48,48,0,6,10,2,1.6,3.58
124,12,4,0.333,44,48,2,6,8,0,2.08,3.8
125,16,5,0.312,59,64,1,5,10,3,1.26,3.72
126,12,2,0.167,46,48,1,3,16,0,2.44,3.61
127,12,2,0.167,46,48,1,5,8,1,1.83,3.7
128,15,2,0.133,58,60,1,10,10,2,1.89,3.68
129,14,3,0.214,53,56,2,6,11,0,2.18,3.77
130,16,8,0.5,56,64,1,5,13,2,1.66,3.58
131,12,1,0.083,47,48,1,8,4,0,2.76,3.75
132,14,4,0.286,52,56,1,6,12,1,1.94,3.86
133,15,4,0.267,56,60,1,8,6,0,2.51,4.36
134,15,1,0.067,59,60,1,9,5,0,2.27,3.94
135,17,3,0.176,65,68,1,10,10,1,1.12,3.63
136,10,4,0.4,36,40,1,5,5,0,2.05,3.53
137,13,3,0.231,49,52,1,7,5,0,2.63,4.07
138,15,5,0.333,55,60,1,8,5,0,2.22,4.29
139,17,2,0.118,66,68,1,11,8,0,2.06,3.77
140,15,4,0.267,56,60,2,5,9,0,2.18,4.01
141,10,1,0.1,39,40,1,7,2,0,2.57,3.92
142,15,2,0.133,58,60,1,10,5,1,1.8,4.0
143,14,4,0.286,52,56,1,4,15,1,1.87,3.81
144,12,2,0.167,46,48,1,7,4,0,2.59,3.74
145,14,4,0.286,52,56,1,8,6,0,2.3,3.89
146,11,0,0.0,44,44,0,7,5,0,2.55,4.0
147,13,2,0.154,50,52,1,5,8,1,1.86,3.54
148,15,4,0.267,56,60,1,7,11,3,1.07,3.81
149,13,3,0.231,49,52,1,7,7,2,1.63,4.0
150,17,2,0.118,66,68,1,7,10,1,1.76,3.83
151,17,5,0.294,63,68,2,9,5,0,2.44,3.81
152,14,2,0.143,54,56,1,7,5,0,2.46,3.84
153,15,1,0.067,59,60,1,4,16,2,1.85,3.55
154,14,3,0.214,53,56,1,4,17,2,1.28,3.62
155,14,3,0.214,53,56,1,8,7,1,1.73,3.81
156,13,2,0.154,50,52,1,5,12,1,1.77,3.94
157,13,3,0.231,49,52,1,7,6,0,2.33,3.96
158,15,4,0.267,56,60,1,5,14,2,1.92,3.66
159,17,4,0.235,64,68,1,9,11,2,1.16,4.05
160,11,2,0.182,42,44,1,6,5,2,1.81,4.21
161,13,1,0.077,51,52,1,9,8,1,1.84,4.05
162,13,0,0.0,52,52,0,8,9,0,2.22,3.7
163,14,0,0.0,56,56,0,10,9,0,2.11,3.73
164,16,4,0.25,60,64,1,6,20,3,1.36,3.46
165,16,2,0.125,62,64,1,6,16,2,1.58,3.7
166,13,0,0.0,52,52,0,9,4,0,2.62,3.83
167,12,1,0.083,47,48,1,5,13,2,1.75,3.52
168,12,2,0.167,46,48,2,7,3,0,2.01,4.11
169,16,4,0.25,60,64,1,5,13,4,1.53,3.62
170,15,3,0.2,57,60,1,8,13,1,1.85,3.65
171,12,1,0.083,47,48,1,6,7,1,1.82,4.0
172,11,2,0.182,42,44,1,4,5,1,1.33,3.95
173,15,5,0.333,55,60,2,5,6,0,2.52,3.83
174,17,3,0.176,65,68,1,6,17,3,1.49,3.75
175,17,1,0.059,67,68,1,7,21,3,1.3,3.58
176,14,4,0.286,52,56,1,5,10,0,2.12,3.82
177,13,4,0.308,48,52,1,6,4,1,1.63,3.88
178,11,1,0.091,43,44,1,7,7,0,2.06,4.17
179,17,2,0.118,66,68,1,8,9,0,2.16,3.88
180,18,5,0.278,67,72,1,5,18,2,1.84,3.61
181,11,0,0.0,44,44,0,7,6,2,1.87,3.95
182,13,2,0.154,50,52,1,8,9,2,1.7,3.85
183,12,1,0.083,47,48,1,6,17,5,1.71,3.38
184,16,2,0.125,62,64,1,10,11,4,1.07,3.84
185,15,1,0.067,59,60,1,8,7,1,1.88,3.89
186,12,0,0.0,48,48,0,7,7,0,2.12,3.73
187,12,0,0.0,48,48,0,5,8,1,1.92,3.99
188,12,1,0.083,47,48,1,3,10,2,1.78,3.51
189,13,2,0.154,50,52,1,8,7,1,1.78,3.92
190,15,5,0.333,55,60,1,6,12,0,2.26,3.96
191,11,2,0.182,42,44,1,4,8,0,2.53,3.7
192,12,1,0.083,47,48,1,5,7,1,1.87,3.98
193,13,1,0.077,51,52,1,7,12,0,2.21,3.65
194,14,4,0.286,52,56,2,8,5,0,2.38,3.6
195,17,2,0.118,66,68,1,5,16,4,1.45,3.69
196,11,0,0.0,44,44,0,6,10,4,1.2,3.97
197,11,1,0.091,43,44,1,7,4,1,1.99,3.97
198,13,4,0.308,48,52,1,7,9,1,1.7,3.9
199,16,4,0.25,60,64,1,9,9,1,1.9,4.23
